,Round_3_Scoring_Average_RANK THIS WEEK,Round_3_Scoring_Average_RANK LAST WEEK,Round_3_Scoring_Average_PLAYER NAME,Round_3_Scoring_Average_AVG,Round_3_Scoring_Average_TOTAL STROKES,Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Louis Oosthuizen,68.57,960,14
1,2,2,Jonas Blixt,68.75,1100,16
2,3,3,Rory McIlroy,68.83,826,12
3,4,4,Ryan Palmer,68.88,1171,17
4,5,5,Webb Simpson,68.94,1172,17
5,6,6,Phil Mickelson,69.22,1246,18
6,7,7,Bubba Watson,69.27,1039,15
7,8,8,Johnson Wagner,69.35,1179,17
8,T9,T9,Billy Horschel,69.43,972,14
9,T9,T9,Rory Sabbatini,69.43,972,14
10,11,11,Billy Hurley III,69.44,625,9
11,T12,T12,John Rollins,69.5,973,14
12,T12,T12,Brandt Snedeker,69.5,1251,18
13,14,14,Stuart Appleby,69.54,904,13
14,15,15,Jeff Overton,69.59,1531,22
15,16,16,D.A. Points,69.6,1044,15
16,17,17,D.J. Trahan,69.73,767,11
17,18,18,Matt Kuchar,69.8,1396,20
18,19,19,Bill Haas,69.88,1188,17
19,20,20,Tim Clark,69.91,769,11
20,21,21,Ben Curtis,69.92,839,12
21,T22,T22,Keegan Bradley,69.95,1399,20
22,T22,T22,Jim Furyk,69.95,1329,19
23,T24,T24,Ernie Els,70.0,1260,18
24,T24,T24,Tim Herron,70.0,1260,18
25,T24,T24,Graeme McDowell,70.0,840,12
26,T24,T24,Sean O'Hair,70.0,1330,19
27,T24,T24,Roland Thatcher,70.0,490,7
28,T24,T24,Kyle Thompson,70.0,350,5
29,30,30,Bryce Molder,70.06,1191,17
30,T31,T31,Will Claxton,70.09,1542,22
31,T31,T31,Dicky Pride,70.09,771,11
32,T33,T33,Scott Brown,70.1,701,10
33,T33,T33,Brendon Todd,70.1,701,10
34,T35,T35,Ángel Cabrera,70.11,631,9
35,T35,T35,Brendon de Jonge,70.11,1893,27
36,37,37,Tom Pernice Jr.,70.13,561,8
37,T38,T38,Brian Davis,70.17,1263,18
38,T38,T38,John Mallinger,70.17,842,12
39,40,40,Steve Stricker,70.18,1193,17
40,41,41,Dustin Johnson,70.19,1123,16
41,T42,T42,Roberto Castro,70.21,1334,19
42,T42,T42,Bo Van Pelt,70.21,1334,19
43,44,44,Scott Stallings,70.23,913,13
44,T45,T45,Richard Lee,70.25,843,12
45,T45,T45,Tiger Woods,70.25,1124,16
46,47,47,Josh Teater,70.28,1265,18
47,48,48,Zach Johnson,70.3,1617,23
48,49,49,Nathan Green,70.36,985,14
49,50,50,John Merrick,70.38,1126,16
50,51,51,Robert Garrigus,70.42,1338,19
51,T52,T52,Jonathan Byrd,70.43,986,14
52,T52,T52,Brian Harman,70.43,1479,21
53,T54,T54,Spencer Levin,70.44,1127,16
54,T54,T54,Kyle Reifers,70.44,1127,16
55,56,56,Brandt Jobe,70.45,775,11
56,57,57,Sergio Garcia,70.46,916,13
57,58,58,Vijay Singh,70.48,1621,23
58,T59,T59,Cameron Beckman,70.5,987,14
59,T59,T59,Rickie Fowler,70.5,1410,20
60,T61,T61,Graham DeLaet,70.53,1199,17
61,T61,T61,William McGirt,70.53,1340,19
62,T63,T63,Jason Dufner,70.55,1411,20
63,T63,T63,Henrik Stenson,70.55,776,11
64,T65,T65,Matt Every,70.56,1129,16
65,T65,T65,John Senden,70.56,1270,18
66,67,67,Daniel Chopra,70.57,494,7
67,68,68,Ken Duke,70.59,1553,22
68,69,69,Greg Chalmers,70.6,1412,20
69,T70,T70,Jason Bohn,70.62,918,13
70,T70,T70,Davis Love III,70.62,918,13
71,72,72,Kevin Na,70.65,1201,17
72,73,73,Scott Dunlap,70.67,636,9
73,74,74,Carl Pettersson,70.7,1414,20
74,75,75,Brian Gay,70.71,1202,17
75,76,76,Mark Wilson,70.73,1061,15
76,77,77,Jason Day,70.75,849,12
77,78,78,Jerry Kelly,70.76,1203,17
78,79,79,Daniel Summerhays,70.8,1062,15
79,T80,T80,Garth Mulroy,70.82,779,11
80,T80,T80,Kevin Stadler,70.82,1204,17
81,T80,T80,Kyle Stanley,70.82,1204,17
82,83,83,Chris Kirk,70.84,1346,19
83,84,84,Luke Donald,70.87,1063,15
84,85,85,Bill Lunde,70.88,1205,17
85,T86,T86,Charlie Beljan,70.89,638,9
86,T86,T86,Martin Flores,70.89,1276,18
87,T86,T86,Matt Jones,70.89,638,9
88,T86,T86,Pat Perez,70.89,1276,18
89,T90,T90,Charles Howell III,70.9,1418,20
90,T90,T90,Kevin Kisner,70.9,709,10
91,92,92,Lee Westwood,70.92,922,13
92,T93,T93,Geoff Ogilvy,70.94,1206,17
93,T93,T93,Chez Reavie,70.94,1135,16
94,T93,T93,Heath Slocum,70.94,1277,18
95,96,96,Tommy Gainey,70.95,1419,20
96,T97,T97,Ben Crane,71.0,994,14
97,T97,T97,Greg Owen,71.0,1278,18
98,T97,T97,Adam Scott,71.0,994,14
99,T97,T97,Steve Wheatcroft,71.0,497,7
100,T101,T101,Ryan Moore,71.05,1492,21
101,T101,T101,Nick Watney,71.05,1563,22
102,T103,T103,Tom Gillis,71.06,1137,16
103,T103,T103,Billy Mayfair,71.06,1208,17
104,105,105,Seung-Yul Noh,71.08,1706,24
105,106,106,Mathew Goggin,71.09,782,11
106,T107,T107,J.J. Henry,71.11,1351,19
107,T107,T107,Cameron Tringale,71.11,1280,18
108,109,109,Kevin Chappell,71.12,1209,17
109,T110,T110,Edward Loar,71.13,569,8
110,T110,T110,Jeff Maggert,71.13,1067,15
111,112,112,Stephen Ames,71.14,498,7
112,113,113,Hunter Mahan,71.16,1352,19
113,T114,T114,Chris Couch,71.17,854,12
114,T114,T114,Danny Lee,71.17,854,12
115,T116,T116,Bobby Gates,71.2,1068,15
116,T116,T116,Padraig Harrington,71.2,1068,15
117,118,118,Jimmy Walker,71.22,1638,23
118,119,119,Russell Knox,71.23,926,13
