,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Rose,34.5,621,18
1,2,2,Jason Dufner,34.52,725,21
2,3,3,Zach Johnson,34.54,829,24
3,4,4,Steve Stricker,34.56,622,18
4,5,5,Sean O'Hair,34.65,797,23
5,6,6,John Huh,34.67,936,27
6,7,7,Kevin Na,34.68,763,22
7,8,8,Harris English,34.7,937,27
8,9,9,Henrik Stenson,34.79,487,14
9,10,10,John Senden,34.81,731,21
10,11,11,Dustin Johnson,34.82,592,17
11,12,12,Webb Simpson,34.86,732,21
12,13,13,Camilo Villegas,34.87,802,23
13,T14,T14,Billy Horschel,34.88,558,16
14,T14,T14,Jason Kokrak,34.88,907,26
15,16,16,Graeme McDowell,34.93,524,15
16,17,17,Tiger Woods,34.94,629,18
17,18,18,Seung-Yul Noh,34.96,944,27
18,T19,T19,Scott Dunlap,35.0,630,18
19,T19,T19,Boo Weekley,35.0,770,22
20,T21,T21,Chris Kirk,35.04,876,25
21,T21,T21,John Merrick,35.04,841,24
22,T21,T21,Ryan Moore,35.04,841,24
23,24,24,Geoff Ogilvy,35.05,666,19
24,25,25,Bubba Watson,35.06,631,18
25,T26,T26,Will Claxton,35.07,982,28
26,T26,T26,Rory McIlroy,35.07,526,15
27,T28,T28,Graham DeLaet,35.09,807,23
28,T28,T28,Russell Knox,35.09,772,22
29,T30,T30,Ken Duke,35.13,1054,30
30,T30,T30,Adam Scott,35.13,527,15
31,T32,T32,Bobby Gates,35.14,984,28
32,T32,T32,Tom Gillis,35.14,738,21
33,T32,T32,Rocco Mediate,35.14,738,21
34,T35,T35,Roberto Castro,35.15,914,26
35,T35,T35,Kevin Streelman,35.15,914,26
36,37,37,Bob Estes,35.17,809,23
37,T38,T38,Danny Lee,35.18,774,22
38,T38,T38,Bo Van Pelt,35.18,774,22
39,T40,T40,Chad Campbell,35.19,950,27
40,T40,T40,J.J. Henry,35.19,950,27
41,42,42,Davis Love III,35.2,704,20
42,43,43,Jeff Overton,35.21,986,28
43,T44,T44,David Hearn,35.25,987,28
44,T44,T44,Jimmy Walker,35.25,987,28
45,T46,T46,Jim Furyk,35.26,811,23
46,T46,T46,Y.E. Yang,35.26,670,19
47,48,48,Brendon de Jonge,35.29,1094,31
48,T49,T49,Martin Flores,35.3,1059,30
49,T49,T49,Tim Herron,35.3,953,27
50,T49,T49,Billy Mayfair,35.3,953,27
51,52,52,Bill Haas,35.32,777,22
52,53,53,Charley Hoffman,35.33,954,27
53,54,54,Marc Leishman,35.35,813,23
54,55,55,Brian Harman,35.37,1061,30
55,T56,T56,Keegan Bradley,35.38,849,24
56,T56,T56,J.B. Holmes,35.38,849,24
57,58,58,Chris Couch,35.39,637,18
58,59,59,Robert Garrigus,35.4,885,25
59,60,60,George McNeill,35.42,850,24
60,T61,T61,Stuart Appleby,35.43,815,23
61,T61,T61,Pat Perez,35.43,744,21
62,T63,T63,Jeff Maggert,35.44,957,27
63,T63,T63,Louis Oosthuizen,35.44,638,18
64,65,65,Richard Lee,35.45,780,22
65,T66,T66,Gary Christian,35.48,958,27
66,T66,T66,Matt Kuchar,35.48,745,21
67,T66,T66,Justin Leonard,35.48,887,25
68,T66,T66,Brandt Snedeker,35.48,745,21
69,70,70,Bill Lunde,35.5,852,24
70,T71,T71,Jonas Blixt,35.52,746,21
71,T71,T71,Phil Mickelson,35.52,746,21
72,T73,T73,Padraig Harrington,35.53,604,17
73,T73,T73,Steve Wheatcroft,35.53,675,19
74,T75,T75,Bud Cauley,35.54,995,28
75,T75,T75,Greg Chalmers,35.54,853,24
76,T75,T75,Trevor Immelman,35.54,853,24
77,T75,T75,Carl Pettersson,35.54,924,26
78,T79,T79,Brian Davis,35.57,996,28
79,T79,T79,Nathan Green,35.57,747,21
80,T79,T79,John Mallinger,35.57,818,23
81,82,82,Greg Owen,35.59,961,27
82,83,83,Sergio Garcia,35.6,534,15
83,T84,T84,Jason Bohn,35.62,926,26
84,T84,T84,Charles Howell III,35.62,1033,29
85,T84,T84,Vijay Singh,35.62,926,26
86,T84,T84,Daniel Summerhays,35.62,926,26
87,88,88,D.J. Trahan,35.63,855,24
88,T89,T89,Bryce Molder,35.65,820,23
89,T89,T89,Alexandre Rocha,35.65,713,20
90,T89,T89,Cameron Tringale,35.65,927,26
91,92,92,William McGirt,35.67,1070,30
92,T93,T93,Charlie Beljan,35.68,678,19
93,T93,T93,Michael Bradley,35.68,785,22
94,T93,T93,Harrison Frazar,35.68,678,19
95,T93,T93,Hunter Mahan,35.68,785,22
96,T93,T93,Scott Piercy,35.68,999,28
97,T98,T98,Kevin Chappell,35.69,928,26
98,T98,T98,Kyle Stanley,35.69,928,26
99,T100,T100,Ricky Barnes,35.7,964,27
100,T100,T100,Heath Slocum,35.7,964,27
101,T100,T100,Johnson Wagner,35.7,964,27
102,103,103,Vaughn Taylor,35.72,893,25
103,T104,T104,Arjun Atwal,35.73,929,26
