,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Rory McIlroy,60,53.05,87,164
1,2,2,Dustin Johnson,70,52.94,108,204
2,3,3,Bubba Watson,68,52.34,112,214
3,4,4,Brandt Snedeker,81,50.81,125,246
4,5,5,Sergio Garcia,57,50.58,87,172
5,6,6,Kyle Stanley,86,49.8,125,251
6,7,7,Robert Garrigus,89,49.65,142,286
7,8,8,Sean O'Hair,84,49.42,127,257
8,9,9,Josh Teater,97,49.16,146,297
9,10,10,Rickie Fowler,84,48.68,129,265
10,11,11,Steve Stricker,73,48.64,107,220
11,12,12,Charlie Beljan,61,48.55,84,173
12,13,13,Ben Crane,73,48.35,117,242
13,14,14,Tiger Woods,69,48.34,102,211
14,15,15,James Driscoll,83,48.3,128,265
15,16,16,Scott Stallings,78,48.18,119,247
16,17,17,Camilo Villegas,79,48.16,118,245
17,18,18,Luke Donald,63,48.04,98,204
18,19,19,Charles Howell III,98,47.99,143,298
19,20,20,Phil Mickelson,79,47.89,125,261
20,21,21,Keegan Bradley,90,47.74,127,266
21,22,22,Pat Perez,81,47.73,126,264
22,23,23,Jeff Overton,101,47.6,149,313
23,24,24,Webb Simpson,77,47.52,115,242
24,25,25,Bo Van Pelt,84,47.31,123,260
25,26,26,Adam Scott,59,47.22,85,180
26,27,27,Greg Owen,90,47.19,126,267
27,28,28,Kevin Chappell,91,46.86,127,271
28,29,29,Vijay Singh,99,46.69,141,302
29,30,30,Jason Dufner,83,46.46,118,254
30,31,31,Bobby Gates,87,46.42,123,265
31,32,32,Louis Oosthuizen,65,46.32,88,190
32,33,33,Jimmy Walker,101,46.22,153,331
33,34,34,Billy Horschel,63,46.2,79,171
34,35,35,Padraig Harrington,67,46.03,87,189
35,36,36,Zach Johnson,95,46.02,133,289
36,37,37,Mathew Goggin,65,46.0,92,200
37,38,38,Mark Anderson,75,45.89,106,231
38,39,39,Robert Karlsson,54,45.68,74,162
39,40,40,Bud Cauley,99,45.48,146,321
40,41,41,Henrik Stenson,51,45.24,76,168
41,42,42,Charley Hoffman,88,45.23,128,283
42,43,43,John Huh,99,45.21,137,303
43,44,44,John Senden,81,45.2,113,250
44,T45,T45,Chris Couch,61,45.16,84,186
45,T45,T45,John Daly,50,45.16,56,124
46,47,47,Stuart Appleby,75,44.95,98,218
47,48,48,Lee Westwood,60,44.64,75,168
48,49,49,Andres Romero,68,44.61,91,204
49,50,50,Michael Thompson,80,44.58,107,240
50,51,51,Martin Laird,77,44.53,110,247
51,52,52,Seung-Yul Noh,105,44.44,140,315
52,53,53,Jonas Blixt,72,44.35,102,230
53,54,54,Russell Knox,72,44.29,93,210
54,55,55,Nick Watney,97,44.22,134,303
55,56,56,Scott Piercy,95,44.19,133,301
56,57,57,John Rollins,81,44.17,106,240
57,58,58,Will Claxton,99,44.15,132,299
58,59,59,Rory Sabbatini,84,44.14,113,256
59,60,60,Jason Day,57,44.05,74,168
60,61,61,John Merrick,83,43.93,105,239
61,62,62,Blake Adams,107,43.84,146,333
62,63,63,Brendon de Jonge,115,43.78,162,370
63,64,64,Kris Blanks,65,43.75,91,208
64,65,65,Tommy Biershenk,74,43.72,101,231
65,T66,T66,Jason Kokrak,79,43.42,99,228
66,T66,T66,Troy Matteson,100,43.42,132,304
67,68,68,J.B. Holmes,90,43.38,118,272
68,69,69,Ryan Palmer,81,43.36,111,256
69,70,70,Cameron Tringale,88,43.34,127,293
70,71,71,Jhonattan Vegas,77,43.1,103,239
71,72,72,Nathan Green,73,43.06,90,209
72,73,73,Ryo Ishikawa,54,42.95,67,156
73,74,74,Tom Gillis,75,42.91,106,247
