,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,69,+2.23,69.78,72.01
1,2,2,Rory McIlroy,60,+2.16,69.63,71.79
2,3,3,Justin Rose,69,+1.72,70.22,71.94
3,4,4,Jim Furyk,85,+1.69,70.1,71.79
4,5,5,Bubba Watson,68,+1.67,69.98,71.65
5,6,6,Adam Scott,59,+1.58,70.53,72.11
6,7,7,Jason Dufner,83,+1.57,69.89,71.46
7,8,8,Luke Donald,63,+1.54,70.35,71.89
8,T9,T9,Dustin Johnson,70,+1.45,70.18,71.63
9,T9,T9,Matt Kuchar,86,+1.45,70.04,71.49
10,11,11,Bo Van Pelt,84,+1.34,70.23,71.57
11,12,12,Steve Stricker,73,+1.33,70.1,71.43
12,T13,T13,Phil Mickelson,79,+1.24,70.44,71.68
13,T13,T13,Louis Oosthuizen,65,+1.24,70.32,71.56
14,T13,T13,Brandt Snedeker,81,+1.24,70.1,71.34
15,T16,T16,Padraig Harrington,67,+1.18,70.54,71.72
16,T16,T16,Zach Johnson,95,+1.18,70.2,71.38
17,18,18,Webb Simpson,77,+1.15,70.14,71.29
18,19,19,Keegan Bradley,90,+1.08,70.33,71.41
19,T20,T20,Sergio Garcia,57,+1.07,70.68,71.75
20,T20,T20,Robert Garrigus,89,+1.07,70.38,71.45
21,T20,T20,John Senden,81,+1.07,70.35,71.42
22,23,23,Henrik Stenson,51,+1.06,70.78,71.84
23,24,24,Brendon de Jonge,115,+1.05,70.17,71.22
24,25,25,Lee Westwood,60,+1.02,70.78,71.8
25,26,26,Ian Poulter,57,+1.01,70.8,71.81
26,27,27,Graeme McDowell,55,+.99,70.91,71.9
27,T28,T28,Jonas Blixt,72,+.92,70.14,71.06
28,T28,T28,Ernie Els,80,+.92,70.76,71.68
29,T28,T28,Carl Pettersson,92,+.92,70.37,71.29
30,T31,T31,Ryan Moore,89,+.89,70.54,71.43
31,T31,T31,Geoff Ogilvy,73,+.89,70.99,71.88
32,33,33,Ryan Palmer,81,+.88,70.57,71.45
33,34,34,Pat Perez,81,+.87,70.61,71.48
34,35,35,Ben Curtis,62,+.85,70.68,71.53
35,T36,T36,Jeff Overton,101,+.84,70.23,71.07
36,T36,T36,Vijay Singh,99,+.84,70.55,71.39
37,T38,T38,Jason Day,57,+.83,70.82,71.65
38,T38,T38,Seung-Yul Noh,105,+.83,70.5,71.33
39,40,40,Bill Haas,79,+.79,70.76,71.55
40,41,41,Hunter Mahan,88,+.78,71.01,71.79
41,42,42,Scott Piercy,95,+.75,70.49,71.24
42,43,43,Charl Schwartzel,56,+.72,70.85,71.57
43,44,44,Bud Cauley,99,+.71,70.53,71.24
44,T45,T45,Greg Chalmers,88,+.68,70.91,71.59
45,T45,T45,Ben Crane,73,+.68,70.74,71.42
46,47,47,Jimmy Walker,101,+.66,70.65,71.31
47,T48,T48,Charles Howell III,98,+.64,70.68,71.32
48,T48,T48,John Huh,99,+.64,70.75,71.39
49,T48,T48,Nick Watney,97,+.64,70.91,71.55
50,51,51,Ken Duke,104,+.62,70.37,70.99
51,52,52,Kevin Stadler,85,+.61,70.78,71.39
52,T53,T53,Will Claxton,99,+.60,70.33,70.93
53,T53,T53,Davis Love III,64,+.60,70.72,71.32
54,T55,T55,Roberto Castro,92,+.57,70.44,71.01
55,T55,T55,Rickie Fowler,84,+.57,71.22,71.79
56,57,57,Kevin Na,80,+.56,70.87,71.43
57,58,58,David Toms,60,+.53,70.9,71.43
58,T59,T59,Blake Adams,107,+.48,70.8,71.28
59,T59,T59,Bob Estes,78,+.48,70.92,71.4
60,61,61,Greg Owen,90,+.46,70.76,71.22
61,T62,T62,Sean O'Hair,84,+.45,70.68,71.13
62,T62,T62,John Rollins,81,+.45,70.75,71.2
63,64,64,Martin Flores,95,+.43,70.79,71.22
64,T65,T65,Jonathan Byrd,69,+.42,71.21,71.63
65,T65,T65,Matt Every,80,+.42,70.88,71.3
66,T65,T65,Daniel Summerhays,81,+.42,70.81,71.23
67,T65,T65,Charlie Wi,86,+.42,71.2,71.62
68,69,69,Freddie Jacobson,61,+.41,71.68,72.09
69,T70,T70,Tom Gillis,75,+.40,70.96,71.36
70,T70,T70,William McGirt,96,+.40,70.77,71.17
71,72,72,Billy Horschel,63,+.39,70.22,70.61
72,73,73,Martin Laird,77,+.38,71.4,71.78
73,74,74,Harris English,98,+.37,70.89,71.26
74,T75,T75,Spencer Levin,81,+.35,71.25,71.6
75,T75,T75,Kyle Stanley,86,+.35,71.01,71.36
76,T75,T75,Johnson Wagner,88,+.35,71.07,71.42
77,78,78,Graham DeLaet,79,+.34,70.81,71.15
78,79,79,Brian Davis,91,+.33,70.98,71.31
79,T80,T80,Chad Campbell,84,+.32,70.83,71.15
80,T80,T80,K.J. Choi,71,+.32,71.44,71.76
81,T82,T82,Marc Leishman,84,+.29,71.38,71.67
82,T82,T82,John Merrick,83,+.29,70.59,70.88
83,T84,T84,David Hearn,95,+.27,70.74,71.01
84,T84,T84,John Mallinger,74,+.27,70.86,71.13
85,T84,T84,Dicky Pride,62,+.27,70.91,71.18
86,87,87,Chris Kirk,93,+.26,70.63,70.89
87,T88,T88,Brian Gay,91,+.25,70.71,70.96
88,T88,T88,Brian Harman,101,+.25,70.93,71.18
89,90,90,Kevin Streelman,89,+.24,70.93,71.17
90,T91,T91,J.B. Holmes,90,+.23,71.06,71.29
91,T91,T91,Bryce Molder,83,+.23,71.06,71.29
92,T91,T91,Cameron Tringale,88,+.23,71.2,71.43
93,T94,T94,J.J. Henry,93,+.21,71.06,71.27
94,T94,T94,Chris Stroud,86,+.21,70.88,71.09
95,96,96,Michael Thompson,80,+.20,71.23,71.43
96,97,97,Josh Teater,97,+.19,70.88,71.07
97,98,98,Tim Clark,60,+.17,71.1,71.27
98,T99,T99,Aaron Baddeley,73,+.16,71.56,71.72
99,T99,T99,Brandt Jobe,57,+.16,71.53,71.69
100,T101,T101,Tim Herron,88,+.15,70.91,71.06
101,T101,T101,Russell Knox,72,+.15,70.47,70.62
102,T101,T101,D.A. Points,88,+.15,70.94,71.09
103,T104,T104,Kevin Chappell,91,+.14,71.2,71.34
104,T104,T104,George McNeill,85,+.14,71.27,71.41
105,T106,T106,Gary Christian,91,+.12,70.74,70.86
106,T106,T106,Richard Lee,71,+.12,70.46,70.58
107,108,108,Ryo Ishikawa,54,+.11,71.73,71.84
108,109,109,Boo Weekley,74,+.09,71.09,71.18
109,110,110,Chris Couch,61,+.08,70.88,70.96
110,111,111,Vaughn Taylor,81,+.07,70.97,71.04
111,112,112,Camilo Villegas,79,+.05,70.86,70.91
112,113,113,Heath Slocum,93,+.04,70.87,70.91
113,T114,T114,Nathan Green,73,+.03,70.72,70.75
114,T114,T114,Bill Lunde,83,+.03,70.95,70.98
115,T114,T114,Jeff Maggert,83,+.03,70.82,70.85
116,T114,T114,Rod Pampling,88,+.03,71.24,71.27
117,118,118,Danny Lee,74,+.02,70.83,70.85
118,119,119,Charley Hoffman,88,+.01,71.32,71.33
119,T120,T120,Jerry Kelly,84,E,70.81,70.81
120,T120,T120,Kyle Reifers,86,E,71.05,71.05
121,122,122,Billy Mayfair,90,-.02,71.05,71.03
122,123,123,Stuart Appleby,75,-.08,70.83,70.75
123,124,124,Kris Blanks,65,-.09,71.57,71.48
124,125,125,Ricky Barnes,92,-.11,71.36,71.25
125,126,126,Rory Sabbatini,84,-.12,71.29,71.17
126,127,127,James Driscoll,83,-.13,71.25,71.12
127,128,128,Y.E. Yang,64,-.14,71.76,71.62
