,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Bubba Watson,68,68.45,753,11
1,2,2,Henrik Stenson,51,69.08,898,13
2,3,3,Matt Kuchar,86,69.21,1315,19
3,4,4,Billy Horschel,63,69.22,1246,18
4,5,5,Jeff Overton,101,69.28,2702,39
5,6,6,Tiger Woods,69,69.3,693,10
6,7,7,Padraig Harrington,67,69.31,901,13
7,T8,T8,Jonas Blixt,72,69.63,1671,24
8,T8,T8,Carl Pettersson,92,69.63,2089,30
9,10,10,Sergio Garcia,57,69.71,976,14
10,11,11,Scott Brown,65,69.79,1326,19
11,12,12,Ken Duke,104,69.83,2514,36
12,13,13,Jim Furyk,85,69.85,1397,20
13,T14,T14,Brian Gay,91,69.86,2026,29
14,T14,T14,Ryan Palmer,81,69.86,1956,28
15,16,16,Ian Poulter,57,69.87,1048,15
16,T17,T17,Charles Howell III,98,69.91,2377,34
17,T17,T17,Greg Owen,90,69.91,2447,35
18,19,19,J.B. Holmes,90,69.92,1748,25
19,20,20,Tim Herron,88,69.93,2028,29
20,T21,T21,Scott Piercy,95,70.0,2170,31
21,T21,T21,Josh Teater,97,70.0,2450,35
22,23,23,Brendon de Jonge,115,70.05,2592,37
23,24,24,Will Claxton,99,70.06,2172,31
24,25,25,Jimmy Walker,101,70.07,1962,28
25,26,26,Bill Lunde,83,70.08,1752,25
26,T27,T27,Greg Chalmers,88,70.09,2243,32
27,T27,T27,Davis Love III,64,70.09,771,11
28,T29,T29,Kyle Reifers,86,70.1,1472,21
29,T29,T29,Justin Rose,69,70.1,1402,20
30,31,31,Dustin Johnson,70,70.13,1052,15
31,32,32,K.J. Choi,71,70.17,1614,23
32,33,33,Bo Van Pelt,84,70.19,1895,27
33,34,34,Russell Knox,72,70.2,1404,20
34,35,35,Bob Estes,78,70.21,2036,29
35,T36,T36,Gary Christian,91,70.22,1896,27
36,T36,T36,Patrick Sheehan,58,70.22,1264,18
37,38,38,Vaughn Taylor,81,70.24,1475,21
38,T39,T39,Martin Flores,95,70.25,2248,32
39,T39,T39,Kevin Stadler,85,70.25,1405,20
40,41,41,Blake Adams,107,70.26,2459,35
41,42,42,Danny Lee,74,70.28,1265,18
42,43,43,Dicky Pride,62,70.3,1406,20
43,44,44,Richard Lee,71,70.32,1336,19
44,T45,T45,Jeff Maggert,83,70.38,2041,29
45,T45,T45,David Mathis,83,70.38,1478,21
46,47,47,Hunter Mahan,88,70.4,1760,25
47,48,48,D.A. Points,88,70.42,2183,31
48,T49,T49,Bill Haas,79,70.43,1620,23
49,T49,T49,Brian Harman,101,70.43,2113,30
50,T51,T51,Kevin Na,80,70.46,1832,26
51,T51,T51,Kevin Streelman,89,70.46,1832,26
52,T53,T53,William McGirt,96,70.47,2114,30
53,T53,T53,Nick Watney,97,70.47,2255,32
54,55,55,Chris Stroud,86,70.48,1762,25
55,T56,T56,Keegan Bradley,90,70.5,1551,22
56,T56,T56,John Senden,81,70.5,1692,24
57,58,58,Roberto Castro,92,70.52,2327,33
58,59,59,Adam Scott,59,70.53,1340,19
59,60,60,Jerry Kelly,84,70.56,2399,34
60,61,61,Daniel Summerhays,81,70.58,2188,31
61,T62,T62,Vijay Singh,99,70.6,2471,35
62,T62,T62,Lee Westwood,60,70.6,1059,15
63,64,64,Spencer Levin,81,70.61,2189,31
64,65,65,Nathan Green,73,70.62,1483,21
65,66,66,Louis Oosthuizen,65,70.63,1695,24
66,T67,T67,Charlie Beljan,61,70.64,989,14
67,T67,T67,Graham DeLaet,79,70.64,1766,25
68,T67,T67,Webb Simpson,77,70.64,989,14
69,T67,T67,Gary Woodland,70,70.64,989,14
70,71,71,Pat Perez,81,70.67,1696,24
71,T72,T72,Zach Johnson,95,70.7,1909,27
72,T72,T72,Sean O'Hair,84,70.7,2121,30
