,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,Brendon de Jonge,31
1,2,2,Jeff Overton,29
2,3,3,Ken Duke,30
3,4,4,Jimmy Walker,28
4,5,5,Seung-Yul Noh,28
5,6,6,Blake Adams,32
6,7,7,Charles Howell III,29
7,T8,T8,Will Claxton,28
8,T8,T8,David Hearn,28
9,T8,T8,Scott Piercy,28
10,T8,T8,Vijay Singh,27
11,T12,T12,Keegan Bradley,25
12,T12,T12,Jim Furyk,24
13,T12,T12,John Huh,28
14,T12,T12,Ryan Moore,24
15,T16,T16,William McGirt,30
16,T16,T16,Phil Mickelson,22
17,T16,T16,Carl Pettersson,26
18,T16,T16,Bo Van Pelt,24
19,T20,T20,Roberto Castro,27
20,T20,T20,Tommy Gainey,32
21,T20,T20,Matt Kuchar,22
22,T20,T20,D.A. Points,29
23,T24,T24,Bud Cauley,28
24,T24,T24,Robert Garrigus,26
25,T24,T24,Steve Stricker,19
26,T24,T24,Josh Teater,30
27,T28,T28,Zach Johnson,25
28,T28,T28,Chris Kirk,27
29,T28,T28,Sean O'Hair,24
30,T28,T28,Brandt Snedeker,22
31,T32,T32,Brian Harman,30
32,T32,T32,Jerry Kelly,26
33,T32,T32,Kevin Streelman,26
34,T32,T32,Johnson Wagner,27
35,T32,T32,Nick Watney,26
36,T32,T32,Bubba Watson,19
37,T38,T38,Jonas Blixt,21
38,T38,T38,Jason Dufner,22
39,T38,T38,Harris English,27
40,T38,T38,Bill Lunde,25
41,T38,T38,Chris Stroud,28
42,T38,T38,Cameron Tringale,26
43,T44,T44,Brian Davis,29
44,T44,T44,Martin Flores,30
45,T44,T44,Rickie Fowler,23
46,T44,T44,Tim Herron,27
47,T44,T44,Greg Owen,27
48,T44,T44,Ryan Palmer,24
49,T44,T44,Pat Perez,23
50,T44,T44,Heath Slocum,29
51,T52,T52,Brian Gay,28
52,T52,T52,Justin Rose,19
53,T52,T52,John Senden,22
54,T55,T55,J.B. Holmes,25
55,T55,T55,J.J. Killeen,33
56,T55,T55,Troy Matteson,32
57,T55,T55,John Merrick,26
58,T55,T55,Webb Simpson,22
59,T55,T55,Daniel Summerhays,26
60,T55,T55,Charlie Wi,25
61,T55,T55,Tiger Woods,19
62,T63,T63,J.J. Henry,28
63,T63,T63,Billy Mayfair,28
64,T63,T63,George McNeill,25
65,T63,T63,Bryce Molder,25
66,T63,T63,Kevin Na,25
67,T63,T63,Kyle Reifers,27
68,T63,T63,Kevin Stadler,25
69,T70,T70,Greg Chalmers,25
70,T70,T70,Ben Crane,23
71,T70,T70,James Driscoll,27
72,T70,T70,Nathan Green,22
73,T70,T70,Dustin Johnson,19
74,T70,T70,Jeff Maggert,27
75,T76,T76,Chad Campbell,27
76,T76,T76,Gary Christian,28
77,T76,T76,Ernie Els,22
78,T76,T76,Matt Every,25
79,T76,T76,Bill Haas,23
80,T76,T76,Charley Hoffman,27
81,T76,T76,Rory McIlroy,16
82,T76,T76,Rod Pampling,26
83,T76,T76,Rory Sabbatini,29
84,T85,T85,Stuart Appleby,24
85,T85,T85,Kevin Chappell,29
86,T85,T85,Tom Gillis,23
87,T85,T85,Geoff Ogilvy,20
88,T85,T85,Louis Oosthuizen,19
89,T85,T85,John Rollins,26
90,T91,T91,Ben Curtis,19
91,T91,T91,Chez Reavie,26
92,T91,T91,Camilo Villegas,25
93,T94,T94,Ricky Barnes,28
94,T94,T94,Graham DeLaet,23
95,T94,T94,Luke Donald,17
96,T94,T94,Bob Estes,23
97,T94,T94,Richard Lee,24
98,T94,T94,David Mathis,29
99,T94,T94,Kyle Stanley,27
100,T94,T94,Michael Thompson,25
101,T94,T94,Boo Weekley,25
102,T103,T103,Mark Anderson,25
103,T103,T103,Bobby Gates,29
104,T103,T103,Russell Knox,23
105,T103,T103,Martin Laird,22
106,T103,T103,Danny Lee,26
107,T103,T103,Hunter Mahan,23
108,T103,T103,Vaughn Taylor,26
109,T110,T110,Billy Horschel,17
110,T110,T110,Jason Kokrak,27
111,T110,T110,Marc Leishman,23
112,T110,T110,Ian Poulter,15
113,T114,T114,Erik Compton,26
114,T114,T114,Chris DiMarco,29
115,T114,T114,Padraig Harrington,18
