,Early_Lowest_Round_RANK THIS WEEK,Early_Lowest_Round_RANK LAST WEEK,Early_Lowest_Round_PLAYER NAME,Early_Lowest_Round_LOW RND
0,T1,T1,Robert Garrigus,61
1,T1,T1,Brian Harman,61
2,T1,T1,Padraig Harrington,61
3,T1,T1,Tim Herron,61
4,T1,T1,Hunter Mahan,61
5,T1,T1,Ryan Moore,61
6,T7,T7,Charlie Beljan,62
7,T7,T7,Brendon de Jonge,62
8,T7,T7,Harris English,62
9,T7,T7,Troy Kelly,62
10,T7,T7,Spencer Levin,62
11,T7,T7,Carl Pettersson,62
12,T7,T7,Scott Piercy,62
13,T7,T7,Kyle Stanley,62
14,T7,T7,Jimmy Walker,62
15,T7,T7,Bubba Watson,62
16,T7,T7,Tiger Woods,62
17,T18,T18,Keegan Bradley,63
18,T18,T18,Roberto Castro,63
19,T18,T18,Bud Cauley,63
20,T18,T18,Ben Crane,63
21,T18,T18,Graham DeLaet,63
22,T18,T18,Matt Every,63
23,T18,T18,Sergio Garcia,63
24,T18,T18,Retief Goosen,63
25,T18,T18,Bill Haas,63
26,T18,T18,Billy Horschel,63
27,T18,T18,John Huh,63
28,T18,T18,David Mathis,63
29,T18,T18,Graeme McDowell,63
30,T18,T18,Pat Perez,63
31,T18,T18,Patrick Reed,63
32,T18,T18,Charl Schwartzel,63
33,T18,T18,Vijay Singh,63
34,T18,T18,Scott Stallings,63
35,T18,T18,David Toms,63
36,T18,T18,Camilo Villegas,63
37,T18,T18,Lee Westwood,63
38,T39,T39,Blake Adams,64
39,T39,T39,Sangmoon Bae,64
40,T39,T39,Ricky Barnes,64
41,T39,T39,Tommy Biershenk,64
42,T39,T39,Jonas Blixt,64
43,T39,T39,Jason Bohn,64
44,T39,T39,Chad Campbell,64
45,T39,T39,Greg Chalmers,64
46,T39,T39,Gary Christian,64
47,T39,T39,Will Claxton,64
48,T39,T39,Jason Day,64
49,T39,T39,Chris DiMarco,64
50,T39,T39,Jason Dufner,64
51,T39,T39,Ken Duke,64
52,T39,T39,Bob Estes,64
53,T39,T39,Martin Flores,64
54,T39,T39,Jonathan Fly,64
55,T39,T39,Tom Gillis,64
56,T39,T39,Branden Grace,64
57,T39,T39,J.J. Henry,64
58,T39,T39,J.B. Holmes,64
59,T39,T39,Brandt Jobe,64
60,T39,T39,Zach Johnson,64
61,T39,T39,Matt Jones,64
62,T39,T39,Martin Kaymer,64
63,T39,T39,Chris Kirk,64
64,T39,T39,Russell Knox,64
65,T39,T39,Kelly Kraft,64
66,T39,T39,Justin Leonard,64
67,T39,T39,Frank Lickliter II,64
68,T39,T39,Edward Loar,64
69,T39,T39,Davis Love III,64
70,T39,T39,Jamie Lovemark,64
71,T39,T39,Jeff Maggert,64
72,T39,T39,William McGirt,64
73,T39,T39,Rory McIlroy,64
74,T39,T39,Phil Mickelson,64
75,T39,T39,Jeff Overton,64
