,Tenth_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_4_Scoring_Average_AVG,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Mark Wilson,64.0,64,1
1,T2,T2,Jason Bohn,66.0,66,1
2,T2,T2,Brian Davis,66.0,66,1
3,T2,T2,Luke Donald,66.0,66,1
4,5,5,Chad Campbell,67.0,67,1
5,6,6,Heath Slocum,67.5,135,2
6,T7,T7,Brian Gay,68.0,136,2
7,T7,T7,Ryuji Imada,68.0,68,1
8,T7,T7,Edward Loar,68.0,68,1
9,T7,T7,Rocco Mediate,68.0,68,1
10,T7,T7,Seung-Yul Noh,68.0,136,2
11,T7,T7,Brandt Snedeker,68.0,68,1
12,T7,T7,Steve Wheatcroft,68.0,68,1
13,T14,T14,Robert Allenby,68.5,137,2
14,T14,T14,Martin Laird,68.5,137,2
15,T14,T14,George McNeill,68.5,137,2
16,T17,T17,Roberto Castro,69.0,69,1
17,T17,T17,Rickie Fowler,69.0,69,1
18,T17,T17,Jim Furyk,69.0,69,1
19,T17,T17,Freddie Jacobson,69.0,69,1
20,T17,T17,Phil Mickelson,69.0,69,1
21,T17,T17,Jeff Overton,69.0,69,1
22,T17,T17,Tom Pernice Jr.,69.0,69,1
23,T17,T17,Scott Piercy,69.0,69,1
24,T17,T17,Dicky Pride,69.0,69,1
25,T17,T17,Kyle Stanley,69.0,69,1
26,T17,T17,Roland Thatcher,69.0,69,1
27,28,28,Charlie Wi,69.5,139,2
28,29,29,John Huh,69.67,209,3
29,T30,T30,Blake Adams,70.0,70,1
30,T30,T30,Cameron Beckman,70.0,140,2
31,T30,T30,Scott Brown,70.0,70,1
32,T30,T30,Stewart Cink,70.0,70,1
33,T30,T30,Erik Compton,70.0,140,2
34,T30,T30,Ben Curtis,70.0,140,2
35,T30,T30,Harrison Frazar,70.0,70,1
36,T30,T30,Nathan Green,70.0,210,3
37,T30,T30,Bill Haas,70.0,70,1
38,T30,T30,Padraig Harrington,70.0,70,1
39,T30,T30,Robert Karlsson,70.0,70,1
40,T30,T30,Troy Matteson,70.0,210,3
41,T30,T30,John Merrick,70.0,70,1
42,T30,T30,Chris Stroud,70.0,70,1
43,T30,T30,David Toms,70.0,70,1
44,T45,T45,John Daly,70.5,141,2
45,T45,T45,Charley Hoffman,70.5,141,2
46,T45,T45,Kevin Kisner,70.5,141,2
47,T48,T48,Bud Cauley,71.0,71,1
48,T48,T48,Will Claxton,71.0,142,2
49,T48,T48,David Hearn,71.0,71,1
50,T48,T48,J.B. Holmes,71.0,213,3
51,T48,T48,Dustin Johnson,71.0,71,1
52,T48,T48,William McGirt,71.0,71,1
53,T48,T48,Ian Poulter,71.0,71,1
54,T48,T48,Kevin Stadler,71.0,71,1
55,T48,T48,Vaughn Taylor,71.0,71,1
56,57,57,Chez Reavie,71.4,357,5
57,T58,T58,Mark Anderson,71.5,143,2
58,T58,T58,Scott Dunlap,71.5,143,2
59,T60,T60,Aaron Baddeley,72.0,72,1
60,T60,T60,Michael Bradley,72.0,72,1
61,T60,T60,Brendon de Jonge,72.0,72,1
62,T60,T60,Harris English,72.0,216,3
63,T60,T60,Hunter Haas,72.0,72,1
64,T60,T60,Matt Jones,72.0,72,1
65,T60,T60,Troy Kelly,72.0,144,2
66,T60,T60,Richard Lee,72.0,72,1
67,T60,T60,Alexandre Rocha,72.0,72,1
68,T60,T60,John Rollins,72.0,72,1
69,T60,T60,Kevin Streelman,72.0,144,2
70,71,71,Ricky Barnes,72.5,290,4
71,T72,T72,Stephen Ames,73.0,73,1
72,T72,T72,Stuart Appleby,73.0,146,2
73,T72,T72,Arjun Atwal,73.0,73,1
74,T72,T72,Charlie Beljan,73.0,146,2
