,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Rory McIlroy,60,69.43,2430,35
1,T2,T2,Jason Dufner,83,69.76,2930,42
2,T2,T2,Dicky Pride,62,69.76,1186,17
3,4,4,Jason Day,57,69.78,1256,18
4,5,5,Steve Stricker,73,69.93,2937,42
5,T6,T6,Bud Cauley,99,69.97,2519,36
6,T6,T6,Will Claxton,99,69.97,2099,30
7,T8,T8,Billy Horschel,63,70.0,1260,18
8,T8,T8,Bo Van Pelt,84,70.0,2590,37
9,T10,T10,Chris Kirk,93,70.04,1821,26
10,T10,T10,Louis Oosthuizen,65,70.04,1611,23
11,T12,T12,Webb Simpson,77,70.05,2942,42
12,T12,T12,Brandt Snedeker,81,70.05,2592,37
13,14,14,Robert Garrigus,89,70.07,2102,30
14,15,15,Daniel Summerhays,81,70.1,1472,21
15,16,16,Scott Stallings,78,70.12,1823,26
16,17,17,Davis Love III,64,70.15,1894,27
17,18,18,Ryan Moore,89,70.17,2526,36
18,19,19,Heath Slocum,93,70.18,1544,22
19,20,20,John Merrick,83,70.2,1404,20
20,T21,T21,Ernie Els,80,70.21,2387,34
21,T21,T21,Scott Piercy,95,70.21,2317,33
22,23,23,Tiger Woods,69,70.24,2880,41
23,T24,T24,Ken Duke,104,70.25,2248,32
24,T24,T24,Jim Furyk,85,70.25,2810,40
25,T24,T24,Bobby Gates,87,70.25,1405,20
26,T24,T24,Alexandre Rocha,62,70.25,562,8
27,T28,T28,J.J. Henry,93,70.26,1335,19
28,T28,T28,Bubba Watson,68,70.26,2670,38
29,30,30,Roland Thatcher,55,70.27,773,11
30,31,31,Matt Kuchar,86,70.33,2954,42
31,32,32,Padraig Harrington,67,70.35,2181,31
32,33,33,John Mallinger,74,70.36,1548,22
33,34,34,Dustin Johnson,70,70.38,2252,32
34,35,35,Justin Rose,69,70.39,2323,33
35,T36,T36,Keegan Bradley,90,70.43,3099,44
36,T36,T36,Mark Wilson,84,70.43,986,14
37,38,38,John Senden,81,70.44,2254,32
38,39,39,Matt Every,80,70.46,1832,26
39,40,40,Zach Johnson,95,70.47,3030,43
40,T41,T41,Jonas Blixt,72,70.48,1621,23
41,T41,T41,John Huh,99,70.48,1762,25
42,T41,T41,Seung-Yul Noh,105,70.48,2185,31
43,T44,T44,Tom Gillis,75,70.5,1551,22
44,T44,T44,Adam Scott,59,70.5,1833,26
45,46,46,Phil Mickelson,79,70.52,2962,42
46,T47,T47,Brendon de Jonge,115,70.58,2823,40
47,T47,T47,Luke Donald,63,70.58,2188,31
48,T47,T47,Charl Schwartzel,56,70.58,1694,24
49,50,50,Graham DeLaet,79,70.59,1553,22
50,51,51,Chad Campbell,84,70.66,2049,29
51,T52,T52,Ben Crane,73,70.68,1555,22
52,T52,T52,Colt Knost,79,70.68,1555,22
53,T52,T52,Graeme McDowell,55,70.68,1767,25
54,T52,T52,Rocco Mediate,70,70.68,1343,19
55,56,56,Scott Dunlap,57,70.69,919,13
56,57,57,John Rollins,81,70.7,1909,27
57,58,58,Kevin Stadler,85,70.71,2192,31
58,59,59,Bill Haas,79,70.76,2406,34
59,T60,T60,Stuart Appleby,75,70.77,1840,26
60,T60,T60,Ben Curtis,62,70.77,1557,22
61,62,62,Rod Pampling,88,70.79,991,14
62,T63,T63,Roberto Castro,92,70.8,1416,20
