,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Scott Brown,24,100.0,4.0
1,T1,T1,Sergio Garcia,16,100.0,4.0
2,T1,T1,Bill Haas,23,100.0,7.0
3,T1,T1,Louis Oosthuizen,19,100.0,4.0
4,T1,T1,Justin Rose,19,100.0,3.0
5,T1,T1,Kevin Stadler,25,100.0,7.0
6,T1,T1,Henrik Stenson,15,100.0,5.0
7,T1,T1,Bubba Watson,19,100.0,2.0
8,9,9,Mark Anderson,25,91.7,11.0
9,10,10,Geoff Ogilvy,20,90.9,10.0
10,11,11,Vijay Singh,27,88.9,8.0
11,T12,T12,Luke Donald,17,87.5,7.0
12,T12,T12,Dicky Pride,19,87.5,7.0
13,T14,T14,Robert Allenby,27,85.7,6.0
14,T14,T14,Kris Blanks,23,85.7,6.0
15,T14,T14,Keegan Bradley,25,85.7,6.0
16,T14,T14,Ben Crane,23,85.7,6.0
17,T18,T18,Jim Furyk,24,83.3,5.0
18,T18,T18,Jerry Kelly,26,83.3,10.0
19,T18,T18,Kevin Kisner,24,83.3,5.0
20,T18,T18,Jeff Overton,29,83.3,10.0
21,T18,T18,John Senden,22,83.3,5.0
22,T18,T18,Scott Stallings,27,83.3,5.0
23,T18,T18,Lee Westwood,15,83.3,5.0
24,T25,T25,Bob Estes,23,81.8,9.0
25,T25,T25,Troy Matteson,32,81.8,9.0
26,T27,T27,Spencer Levin,26,80.0,8.0
27,T27,T27,David Mathis,29,80.0,4.0
28,T27,T27,Kevin Na,25,80.0,8.0
29,T27,T27,Bo Van Pelt,24,80.0,4.0
30,T31,T31,Ian Poulter,15,77.8,7.0
31,T31,T31,Kyle Stanley,27,77.8,7.0
32,T31,T31,Boo Weekley,25,77.8,7.0
33,34,34,George McNeill,25,76.9,10.0
34,T35,T35,Robert Garrigus,26,75.0,6.0
35,T35,T35,Russell Knox,23,75.0,6.0
36,T35,T35,John Rollins,26,75.0,6.0
37,T35,T35,Josh Teater,30,75.0,9.0
38,T39,T39,K.J. Choi,21,72.7,8.0
39,T39,T39,William McGirt,30,72.7,8.0
40,T39,T39,Carl Pettersson,26,72.7,8.0
41,T39,T39,Charlie Wi,25,72.7,8.0
42,T43,T43,Aaron Baddeley,22,71.4,5.0
43,T43,T43,Ángel Cabrera,20,71.4,5.0
44,T43,T43,Roberto Castro,27,71.4,10.0
45,T43,T43,John Daly,15,71.4,5.0
46,T43,T43,Jason Day,17,71.4,5.0
47,T43,T43,James Driscoll,27,71.4,5.0
48,T43,T43,Colt Knost,29,71.4,5.0
49,T43,T43,Ryan Moore,24,71.4,5.0
50,T43,T43,Scott Piercy,28,71.4,5.0
51,T43,T43,Rory Sabbatini,29,71.4,5.0
52,T43,T43,Gary Woodland,22,71.4,5.0
53,T54,T54,Ricky Barnes,28,66.7,10.0
54,T54,T54,Jason Dufner,22,66.7,2.0
55,T54,T54,Hunter Haas,24,66.7,6.0
56,T54,T54,Charley Hoffman,27,66.7,6.0
57,T54,T54,Robert Karlsson,17,66.7,6.0
58,T54,T54,Seung-Yul Noh,28,66.7,8.0
59,T54,T54,D.A. Points,29,66.7,6.0
