,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jason Dufner,67.91,747,11
1,2,2,Vijay Singh,68.36,957,14
2,3,3,Adam Scott,68.67,206,3
3,4,4,Ryan Moore,68.8,688,10
4,5,5,Charl Schwartzel,69.29,485,7
5,6,6,Seung-Yul Noh,69.35,1179,17
6,7,7,Steve Stricker,69.36,763,11
7,T8,T8,Tim Clark,69.5,556,8
8,T8,T8,Roland Thatcher,69.5,695,10
9,10,10,Pat Perez,69.57,487,7
10,11,11,Erik Compton,69.64,766,11
11,12,12,Mathew Goggin,69.67,836,12
12,13,13,Brendon de Jonge,69.69,1115,16
13,14,14,Matt Kuchar,69.75,558,8
14,15,15,Troy Matteson,69.77,907,13
15,16,16,Justin Rose,69.78,628,9
16,T17,T17,Tom Gillis,69.82,768,11
17,T17,T17,Rod Pampling,69.82,768,11
18,T19,T19,Bud Cauley,69.83,838,12
19,T19,T19,Jim Furyk,69.83,838,12
20,21,21,Matt Jones,69.9,699,10
21,22,22,Ryan Palmer,69.91,769,11
22,T23,T23,Bob Estes,70.0,630,9
23,T23,T23,John Merrick,70.0,700,10
24,T23,T23,Bubba Watson,70.0,770,11
25,T23,T23,Tiger Woods,70.0,490,7
26,27,27,Rocco Mediate,70.1,701,10
27,T28,T28,Keegan Bradley,70.11,631,9
28,T28,T28,Chris Kirk,70.11,631,9
29,30,30,Rory McIlroy,70.13,561,8
30,T31,T31,Rickie Fowler,70.17,842,12
31,T31,T31,Padraig Harrington,70.17,421,6
32,T31,T31,Vaughn Taylor,70.17,842,12
33,T31,T31,Lee Westwood,70.17,421,6
34,35,35,Robert Garrigus,70.18,772,11
35,36,36,Cameron Tringale,70.21,983,14
36,37,37,Blake Adams,70.29,1195,17
37,38,38,Gavin Coles,70.3,703,10
38,39,39,Danny Lee,70.31,914,13
39,T40,T40,Dustin Johnson,70.33,633,9
40,T40,T40,William McGirt,70.33,1055,15
41,T42,T42,John Huh,70.36,774,11
42,T42,T42,John Mallinger,70.36,774,11
43,T42,T42,John Senden,70.36,774,11
44,T42,T42,Bo Van Pelt,70.36,774,11
45,T46,T46,Harris English,70.38,915,13
46,T46,T46,Scott Stallings,70.38,915,13
47,48,48,Johnson Wagner,70.4,704,10
48,49,49,Cameron Beckman,70.42,845,12
49,50,50,Harrison Frazar,70.44,634,9
50,51,51,Ben Crane,70.45,775,11
51,52,52,Charlie Wi,70.5,846,12
52,53,53,Will Claxton,70.53,1199,17
53,54,54,Scott Piercy,70.54,917,13
54,55,55,David Hearn,70.55,776,11
55,T56,T56,Louis Oosthuizen,70.56,635,9
56,T56,T56,Webb Simpson,70.56,635,9
57,T58,T58,Robert Karlsson,70.57,494,7
58,T58,T58,Greg Owen,70.57,988,14
59,T60,T60,Matt Every,70.58,847,12
60,T60,T60,Zach Johnson,70.58,847,12
61,T60,T60,Colt Knost,70.58,847,12
62,T63,T63,Kevin Kisner,70.6,706,10
63,T63,T63,Kyle Reifers,70.6,1059,15
64,65,65,Ernie Els,70.62,918,13
65,T66,T66,Roberto Castro,70.64,989,14
66,T66,T66,Alexandre Rocha,70.64,777,11
67,T68,T68,Davis Love III,70.67,636,9
68,T68,T68,Brandt Snedeker,70.67,848,12
69,T68,T68,Jimmy Walker,70.67,1060,15
70,71,71,Nick Watney,70.69,919,13
71,T72,T72,Charles Howell III,70.73,1061,15
72,T72,T72,Daniel Summerhays,70.73,778,11
73,T74,T74,Nathan Green,70.75,849,12
74,T74,T74,Bill Haas,70.75,566,8
75,T74,T74,Spencer Levin,70.75,849,12
76,77,77,Hunter Mahan,70.77,920,13
77,78,78,Kevin Streelman,70.79,991,14
78,79,79,Bryce Molder,70.8,708,10
79,80,80,Chris Stroud,70.82,779,11
80,81,81,Brian Gay,70.83,850,12
81,T82,T82,Kevin Stadler,70.85,921,13
82,T82,T82,Boo Weekley,70.85,921,13
83,84,84,Ian Poulter,70.86,496,7
84,85,85,Billy Horschel,70.88,567,8
85,86,86,Greg Chalmers,70.89,638,9
86,T87,T87,Billy Mayfair,70.92,851,12
87,T87,T87,Nick O'Hern,70.92,922,13
88,T87,T87,Carl Pettersson,70.92,851,12
89,T90,T90,Gary Christian,70.93,993,14
90,T90,T90,Ken Duke,70.93,993,14
91,92,92,J.J. Killeen,70.95,1348,19
92,T93,T93,Stewart Cink,71.0,568,8
93,T93,T93,Ben Curtis,71.0,710,10
94,T93,T93,John Daly,71.0,426,6
