,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Tiger Woods,69,69.08,1727,25
1,2,2,Jeff Overton,101,69.54,3616,52
2,3,3,Henrik Stenson,51,69.55,1530,22
3,4,4,Carl Pettersson,92,69.56,2991,43
4,5,5,Billy Horschel,63,69.62,2019,29
5,6,6,Dustin Johnson,70,69.67,2090,30
6,7,7,Sergio Garcia,57,69.71,1673,24
7,8,8,Russell Knox,72,69.76,2581,37
8,9,9,Matt Kuchar,86,69.77,2442,35
9,10,10,Bubba Watson,68,69.78,1884,27
10,11,11,Greg Owen,90,69.79,3280,47
11,12,12,Ryan Palmer,81,69.81,2513,36
12,T13,T13,Ken Duke,104,69.86,3493,50
13,T13,T13,Jimmy Walker,101,69.86,3423,49
14,15,15,Webb Simpson,77,69.87,2096,30
15,16,16,Ian Poulter,57,69.92,1748,25
16,17,17,Zach Johnson,95,69.93,3147,45
17,18,18,Jonas Blixt,72,69.94,2518,36
18,19,19,Rory McIlroy,60,70.0,1330,19
19,20,20,Robert Garrigus,89,70.02,2941,42
20,21,21,Pat Perez,81,70.08,2733,39
21,22,22,Richard Lee,71,70.1,2874,41
22,23,23,Roberto Castro,92,70.11,3716,53
23,24,24,Gary Christian,91,70.13,3226,46
24,25,25,Keegan Bradley,90,70.14,2946,42
25,26,26,Charles Howell III,98,70.15,3227,46
26,T27,T27,Greg Chalmers,88,70.2,3089,44
27,T27,T27,David Toms,60,70.2,2106,30
28,T29,T29,Jim Furyk,85,70.22,2528,36
29,T29,T29,Vijay Singh,99,70.22,3441,49
30,31,31,Steve Stricker,73,70.23,1826,26
31,T32,T32,Brian Gay,91,70.24,3231,46
32,T32,T32,Padraig Harrington,67,70.24,1756,25
33,T34,T34,Martin Flores,95,70.26,3794,54
34,T34,T34,Louis Oosthuizen,65,70.26,2178,31
35,T34,T34,Josh Teater,97,70.26,3794,54
36,37,37,Chris Stroud,86,70.27,2881,41
37,T38,T38,Brendon de Jonge,115,70.28,4006,57
38,T38,T38,Jason Dufner,83,70.28,2249,32
39,40,40,Scott Piercy,95,70.3,3234,46
40,41,41,Kevin Na,80,70.32,2602,37
41,T42,T42,Blake Adams,107,70.37,4011,57
42,T42,T42,Justin Rose,69,70.37,2111,30
43,44,44,Phil Mickelson,79,70.39,2534,36
44,T45,T45,Graham DeLaet,79,70.41,2887,41
45,T45,T45,Luke Donald,63,70.41,2042,29
46,T45,T45,Bob Estes,78,70.41,2887,41
47,T45,T45,Jeff Maggert,83,70.41,3098,44
48,49,49,Bill Lunde,83,70.43,3099,44
49,T50,T50,Will Claxton,99,70.46,3382,48
50,T50,T50,Ben Curtis,62,70.46,1832,26
51,52,52,Bo Van Pelt,84,70.48,2326,33
52,T53,T53,Brian Harman,101,70.49,4159,59
53,T53,T53,William McGirt,96,70.49,3313,47
54,T55,T55,Jason Day,57,70.5,1974,28
55,T55,T55,Dicky Pride,62,70.5,1974,28
56,57,57,Jerry Kelly,84,70.51,3314,47
57,58,58,Sean O'Hair,84,70.52,3244,46
58,T59,T59,Nathan Green,73,70.54,2469,35
59,T59,T59,Ryan Moore,89,70.54,2610,37
60,61,61,John Senden,81,70.58,2541,36
61,T62,T62,D.A. Points,88,70.59,3106,44
62,T62,T62,Kevin Streelman,89,70.59,2894,41
63,64,64,Tim Herron,88,70.6,3389,48
64,65,65,Brandt Snedeker,81,70.61,2330,33
65,66,66,Chris Couch,61,70.62,2401,34
66,T67,T67,Scott Dunlap,57,70.64,1766,25
67,T67,T67,Bill Haas,79,70.64,2543,36
68,T69,T69,Vaughn Taylor,81,70.65,2826,40
69,T69,T69,Johnson Wagner,88,70.65,3038,43
70,T71,T71,K.J. Choi,71,70.66,2685,38
71,T71,T71,Brian Davis,91,70.66,3109,44
72,T73,T73,Ben Crane,73,70.67,2544,36
73,T73,T73,Seung-Yul Noh,105,70.67,3604,51
74,T73,T73,Kyle Stanley,86,70.67,2968,42
75,76,76,David Hearn,95,70.69,3888,55
76,77,77,Kyle Reifers,86,70.7,3252,46
77,T78,T78,Hunter Mahan,88,70.71,2970,42
78,T78,T78,David Mathis,83,70.71,2970,42
79,T78,T78,Lee Westwood,60,70.71,1697,24
80,81,81,Nick Watney,97,70.74,3537,50
81,82,82,John Mallinger,74,70.76,2335,33
82,83,83,J.B. Holmes,90,70.77,3114,44
83,T84,T84,Stuart Appleby,75,70.78,2548,36
84,T84,T84,Camilo Villegas,79,70.78,2902,41
85,T86,T86,Mathew Goggin,65,70.79,2336,33
86,T86,T86,Garth Mulroy,59,70.79,2053,29
87,T88,T88,Harris English,98,70.81,3682,52
88,T88,T88,Matt Every,80,70.81,2549,36
89,T88,T88,Adam Scott,59,70.81,1912,27
90,91,91,Gavin Coles,72,70.82,2762,39
91,92,92,Patrick Sheehan,58,70.83,2054,29
92,93,93,Kevin Stadler,85,70.85,2763,39
93,T94,T94,Charlie Beljan,61,70.86,1984,28
94,T94,T94,Bud Cauley,99,70.86,3614,51
95,T94,T94,Hunter Haas,69,70.86,2551,36
96,97,97,John Daly,50,70.87,1630,23
97,98,98,Daniel Summerhays,81,70.88,2977,42
98,99,99,Scott Brown,65,70.9,2198,31
99,100,100,Martin Laird,77,70.91,2269,32
100,101,101,Geoff Ogilvy,73,70.93,2837,40
101,T102,T102,Billy Mayfair,90,70.95,2909,41
102,T102,T102,Boo Weekley,74,70.95,2767,39
