,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Rory McIlroy,60,24.28,236,972,60
1,2,2,Webb Simpson,77,23.25,318,1368,32
2,3,3,Robert Garrigus,89,22.91,367,1602,7
3,4,4,Brandt Snedeker,81,22.65,318,1404,132
4,5,5,Keegan Bradley,90,22.6,358,1584,52
5,6,6,Bo Van Pelt,84,22.56,337,1494,40
6,7,7,Ben Crane,73,22.53,292,1296,105
7,8,8,Jason Dufner,83,22.43,331,1476,8
8,9,9,Tiger Woods,69,22.39,270,1206,29
9,10,10,Phil Mickelson,79,22.36,318,1422,120
10,11,11,Ryan Moore,89,22.28,357,1602,61
11,T12,T12,Scott Piercy,95,22.22,380,1710,82
12,T12,T12,Bubba Watson,68,22.22,264,1188,2
13,14,14,Jonas Blixt,72,22.07,286,1296,134
14,15,15,Ryan Palmer,81,21.95,320,1458,94
15,16,16,Lee Westwood,60,21.91,213,972,3
16,17,17,Jeff Overton,101,21.78,396,1818,63
17,18,18,Zach Johnson,95,21.69,367,1692,101
18,19,19,Adam Scott,59,21.65,226,1044,50
19,20,20,Louis Oosthuizen,65,21.6,245,1134,15
20,21,21,Steve Stricker,73,21.59,272,1260,19
21,22,22,Chris Kirk,93,21.54,345,1602,48
22,23,23,Dustin Johnson,70,21.48,259,1206,81
23,T24,T24,Graeme McDowell,55,21.4,208,972,67
24,T24,T24,Jimmy Walker,101,21.4,389,1818,116
25,26,26,Matt Every,80,21.39,308,1440,68
26,27,27,Brendon de Jonge,115,21.35,442,2070,8
27,28,28,Tom Gillis,75,21.33,288,1350,129
28,29,29,Josh Teater,97,21.27,356,1674,31
29,30,30,Pat Perez,81,21.24,302,1422,96
30,31,31,John Senden,81,21.23,298,1404,16
31,32,32,Sean O'Hair,84,21.16,320,1512,21
32,T33,T33,Charlie Beljan,61,21.05,216,1026,56
33,T33,T33,Ken Duke,104,21.05,394,1872,111
34,35,35,Justin Rose,69,21.0,257,1224,1
35,36,36,Charley Hoffman,88,20.96,332,1584,61
36,37,37,Robert Karlsson,54,20.94,196,936,145
37,38,38,J.B. Holmes,90,20.93,324,1548,114
38,39,39,Carl Pettersson,92,20.89,346,1656,128
39,40,40,Martin Laird,77,20.85,274,1314,89
40,41,41,Sergio Garcia,57,20.83,210,1008,99
41,T42,T42,Greg Owen,90,20.8,337,1620,17
42,T42,T42,Nick Watney,97,20.8,352,1692,58
43,44,44,Blake Adams,107,20.77,400,1926,78
44,45,45,Garth Mulroy,59,20.76,213,1026,95
45,T46,T46,Jason Day,57,20.71,205,990,169
46,T46,T46,Camilo Villegas,79,20.71,287,1386,4
47,48,48,Henrik Stenson,51,20.7,190,918,87
48,T49,T49,John Daly,50,20.65,171,828,163
49,T49,T49,John Huh,99,20.65,368,1782,57
50,51,51,Danny Lee,74,20.63,260,1260,92
51,52,52,Vijay Singh,99,20.59,367,1782,69
52,53,53,Harris English,98,20.58,363,1764,27
53,T54,T54,Sangmoon Bae,81,20.56,285,1386,182
54,T54,T54,Richard Lee,71,20.56,248,1206,20
55,56,56,Davis Love III,64,20.49,236,1152,97
56,57,57,Matt Kuchar,86,20.46,302,1476,86
57,58,58,Nathan Green,73,20.45,254,1242,43
58,59,59,Will Claxton,99,20.43,364,1782,11
59,60,60,John Rollins,81,20.42,283,1386,72
60,61,61,Mark Anderson,75,20.4,268,1314,129
61,62,62,Vaughn Taylor,81,20.39,290,1422,65
62,63,63,D.A. Points,88,20.33,322,1584,55
63,64,64,Seung-Yul Noh,105,20.3,369,1818,33
64,65,65,Charl Schwartzel,56,20.27,197,972,153
65,66,66,Luke Donald,63,20.25,226,1116,100
66,T67,T67,Chris Couch,61,20.24,215,1062,134
67,T67,T67,Kyle Stanley,86,20.24,306,1512,41
68,69,69,Bud Cauley,99,20.15,359,1782,51
69,T70,T70,Scott Brown,65,20.11,228,1134,114
