,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Daniel Summerhays,81,3.94,886,225
1,2,2,Bubba Watson,68,3.97,1648,415
2,T3,T3,J.J. Henry,93,3.98,831,209
3,T3,T3,Chris Kirk,93,3.98,1135,285
4,T3,T3,Ryan Moore,89,3.98,1542,387
5,T3,T3,Steve Stricker,73,3.98,1833,461
6,T7,T7,Jason Day,57,3.99,775,194
7,T7,T7,Jason Dufner,83,3.99,1837,460
8,T7,T7,Bill Haas,79,3.99,1462,366
9,T7,T7,Bo Van Pelt,84,3.99,1595,400
10,T11,T11,Bud Cauley,99,4.0,1556,389
11,T11,T11,Ernie Els,80,4.0,1477,369
12,T11,T11,Robert Garrigus,89,4.0,1297,324
13,T11,T11,John Merrick,83,4.0,877,219
14,T11,T11,Scott Piercy,95,4.0,1451,363
15,T11,T11,Mark Wilson,84,4.0,596,149
16,T11,T11,Tiger Woods,69,4.0,1782,445
17,T18,T18,Tim Clark,60,4.01,1116,278
18,T18,T18,Ben Curtis,62,4.01,918,229
19,T18,T18,Graham DeLaet,79,4.01,955,238
20,T18,T18,Graeme McDowell,55,4.01,1100,274
21,T18,T18,Kevin Na,80,4.01,1163,290
22,T18,T18,Louis Oosthuizen,65,4.01,1031,257
23,T18,T18,Alexandre Rocha,62,4.01,353,88
24,T18,T18,Justin Rose,69,4.01,1411,352
25,T18,T18,John Senden,81,4.01,1384,345
26,T27,T27,Scott Dunlap,57,4.02,587,146
27,T27,T27,Jim Furyk,85,4.02,1762,438
28,T27,T27,Dustin Johnson,70,4.02,1404,349
29,T27,T27,Kevin Kisner,69,4.02,791,197
30,T27,T27,Matt Kuchar,86,4.02,1876,467
31,T27,T27,Danny Lee,74,4.02,865,215
32,T27,T27,Seung-Yul Noh,105,4.02,1354,337
33,T27,T27,Webb Simpson,77,4.02,1827,454
34,T27,T27,Vijay Singh,99,4.02,1597,397
35,T27,T27,Brandt Snedeker,81,4.02,1613,401
36,T27,T27,Lee Westwood,60,4.02,1173,292
37,T38,T38,Jonas Blixt,72,4.03,1003,249
38,T38,T38,Brian Davis,91,4.03,1501,372
39,T38,T38,Brendon de Jonge,115,4.03,1741,432
40,T38,T38,Matt Every,80,4.03,1115,277
41,T38,T38,Bobby Gates,87,4.03,882,219
42,T38,T38,John Huh,99,4.03,1095,272
43,T38,T38,Hunter Mahan,88,4.03,1449,360
44,T38,T38,Rory McIlroy,60,4.03,1543,383
45,T38,T38,Nick O'Hern,78,4.03,725,180
46,T38,T38,Dicky Pride,62,4.03,782,194
47,T38,T38,Heath Slocum,93,4.03,984,244
48,T38,T38,Kevin Stadler,85,4.03,1349,335
