,Top_10_Final_Round_Performance_RANK THIS WEEK,Top_10_Final_Round_Performance_RANK LAST WEEK,Top_10_Final_Round_Performance_PLAYER NAME,Top_10_Final_Round_Performance_EVENTS,Top_10_Final_Round_Performance_% TIMES IMPROVED,Top_10_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Ricky Barnes,28,100.0,1.0
1,T1,T1,Charlie Beljan,22,100.0,2.0
2,T1,T1,Scott Brown,24,100.0,1.0
3,T1,T1,Tim Clark,20,100.0,3.0
4,T1,T1,John Daly,15,100.0,1.0
5,T1,T1,Luke Donald,17,100.0,4.0
6,T1,T1,Martin Flores,30,100.0,1.0
7,T1,T1,Harrison Frazar,20,100.0,2.0
8,T1,T1,Brian Gay,28,100.0,2.0
9,T1,T1,Billy Horschel,17,100.0,1.0
10,T1,T1,Ryuji Imada,28,100.0,1.0
11,T1,T1,Matt Jones,19,100.0,1.0
12,T1,T1,Troy Kelly,23,100.0,1.0
13,T1,T1,Chris Kirk,27,100.0,3.0
14,T1,T1,Jason Kokrak,27,100.0,1.0
15,T1,T1,Martin Laird,22,100.0,2.0
16,T1,T1,Marc Leishman,23,100.0,1.0
17,T1,T1,Troy Matteson,32,100.0,2.0
18,T1,T1,Billy Mayfair,28,100.0,1.0
19,T1,T1,Nick O'Hern,26,100.0,1.0
20,T1,T1,Tom Pernice Jr.,23,100.0,1.0
21,T1,T1,Carl Pettersson,26,100.0,5.0
22,T1,T1,Ian Poulter,15,100.0,2.0
23,T1,T1,Dicky Pride,19,100.0,2.0
24,T1,T1,Alexandre Rocha,21,100.0,2.0
25,T1,T1,Justin Rose,19,100.0,4.0
26,T1,T1,Kyle Stanley,27,100.0,2.0
27,T1,T1,Kevin Streelman,26,100.0,1.0
28,T1,T1,D.J. Trahan,27,100.0,1.0
29,T1,T1,Mark Wilson,25,100.0,1.0
30,T31,T31,Jim Furyk,24,83.3,5.0
31,T31,T31,Bubba Watson,19,83.3,5.0
32,T33,T33,Bud Cauley,28,80.0,4.0
33,T33,T33,Ernie Els,22,80.0,4.0
34,T33,T33,Rickie Fowler,23,80.0,4.0
35,T33,T33,Dustin Johnson,19,80.0,4.0
36,37,37,Rory McIlroy,16,77.8,7.0
37,T38,T38,Bill Haas,23,75.0,3.0
38,T38,T38,William McGirt,30,75.0,3.0
39,T38,T38,Phil Mickelson,22,75.0,6.0
40,T38,T38,John Rollins,26,75.0,3.0
41,T38,T38,Lee Westwood,15,75.0,3.0
42,T43,T43,Robert Garrigus,26,71.4,5.0
43,T43,T43,Louis Oosthuizen,19,71.4,5.0
44,T43,T43,Brandt Snedeker,22,71.4,5.0
45,T46,T46,Chad Campbell,27,66.7,2.0
46,T46,T46,Sergio Garcia,16,66.7,2.0
47,T46,T46,Tom Gillis,23,66.7,2.0
48,T46,T46,J.J. Henry,28,66.7,2.0
49,T46,T46,Colt Knost,29,66.7,2.0
50,T46,T46,Justin Leonard,26,66.7,2.0
51,T46,T46,Spencer Levin,26,66.7,2.0
52,T46,T46,Davis Love III,20,66.7,2.0
53,T46,T46,Graeme McDowell,16,66.7,4.0
54,T46,T46,Jeff Overton,29,66.7,2.0
55,T46,T46,Andres Romero,22,66.7,2.0
56,T46,T46,Charl Schwartzel,16,66.7,2.0
57,T46,T46,Daniel Summerhays,26,66.7,2.0
58,T46,T46,Josh Teater,30,66.7,2.0
59,T46,T46,Charlie Wi,25,66.7,4.0
60,T61,T61,Jonas Blixt,21,60.0,3.0
61,T61,T61,Matt Every,25,60.0,3.0
62,T61,T61,John Mallinger,25,60.0,3.0
63,T61,T61,Johnson Wagner,27,60.0,3.0
64,T61,T61,Tiger Woods,19,60.0,6.0
65,66,66,Jason Dufner,22,55.6,5.0
66,T67,T67,Robert Allenby,27,50.0,1.0
67,T67,T67,Jason Bohn,28,50.0,1.0
68,T67,T67,Ben Curtis,19,50.0,2.0
69,T67,T67,Brian Davis,29,50.0,2.0
70,T67,T67,Jason Day,17,50.0,1.0
71,T67,T67,Chris DiMarco,29,50.0,1.0
72,T67,T67,Charley Hoffman,27,50.0,1.0
73,T67,T67,Billy Hurley III,27,50.0,1.0
74,T67,T67,Ryo Ishikawa,18,50.0,1.0
75,T67,T67,George McNeill,25,50.0,1.0
76,T67,T67,John Merrick,26,50.0,1.0
77,T67,T67,Sean O'Hair,24,50.0,1.0
78,T67,T67,D.A. Points,29,50.0,2.0
79,T67,T67,"Ted Potter, Jr.",25,50.0,1.0
80,T67,T67,Webb Simpson,22,50.0,4.0
81,T67,T67,Steve Stricker,19,50.0,3.0
82,T67,T67,Chris Stroud,28,50.0,2.0
83,T67,T67,Roland Thatcher,21,50.0,1.0
84,T67,T67,David Toms,19,50.0,1.0
85,T67,T67,Nick Watney,26,50.0,1.0
86,87,87,Zach Johnson,25,44.4,4.0
87,88,88,Keegan Bradley,25,42.9,3.0
88,T89,T89,Ken Duke,30,40.0,2.0
89,T89,T89,John Huh,28,40.0,2.0
90,T89,T89,Kevin Na,25,40.0,2.0
91,T89,T89,Scott Piercy,28,40.0,2.0
92,T93,T93,Matt Kuchar,22,37.5,3.0
93,T93,T93,Ryan Moore,24,37.5,3.0
94,T95,T95,Sangmoon Bae,25,33.3,1.0
95,T95,T95,Graham DeLaet,23,33.3,1.0
96,T95,T95,Harris English,27,33.3,1.0
97,T95,T95,Seung-Yul Noh,28,33.3,1.0
98,T95,T95,Ryan Palmer,24,33.3,2.0
99,T95,T95,Rory Sabbatini,29,33.3,1.0
100,T95,T95,Adam Scott,16,33.3,1.0
101,T95,T95,Scott Stallings,27,33.3,1.0
102,T95,T95,Cameron Tringale,26,33.3,1.0
103,T95,T95,Jhonattan Vegas,25,33.3,1.0
104,T95,T95,Jimmy Walker,28,33.3,1.0
105,T106,T106,Jonathan Byrd,21,25.0,1.0
106,T106,T106,Ben Crane,23,25.0,1.0
107,T106,T106,Brian Harman,30,25.0,1.0
108,T106,T106,J.B. Holmes,25,25.0,1.0
109,T106,T106,Hunter Mahan,23,25.0,1.0
110,T106,T106,John Senden,22,25.0,2.0
111,T106,T106,Henrik Stenson,15,25.0,1.0
