,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Jim Furyk,85,12.96,196,1512
1,2,2,Jason Dufner,83,14.02,207,1476
2,3,3,Tiger Woods,69,14.18,171,1206
3,4,4,Justin Rose,69,14.22,174,1224
4,5,5,Steve Stricker,73,14.44,182,1260
5,6,6,Ben Curtis,62,14.52,162,1116
6,7,7,Luke Donald,63,14.61,163,1116
7,8,8,Brian Gay,91,14.62,229,1566
8,9,9,Matt Kuchar,86,14.77,218,1476
9,10,10,Russell Knox,72,15.03,184,1224
10,11,11,Bubba Watson,68,15.07,179,1188
11,12,12,Bud Cauley,99,15.1,269,1782
12,13,13,Billy Horschel,63,15.16,161,1062
13,14,14,Brendon de Jonge,115,15.22,315,2070
14,15,15,Bryce Molder,83,15.47,220,1422
15,T16,T16,Webb Simpson,77,15.57,213,1368
16,T16,T16,Kevin Stadler,85,15.57,227,1458
17,T18,T18,Jonas Blixt,72,15.66,203,1296
18,T18,T18,Will Claxton,99,15.66,279,1782
19,T20,T20,David Hearn,95,15.67,268,1710
20,T20,T20,J.J. Henry,93,15.67,251,1602
21,T20,T20,Dustin Johnson,70,15.67,189,1206
22,T20,T20,John Senden,81,15.67,220,1404
23,T20,T20,Brandt Snedeker,81,15.67,220,1404
24,25,25,Roberto Castro,92,15.68,254,1620
25,26,26,Jeff Overton,101,15.73,286,1818
26,T27,T27,Ernie Els,80,15.74,221,1404
27,T27,T27,Rory McIlroy,60,15.74,153,972
28,29,29,Pat Perez,81,15.75,224,1422
29,30,30,Seung-Yul Noh,105,15.79,287,1818
30,31,31,Rocco Mediate,70,15.85,194,1224
31,32,32,Ian Poulter,57,15.87,160,1008
32,33,33,Carl Pettersson,92,15.88,263,1656
33,34,34,Chris Stroud,86,15.89,246,1548
34,T35,T35,Zach Johnson,95,15.9,269,1692
35,T35,T35,David Toms,60,15.9,166,1044
36,37,37,Phil Mickelson,79,15.96,227,1422
37,38,38,Heath Slocum,93,15.98,256,1602
38,T39,T39,Bill Haas,79,16.03,225,1404
39,T39,T39,William McGirt,96,16.03,277,1728
40,41,41,Stuart Appleby,75,16.04,205,1278
41,42,42,Kevin Na,80,16.1,229,1422
42,43,43,Geoff Ogilvy,73,16.13,209,1296
43,44,44,Sergio Garcia,57,16.17,163,1008
44,45,45,Daniel Summerhays,81,16.19,236,1458
45,46,46,Scott Piercy,95,16.2,277,1710
46,T47,T47,Louis Oosthuizen,65,16.31,185,1134
47,T47,T47,Camilo Villegas,79,16.31,226,1386
48,49,49,Bill Lunde,83,16.32,232,1422
49,50,50,Bob Estes,78,16.38,230,1404
50,51,51,Jerry Kelly,84,16.4,248,1512
51,52,52,Richard Lee,71,16.42,198,1206
52,53,53,Hunter Mahan,88,16.46,243,1476
53,T54,T54,Tim Herron,88,16.48,261,1584
54,T54,T54,Kevin Streelman,89,16.48,264,1602
55,56,56,Matt Every,80,16.53,238,1440
56,T57,T57,Billy Mayfair,90,16.54,256,1548
57,T57,T57,Cameron Tringale,88,16.54,262,1584
58,59,59,Dicky Pride,62,16.57,173,1044
59,60,60,John Mallinger,74,16.59,209,1260
60,T61,T61,Graham DeLaet,79,16.6,236,1422
61,T61,T61,Sean O'Hair,84,16.6,251,1512
62,63,63,Brian Harman,101,16.61,302,1818
63,T64,T64,Greg Chalmers,88,16.67,261,1566
64,T64,T64,Ken Duke,104,16.67,312,1872
65,T64,T64,Martin Flores,95,16.67,285,1710
66,T64,T64,Nathan Green,73,16.67,207,1242
67,T64,T64,Matt Jones,53,16.67,159,954
68,T64,T64,Kevin Kisner,69,16.67,195,1170
69,T64,T64,Henrik Stenson,51,16.67,153,918
70,T64,T64,Vaughn Taylor,81,16.67,237,1422
71,T72,T72,Chris Kirk,93,16.73,268,1602
72,T72,T72,Jeff Maggert,83,16.73,250,1494
73,74,74,John Merrick,83,16.74,238,1422
74,75,75,Robert Garrigus,89,16.79,269,1602
75,76,76,Ryan Moore,89,16.85,270,1602
76,77,77,Kyle Reifers,86,16.86,261,1548
77,T78,T78,Vijay Singh,99,16.89,301,1782
78,T78,T78,Jimmy Walker,101,16.89,307,1818
79,80,80,Brian Davis,91,16.91,277,1638
