,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Rory McIlroy,60,29.39,144,490
1,2,2,Jason Dufner,83,26.73,235,879
2,3,3,Tiger Woods,69,25.95,170,655
3,4,4,Ryan Palmer,81,25.84,230,890
4,5,5,Martin Laird,77,25.51,176,690
5,6,6,Keegan Bradley,90,25.4,236,929
6,7,7,Bo Van Pelt,84,25.37,221,871
7,8,8,Phil Mickelson,79,25.27,184,728
8,9,9,Robert Karlsson,54,25.1,126,502
9,10,10,Robert Garrigus,89,25.08,230,917
10,11,11,Adam Scott,59,24.81,131,528
11,T12,T12,Brandt Snedeker,81,24.8,215,867
12,T12,T12,Steve Stricker,73,24.8,182,734
13,14,14,Jonas Blixt,72,24.75,199,804
14,15,15,Webb Simpson,77,24.73,208,841
15,16,16,Scott Piercy,95,24.29,257,1058
16,17,17,Dustin Johnson,70,24.23,158,652
17,18,18,Graeme McDowell,55,24.21,130,537
18,19,19,Zach Johnson,95,24.1,248,1029
19,20,20,Lee Westwood,60,24.04,125,520
20,21,21,Charl Schwartzel,56,23.93,128,535
21,22,22,Ken Duke,104,23.9,292,1222
22,23,23,Padraig Harrington,67,23.84,139,583
23,24,24,Nick Watney,97,23.81,236,991
24,T25,T25,Sergio Garcia,57,23.79,138,580
25,T25,T25,Jeff Overton,101,23.79,281,1181
26,27,27,Brendon de Jonge,115,23.76,325,1368
27,T28,T28,Carl Pettersson,92,23.65,246,1040
28,T28,T28,Josh Teater,97,23.65,254,1074
29,30,30,Tom Gillis,75,23.6,224,949
30,31,31,Ryan Moore,89,23.58,261,1107
31,32,32,John Senden,81,23.54,197,837
32,33,33,Justin Rose,69,23.5,168,715
33,34,34,Rory Sabbatini,84,23.45,215,917
34,35,35,Chris Kirk,93,23.42,255,1089
35,36,36,Matt Kuchar,86,23.4,208,889
36,37,37,Nathan Green,73,23.38,166,710
37,38,38,Geoff Ogilvy,73,23.35,166,711
38,39,39,John Daly,50,23.34,109,467
39,40,40,Jason Day,57,23.33,133,570
40,41,41,Pat Perez,81,23.28,217,932
41,42,42,Vijay Singh,99,23.11,244,1056
42,43,43,Rickie Fowler,84,23.09,209,905
43,44,44,Jimmy Walker,101,23.08,253,1096
44,45,45,Luke Donald,63,23.03,149,647
45,46,46,Louis Oosthuizen,65,23.02,148,643
46,47,47,Tommy Biershenk,74,23.01,168,730
47,48,48,Gary Christian,91,22.98,239,1040
48,T49,T49,Jonathan Byrd,69,22.8,161,706
49,T49,T49,Garth Mulroy,59,22.8,135,592
50,51,51,Bubba Watson,68,22.79,142,623
51,52,52,Freddie Jacobson,61,22.77,125,549
52,53,53,Ben Curtis,62,22.65,152,671
53,54,54,Ben Crane,73,22.64,187,826
54,T55,T55,Ricky Barnes,92,22.58,236,1045
55,T55,T55,Billy Horschel,63,22.58,147,651
56,T57,T57,Sean O'Hair,84,22.56,220,975
57,T57,T57,Jhonattan Vegas,77,22.56,185,820
58,59,59,Davis Love III,64,22.52,152,675
59,60,60,K.J. Choi,71,22.5,171,760
60,T61,T61,Henrik Stenson,51,22.48,127,565
61,T61,T61,Y.E. Yang,64,22.48,138,614
62,63,63,Brian Harman,101,22.44,269,1199
63,64,64,D.A. Points,88,22.39,240,1072
64,65,65,Ian Poulter,57,22.35,120,537
65,66,66,John Rollins,81,22.34,212,949
66,67,67,Will Claxton,99,22.33,259,1160
67,68,68,Charley Hoffman,88,22.32,219,981
68,69,69,Richard Lee,71,22.28,176,790
69,70,70,Scott Brown,65,22.27,149,669
70,71,71,Kevin Na,80,22.21,197,887
71,T72,T72,James Driscoll,83,22.2,188,847
72,T72,T72,Bobby Gates,87,22.2,214,964
73,74,74,Matt Every,80,22.16,187,844
74,75,75,John Merrick,83,22.15,212,957
75,76,76,Daniel Chopra,55,22.13,108,488
76,77,77,Sangmoon Bae,81,22.11,159,719
77,78,78,Blake Adams,107,22.06,268,1215
78,79,79,Camilo Villegas,79,22.04,216,980
79,80,80,Greg Owen,90,22.03,217,985
80,81,81,Harrison Frazar,56,22.01,129,586
81,82,82,Spencer Levin,81,21.97,181,824
82,83,83,Vaughn Taylor,81,21.94,183,834
83,84,84,Martin Flores,95,21.88,217,992
84,85,85,Bill Lunde,83,21.86,188,860
85,86,86,Johnson Wagner,88,21.78,218,1001
86,87,87,Harris English,98,21.77,246,1130
87,88,88,Aaron Baddeley,73,21.74,145,667
88,89,89,Hunter Mahan,88,21.66,188,868
89,T90,T90,Marco Dawson,60,21.63,125,578
90,T90,T90,Daniel Summerhays,81,21.63,194,897
91,92,92,Matt Bettencourt,80,21.6,154,713
92,93,93,Brian Davis,91,21.57,239,1108
93,T94,T94,Michael Thompson,80,21.49,188,875
94,T94,T94,Charlie Wi,86,21.49,208,968
95,96,96,Tommy Gainey,98,21.48,238,1108
96,97,97,Roberto Castro,92,21.46,220,1025
97,T98,T98,Cameron Beckman,81,21.41,197,920
98,T98,T98,Brian Gay,91,21.41,224,1046
99,100,100,Chad Campbell,84,21.37,203,950
100,101,101,John Huh,99,21.35,253,1185
101,102,102,Charlie Beljan,61,21.34,115,539
102,103,103,Mark Anderson,75,21.33,157,736
103,104,104,Kevin Chappell,91,21.26,192,903
104,105,105,David Toms,60,21.25,133,626
105,106,106,Charles Howell III,98,21.24,202,951
106,107,107,Bud Cauley,99,21.23,255,1201
107,108,108,Andres Romero,68,21.2,141,665
108,109,109,Bill Haas,79,21.17,170,803
109,110,110,Jason Bohn,81,21.16,193,912
110,T111,T111,Kevin Kisner,69,21.11,145,687
111,T111,T111,Kevin Streelman,89,21.11,216,1023
112,113,113,Cameron Tringale,88,21.06,219,1040
113,114,114,Trevor Immelman,76,21.05,156,741
114,115,115,Gary Woodland,70,21.04,137,651
115,116,116,Kevin Stadler,85,20.97,198,944
116,117,117,Jim Furyk,85,20.92,196,937
117,118,118,J.B. Holmes,90,20.85,196,940
118,119,119,Jerry Kelly,84,20.83,221,1061
119,120,120,Bryce Molder,83,20.8,197,947
120,121,121,George McNeill,85,20.71,192,927
121,T122,T122,Kris Blanks,65,20.58,169,821
122,T122,T122,Marc Leishman,84,20.58,191,928
123,124,124,Edward Loar,59,20.57,109,530
124,T125,T125,Troy Matteson,100,20.54,205,998
125,T125,T125,Seung-Yul Noh,105,20.54,221,1076
126,T127,T127,Gavin Coles,72,20.51,161,785
127,T127,T127,Scott Stallings,78,20.51,176,858
128,129,129,Danny Lee,74,20.49,152,742
129,130,130,Erik Compton,81,20.48,163,796
130,131,131,Mathew Goggin,65,20.47,140,684
131,132,132,David Hearn,95,20.44,241,1179
132,T133,T133,Greg Chalmers,88,20.41,201,985
133,T133,T133,Bob Estes,78,20.41,179,877
134,135,135,Miguel Angel Carballo,73,20.34,144,708
135,136,136,Hunter Haas,69,20.33,134,659
136,T137,T137,Jeff Maggert,83,20.32,217,1068
137,T137,T137,Heath Slocum,93,20.32,218,1073
138,139,139,John Mallinger,74,20.3,178,877
139,T140,T140,Robert Allenby,76,20.19,173,857
140,T140,T140,Chris Couch,61,20.19,147,728
141,T142,T142,Tim Clark,60,20.17,144,714
142,T142,T142,Roland Thatcher,55,20.17,118,585
143,T144,T144,Stewart Cink,71,20.15,131,650
144,T144,T144,Graham DeLaet,79,20.15,188,933
145,146,146,Russell Knox,72,20.13,158,785
146,147,147,Chez Reavie,83,20.11,188,935
147,148,148,Dicky Pride,62,20.09,131,652
148,149,149,Tim Herron,88,20.04,197,983
149,150,150,Ryuji Imada,78,19.98,173,866
150,151,151,Ernie Els,80,19.9,164,824
151,152,152,Kyle Stanley,86,19.84,175,882
152,153,153,Derek Lamely,64,19.82,134,676
153,154,154,Jason Kokrak,79,19.78,165,834
154,155,155,Rocco Mediate,70,19.76,150,759
155,156,156,William McGirt,96,19.75,202,1023
156,157,157,David Mathis,83,19.74,181,917
157,158,158,Tom Pernice Jr.,62,19.71,135,685
158,159,159,Boo Weekley,74,19.7,157,797
159,160,160,Nick O'Hern,78,19.69,180,914
160,T161,T161,Scott Dunlap,57,19.58,121,618
161,T161,T161,D.J. Trahan,73,19.58,159,812
162,163,163,Kyle Reifers,86,19.52,195,999
163,164,164,Arjun Atwal,79,19.48,171,878
164,165,165,"Ted Potter, Jr.",77,19.43,157,808
165,166,166,J.J. Henry,93,19.42,189,973
166,167,167,Stephen Ames,54,19.37,99,511
167,168,168,Ángel Cabrera,54,19.26,89,462
168,169,169,Brendon Todd,78,19.24,158,821
169,170,170,Alexandre Rocha,62,19.17,130,678
170,171,171,Rod Pampling,88,19.14,178,930
171,172,172,Matt Jones,53,19.12,104,544
172,173,173,Chris DiMarco,83,19.04,191,1003
173,174,174,Billy Hurley III,70,19.01,142,747
174,175,175,Colt Knost,79,18.99,180,948
175,176,176,Steve Wheatcroft,56,18.97,103,543
176,177,177,Troy Kelly,68,18.87,117,620
177,178,178,Stuart Appleby,75,18.84,166,881
178,179,179,Brandt Jobe,57,18.81,117,622
179,180,180,Mark Wilson,84,18.79,180,958
180,181,181,J.J. Killeen,101,18.73,195,1041
181,182,182,Justin Leonard,79,18.61,169,908
182,183,183,Michael Bradley,63,18.58,126,678
183,184,184,Billy Mayfair,90,18.43,195,1058
184,185,185,Chris Stroud,86,18.39,185,1006
185,186,186,Brendan Steele,77,18.34,155,845
186,187,187,Kyle Thompson,51,18.29,90,492
187,188,188,Stephen Gangluff,57,18.2,93,511
188,189,189,Patrick Sheehan,58,17.22,98,569
189,190,190,Ryo Ishikawa,54,16.74,76,454
190,191,191,Sung Kang,75,16.71,131,784
