,SG_Total_RANK THIS WEEK,SG_Total_RANK LAST WEEK,SG_Total_PLAYER NAME,SG_Total_ROUNDS,SG_Total_AVERAGE,SG_Total_TOTAL SG:T,SG_Total_TOTAL SG:T2G,SG_Total_TOTAL SG:P,SG_Total_MEASURED ROUNDS
0,1,1,Rory McIlroy,60,2.406,96.228,93.891,2.336,40
1,2,2,Tiger Woods,69,2.31,110.89399999999999,94.61,16.282,48
2,3,3,Jim Furyk,85,1.7519999999999998,113.906,86.40700000000001,27.493000000000002,65
3,4,4,Luke Donald,63,1.641,78.789,39.53,39.258,48
4,5,5,Justin Rose,69,1.64,86.90899999999999,93.376,-6.468,53
5,6,6,Bubba Watson,68,1.5290000000000001,77.959,92.258,-14.300999999999998,51
6,7,7,Dustin Johnson,70,1.5090000000000001,79.962,70.16,9.8,53
7,8,8,Jason Dufner,83,1.446,92.54899999999999,82.772,9.777000000000001,64
8,9,9,Bo Van Pelt,84,1.4369999999999998,93.40299999999999,58.193000000000005,35.208,65
9,10,10,Phil Mickelson,79,1.422,85.33200000000001,51.623000000000005,33.707,60
10,11,11,Matt Kuchar,86,1.382,91.204,60.052,31.151,66
11,12,12,Steve Stricker,73,1.295,69.922,62.681000000000004,7.24,54
12,13,13,Zach Johnson,95,1.197,88.56200000000001,46.559,42.0,74
13,14,14,Adam Scott,59,1.1640000000000001,47.708999999999996,53.368,-5.66,41
14,15,15,Webb Simpson,77,1.123,74.11,60.196999999999996,13.911,66
15,16,16,Keegan Bradley,90,1.122,79.633,56.183,23.445,71
16,17,17,Sergio Garcia,57,1.104,48.593999999999994,30.99,17.601,44
17,18,18,Brendon de Jonge,115,1.083,110.45100000000001,95.757,14.687999999999999,102
18,19,19,Jonas Blixt,72,1.062,67.956,16.477,51.477,64
19,20,20,Jason Day,57,1.024,48.135,23.389,24.741,47
20,21,21,Brandt Snedeker,81,1.01,65.682,9.779,55.901,65
21,22,22,Ryan Palmer,81,1.003,71.208,39.039,32.168,71
22,23,23,John Senden,81,1.0,61.972,59.534,2.436,62
23,24,24,Robert Garrigus,89,0.988,73.107,89.72,-16.613,74
24,25,25,Louis Oosthuizen,65,0.976,47.81399999999999,48.023999999999994,-0.212,49
25,26,26,Charl Schwartzel,56,0.925,36.981,33.617,3.365,40
