,Tenth_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Par_5_Scoring_Average_ROUNDS,Tenth_Tee_Early_Par_5_Scoring_Average_AVG,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Robert Garrigus,89,4.26,145,34
1,2,2,Mark Wilson,84,4.32,95,22
2,3,3,Keegan Bradley,90,4.34,282,65
3,T4,T4,Sean O'Hair,84,4.41,225,51
4,T4,T4,Vijay Singh,99,4.41,181,41
5,T6,T6,Rory McIlroy,60,4.44,160,36
6,T6,T6,Bubba Watson,68,4.44,231,52
7,8,8,Kyle Stanley,86,4.45,178,40
8,T9,T9,Greg Chalmers,88,4.46,156,35
9,T9,T9,Andres Romero,68,4.46,205,46
10,T11,T11,Sergio Garcia,57,4.47,134,30
11,T11,T11,Dustin Johnson,70,4.47,201,45
12,T11,T11,Martin Laird,77,4.47,85,19
13,T11,T11,Y.E. Yang,64,4.47,152,34
14,T15,T15,John Daly,50,4.48,112,25
15,T15,T15,Billy Hurley III,70,4.48,112,25
16,T15,T15,David Toms,60,4.48,139,31
17,T18,T18,Gary Christian,91,4.49,265,59
18,T18,T18,James Driscoll,83,4.49,229,51
19,T18,T18,Russell Knox,72,4.49,238,53
20,T18,T18,Michael Thompson,80,4.49,211,47
21,T18,T18,Tiger Woods,69,4.49,211,47
22,T23,T23,Luke Donald,63,4.5,171,38
23,T23,T23,Louis Oosthuizen,65,4.5,81,18
24,T23,T23,Jeff Overton,101,4.5,189,42
25,T26,T26,Jeff Maggert,83,4.51,194,43
26,T26,T26,John Mallinger,74,4.51,194,43
27,T26,T26,Kevin Streelman,89,4.51,230,51
28,T26,T26,Josh Teater,97,4.51,284,63
29,T30,T30,Garth Mulroy,59,4.52,131,29
30,T30,T30,Bo Van Pelt,84,4.52,95,21
31,T32,T32,Stuart Appleby,75,4.53,358,79
32,T32,T32,Matt Every,80,4.53,195,43
33,T32,T32,Brian Harman,101,4.53,426,94
34,T32,T32,Jason Kokrak,79,4.53,290,64
35,T32,T32,Seung-Yul Noh,105,4.53,213,47
36,T32,T32,Jimmy Walker,101,4.53,326,72
37,T38,T38,Kris Blanks,65,4.54,159,35
38,T38,T38,Marc Leishman,84,4.54,254,56
39,T38,T38,Pat Perez,81,4.54,227,50
40,T41,T41,Kevin Chappell,91,4.55,264,58
41,T41,T41,Jason Day,57,4.55,132,29
42,T41,T41,Scott Dunlap,57,4.55,150,33
43,T41,T41,Scott Stallings,78,4.55,214,47
44,T45,T45,Blake Adams,107,4.56,324,71
45,T45,T45,Tommy Biershenk,74,4.56,228,50
46,T45,T45,Phil Mickelson,79,4.56,269,59
47,T45,T45,Greg Owen,90,4.56,155,34
48,T45,T45,Ryan Palmer,81,4.56,114,25
49,T50,T50,Ben Crane,73,4.57,137,30
50,T50,T50,Graham DeLaet,79,4.57,233,51
51,T50,T50,Charles Howell III,98,4.57,160,35
52,T50,T50,George McNeill,85,4.57,242,53
53,T50,T50,Webb Simpson,77,4.57,242,53
54,T50,T50,Brendan Steele,77,4.57,274,60
55,56,56,Steve Stricker,73,4.58,197,43
56,T57,T57,Geoff Ogilvy,73,4.59,133,29
57,T57,T57,"Ted Potter, Jr.",77,4.59,188,41
58,T57,T57,Camilo Villegas,79,4.59,303,66
59,T60,T60,Sangmoon Bae,81,4.6,244,53
60,T60,T60,Roberto Castro,92,4.6,290,63
61,T60,T60,Ryan Moore,89,4.6,216,47
62,T60,T60,Henrik Stenson,51,4.6,138,30
63,T60,T60,Boo Weekley,74,4.6,193,42
64,T65,T65,Charlie Beljan,61,4.61,203,44
65,T65,T65,Jonas Blixt,72,4.61,189,41
66,T65,T65,Gavin Coles,72,4.61,203,44
67,T65,T65,Chris DiMarco,83,4.61,263,57
68,T65,T65,Martin Flores,95,4.61,286,62
69,T65,T65,Ryo Ishikawa,54,4.61,166,36
70,T65,T65,Robert Karlsson,54,4.61,166,36
71,T65,T65,Scott Piercy,95,4.61,212,46
72,T65,T65,Johnson Wagner,88,4.61,166,36
73,T74,T74,Daniel Chopra,55,4.62,134,29
74,T74,T74,Tim Clark,60,4.62,134,29
75,T74,T74,Freddie Jacobson,61,4.62,97,21
76,T74,T74,Richard Lee,71,4.62,282,61
77,T78,T78,Aaron Baddeley,73,4.63,88,19
78,T78,T78,Michael Bradley,63,4.63,176,38
79,T78,T78,Chris Couch,61,4.63,278,60
80,T78,T78,Harris English,98,4.63,287,62
81,T78,T78,Sung Kang,75,4.63,185,40
82,T78,T78,Kyle Reifers,86,4.63,384,83
83,T78,T78,Lee Westwood,60,4.63,125,27
84,T78,T78,Charlie Wi,86,4.63,222,48
85,T86,T86,Bill Haas,79,4.64,209,45
86,T86,T86,Zach Johnson,95,4.64,260,56
87,T86,T86,Gary Woodland,70,4.64,274,59
88,T89,T89,Chad Campbell,84,4.65,172,37
89,T89,T89,Miguel Angel Carballo,73,4.65,200,43
90,T89,T89,John Huh,99,4.65,79,17
91,T89,T89,Matt Kuchar,86,4.65,242,52
92,T89,T89,Tom Pernice Jr.,62,4.65,302,65
93,T94,T94,Ricky Barnes,92,4.66,345,74
94,T94,T94,Ken Duke,104,4.66,205,44
95,T94,T94,Rickie Fowler,84,4.66,275,59
96,T94,T94,Tim Herron,88,4.66,270,58
97,T94,T94,David Mathis,83,4.66,289,62
98,T94,T94,Carl Pettersson,92,4.66,177,38
99,T94,T94,Rory Sabbatini,84,4.66,205,44
100,T94,T94,Jhonattan Vegas,77,4.66,205,44
101,T94,T94,Nick Watney,97,4.66,275,59
102,T103,T103,Jason Bohn,81,4.67,196,42
103,T103,T103,Ángel Cabrera,54,4.67,154,33
104,T103,T103,Ben Curtis,62,4.67,154,33
105,T103,T103,Marco Dawson,60,4.67,210,45
106,T103,T103,Tommy Gainey,98,4.67,369,79
107,T103,T103,Brian Gay,91,4.67,266,57
108,T103,T103,Dicky Pride,62,4.67,98,21
109,T103,T103,John Rollins,81,4.67,238,51
110,T111,T111,Mark Anderson,75,4.68,173,37
111,T111,T111,Erik Compton,81,4.68,304,65
112,T111,T111,J.B. Holmes,90,4.68,295,63
113,T111,T111,J.J. Killeen,101,4.68,374,80
114,T111,T111,Derek Lamely,64,4.68,220,47
115,T111,T111,Brandt Snedeker,81,4.68,234,50
116,T117,T117,Hunter Haas,69,4.69,183,39
117,T117,T117,Billy Mayfair,90,4.69,328,70
118,T117,T117,Chris Stroud,86,4.69,230,49
119,T120,T120,Jonathan Byrd,69,4.7,94,20
120,T120,T120,Stewart Cink,71,4.7,202,43
121,T120,T120,Will Claxton,99,4.7,249,53
122,T120,T120,John Merrick,83,4.7,207,44
123,T120,T120,Alexandre Rocha,62,4.7,141,30
124,T120,T120,Heath Slocum,93,4.7,287,61
125,T126,T126,Stephen Ames,54,4.71,165,35
126,T126,T126,Charley Hoffman,88,4.71,198,42
127,T126,T126,Justin Rose,69,4.71,179,38
128,T129,T129,Jason Dufner,83,4.72,184,39
129,T129,T129,Ernie Els,80,4.72,316,67
130,T129,T129,Stephen Gangluff,57,4.72,184,39
131,T129,T129,Padraig Harrington,67,4.72,151,32
132,T129,T129,Chris Kirk,93,4.72,170,36
133,T129,T129,Rocco Mediate,70,4.72,217,46
134,T129,T129,Adam Scott,59,4.72,118,25
135,T136,T136,K.J. Choi,71,4.73,232,49
136,T136,T136,William McGirt,96,4.73,241,51
137,T136,T136,Kevin Na,80,4.73,156,33
138,T139,T139,Matt Bettencourt,80,4.74,351,74
139,T139,T139,Mathew Goggin,65,4.74,185,39
140,T139,T139,Nathan Green,73,4.74,199,42
141,T139,T139,Bryce Molder,83,4.74,237,50
142,T139,T139,Rod Pampling,88,4.74,251,53
143,T139,T139,Ian Poulter,57,4.74,161,34
144,T145,T145,Brendon de Jonge,115,4.75,328,69
145,T145,T145,J.J. Henry,93,4.75,285,60
146,T145,T145,Jerry Kelly,84,4.75,190,40
147,T145,T145,Hunter Mahan,88,4.75,247,52
148,T145,T145,Graeme McDowell,55,4.75,95,20
149,T145,T145,D.A. Points,88,4.75,209,44
150,T145,T145,John Senden,81,4.75,171,36
151,T145,T145,Vaughn Taylor,81,4.75,299,63
152,T153,T153,Scott Brown,65,4.76,176,37
153,T153,T153,Bobby Gates,87,4.76,257,54
154,T153,T153,Troy Kelly,68,4.76,214,45
155,T153,T153,D.J. Trahan,73,4.76,338,71
156,T157,T157,Arjun Atwal,79,4.77,148,31
157,T157,T157,Bud Cauley,99,4.77,386,81
158,T157,T157,David Hearn,95,4.77,310,65
159,T157,T157,Charl Schwartzel,56,4.77,167,35
160,T161,T161,Cameron Beckman,81,4.78,354,74
161,T161,T161,Brian Davis,91,4.78,344,72
162,T161,T161,Billy Horschel,63,4.78,153,32
163,T161,T161,Bill Lunde,83,4.78,282,59
164,T165,T165,Bob Estes,78,4.79,163,34
165,T165,T165,Jim Furyk,85,4.79,230,48
166,T165,T165,Tom Gillis,75,4.79,182,38
167,T165,T165,Kevin Kisner,69,4.79,254,53
168,T165,T165,Colt Knost,79,4.79,297,62
169,T165,T165,Davis Love III,64,4.79,302,63
170,T165,T165,Brendon Todd,78,4.79,268,56
171,T172,T172,Edward Loar,59,4.8,211,44
172,T172,T172,Cameron Tringale,88,4.8,235,49
173,T174,T174,Brandt Jobe,57,4.81,173,36
174,T174,T174,Danny Lee,74,4.81,279,58
175,T174,T174,Troy Matteson,100,4.81,332,69
176,T177,T177,Matt Jones,53,4.82,159,33
177,T177,T177,Nick O'Hern,78,4.82,236,49
178,T177,T177,Patrick Sheehan,58,4.82,164,34
179,T180,T180,Spencer Levin,81,4.83,193,40
180,T180,T180,Steve Wheatcroft,56,4.83,140,29
181,182,182,Daniel Summerhays,81,4.84,179,37
182,183,183,Justin Leonard,79,4.85,267,55
183,184,184,Harrison Frazar,56,4.86,102,21
184,T185,T185,Ryuji Imada,78,4.88,234,48
185,T185,T185,Kyle Thompson,51,4.88,166,34
186,187,187,Kevin Stadler,85,4.89,303,62
187,188,188,Trevor Immelman,76,4.91,211,43
188,189,189,Roland Thatcher,55,4.93,143,29
189,190,190,Robert Allenby,76,4.97,194,39
190,191,191,Chez Reavie,83,4.98,204,41
