,Tenth_Tee_Early_Round_2_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Round_2_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Round_2_Scoring_Average_AVG,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Roberto Castro,66.25,265,4
1,T2,T2,Ben Curtis,67.0,67,1
2,T2,T2,Robert Garrigus,67.0,201,3
3,T2,T2,Louis Oosthuizen,67.0,201,3
4,5,5,Scott Dunlap,67.33,202,3
5,T6,T6,John Huh,67.5,135,2
6,T6,T6,Dustin Johnson,67.5,270,4
7,8,8,Jason Dufner,67.6,338,5
8,9,9,Russell Knox,67.83,407,6
9,10,10,Freddie Jacobson,68.0,204,3
10,11,11,Billy Horschel,68.25,273,4
11,12,12,Harris English,68.33,615,9
12,13,13,Zach Johnson,68.38,547,8
13,14,14,Greg Owen,68.43,479,7
14,15,15,John Merrick,68.5,274,4
15,16,16,Vijay Singh,68.63,549,8
16,17,17,Kevin Na,68.67,206,3
17,18,18,"Ted Potter, Jr.",68.71,481,7
18,19,19,Mark Wilson,68.75,275,4
19,20,20,Jason Day,68.83,413,6
20,T21,T21,Tim Clark,69.0,345,5
21,T21,T21,Ryuji Imada,69.0,345,5
22,T21,T21,Rory McIlroy,69.0,276,4
23,T21,T21,Ryan Moore,69.0,552,8
24,25,25,David Toms,69.14,484,7
25,26,26,John Senden,69.2,346,5
26,27,27,Phil Mickelson,69.22,623,9
27,T28,T28,Gary Christian,69.25,831,12
28,T28,T28,Gavin Coles,69.25,277,4
29,T28,T28,Matt Every,69.25,277,4
30,T28,T28,Bill Haas,69.25,277,4
31,T28,T28,Henrik Stenson,69.25,277,4
32,33,33,Pat Perez,69.29,485,7
33,T34,T34,Greg Chalmers,69.33,416,6
34,T34,T34,Brian Davis,69.33,624,9
35,T34,T34,Matt Jones,69.33,416,6
36,T34,T34,Carl Pettersson,69.33,208,3
37,T34,T34,D.J. Trahan,69.33,416,6
38,T34,T34,Charlie Wi,69.33,208,3
39,40,40,Y.E. Yang,69.4,347,5
40,41,41,Marc Leishman,69.43,486,7
41,T42,T42,Arjun Atwal,69.5,278,4
42,T42,T42,Bud Cauley,69.5,834,12
43,T42,T42,Luke Donald,69.5,278,4
44,T42,T42,Bob Estes,69.5,139,2
45,T42,T42,Johnson Wagner,69.5,278,4
