,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Padraig Harrington,67,10.33,22,213
1,2,2,Ben Curtis,62,11.0,23,209
2,3,3,Bob Estes,78,11.11,27,243
3,4,4,Henrik Stenson,51,12.02,22,183
4,5,5,Steve Stricker,73,12.2,31,254
5,6,6,Scott Piercy,95,12.57,45,358
6,7,7,Bryce Molder,83,12.6,31,246
7,8,8,Rory McIlroy,60,12.67,28,221
8,9,9,Camilo Villegas,79,13.09,36,275
9,10,10,Tiger Woods,69,13.18,34,258
10,11,11,Bubba Watson,68,13.2,33,250
11,12,12,Pat Perez,81,13.48,38,282
12,13,13,David Toms,60,13.54,26,192
13,14,14,Jerry Kelly,84,13.6,37,272
14,15,15,Dustin Johnson,70,13.64,33,242
15,16,16,Ken Duke,104,13.67,51,373
16,T17,T17,Michael Bradley,63,13.78,27,196
17,T17,T17,Troy Kelly,68,13.78,27,196
18,19,19,Billy Horschel,63,13.79,28,203
19,20,20,Tim Clark,60,13.97,25,179
20,21,21,Robert Garrigus,89,14.0,49,350
21,22,22,Kevin Na,80,14.23,37,260
22,23,23,Vijay Singh,99,14.24,49,344
23,T24,T24,Zach Johnson,95,14.29,50,350
24,T24,T24,Alexandre Rocha,62,14.29,24,168
25,26,26,Bill Haas,79,14.34,37,258
26,27,27,Ian Poulter,57,14.36,27,188
27,28,28,Brendon de Jonge,115,14.46,60,415
28,T29,T29,Blake Adams,107,14.48,54,373
29,T29,T29,Brandt Snedeker,81,14.48,43,297
30,31,31,David Hearn,95,14.52,45,310
31,32,32,Luke Donald,63,14.61,32,219
32,33,33,Ryan Palmer,81,14.62,44,301
33,34,34,Kris Blanks,65,14.63,30,205
34,T35,T35,Bud Cauley,99,14.66,50,341
35,T35,T35,Daniel Summerhays,81,14.66,39,266
36,37,37,Brian Davis,91,14.74,46,312
37,T38,T38,Stuart Appleby,75,14.8,33,223
38,T38,T38,Boo Weekley,74,14.8,33,223
39,40,40,D.A. Points,88,14.81,44,297
40,41,41,Bill Lunde,83,14.89,39,262
41,42,42,Tom Gillis,75,14.91,41,275
42,43,43,Richard Lee,71,15.02,35,233
43,44,44,Matt Kuchar,86,15.14,43,284
