,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Robert Garrigus,89,66.91,736,11
1,2,2,John Huh,99,67.67,406,6
2,3,3,Mark Wilson,84,68.38,547,8
3,4,4,Rory McIlroy,60,68.55,754,11
4,5,5,Jason Day,57,68.7,687,10
5,6,6,Zach Johnson,95,68.78,1238,18
6,7,7,Carl Pettersson,92,68.92,827,12
7,8,8,Tiger Woods,69,68.93,965,14
8,9,9,Louis Oosthuizen,65,69.0,483,7
9,10,10,Pat Perez,81,69.13,1037,15
10,11,11,Webb Simpson,77,69.19,1107,16
11,T12,T12,Harris English,98,69.2,1384,20
12,T12,T12,Dustin Johnson,70,69.2,1038,15
13,T12,T12,David Toms,60,69.2,692,10
14,15,15,Russell Knox,72,69.24,1177,17
15,16,16,Vijay Singh,99,69.29,970,14
16,T17,T17,Jason Dufner,83,69.31,901,13
17,T17,T17,Steve Stricker,73,69.31,901,13
18,19,19,Ben Curtis,62,69.4,694,10
19,20,20,Greg Owen,90,69.42,833,12
20,21,21,Freddie Jacobson,61,69.43,486,7
21,22,22,Roberto Castro,92,69.45,1389,20
22,T23,T23,Matt Every,80,69.5,834,12
23,T23,T23,Y.E. Yang,64,69.5,834,12
24,25,25,Luke Donald,63,69.55,765,11
25,26,26,Sergio Garcia,57,69.56,626,9
26,27,27,Jimmy Walker,101,69.57,1461,21
27,28,28,Scott Dunlap,57,69.58,835,12
28,29,29,Kevin Na,80,69.6,696,10
29,30,30,"Ted Potter, Jr.",77,69.62,905,13
30,31,31,Ryan Palmer,81,69.63,557,8
31,32,32,Ryan Moore,89,69.67,1045,15
32,33,33,John Mallinger,74,69.71,976,14
33,34,34,Gavin Coles,72,69.73,1046,15
34,T35,T35,Keegan Bradley,90,69.75,1395,20
35,T35,T35,Johnson Wagner,88,69.75,837,12
36,37,37,Phil Mickelson,79,69.78,1256,18
37,T38,T38,Garth Mulroy,59,69.82,768,11
38,T38,T38,Charl Schwartzel,56,69.82,768,11
39,40,40,Ben Crane,73,69.89,629,9
40,41,41,Richard Lee,71,69.91,1538,22
41,42,42,Ken Duke,104,69.93,979,14
42,43,43,Chris Stroud,86,69.94,1119,16
43,T44,T44,Aaron Baddeley,73,70.0,350,5
44,T44,T44,Gary Christian,91,70.0,1330,19
45,T44,T44,Martin Laird,77,70.0,350,5
46,T44,T44,Ian Poulter,57,70.0,700,10
47,48,48,Camilo Villegas,79,70.05,1471,21
48,49,49,Graham DeLaet,79,70.06,1121,16
49,50,50,David Hearn,95,70.14,1473,21
50,T51,T51,Michael Bradley,63,70.17,842,12
51,T51,T51,Brian Davis,91,70.17,1614,23
52,53,53,Arjun Atwal,79,70.18,772,11
53,54,54,Sean O'Hair,84,70.19,1123,16
54,55,55,Bubba Watson,68,70.2,1053,15
55,56,56,Henrik Stenson,51,70.22,632,9
56,57,57,Martin Flores,95,70.24,1475,21
57,58,58,Billy Horschel,63,70.27,773,11
58,T59,T59,Mathew Goggin,65,70.31,914,13
59,T59,T59,Jeff Overton,101,70.31,914,13
60,T59,T59,Kyle Stanley,86,70.31,914,13
61,T62,T62,Stuart Appleby,75,70.33,1688,24
62,T62,T62,Tim Clark,60,70.33,633,9
63,T62,T62,Chris Couch,61,70.33,1266,18
64,T62,T62,Jason Kokrak,79,70.33,1477,21
65,66,66,Tom Pernice Jr.,62,70.35,1407,20
66,T67,T67,Jerry Kelly,84,70.38,915,13
67,T67,T67,George McNeill,85,70.38,1126,16
68,69,69,Brandt Jobe,57,70.4,704,10
69,T70,T70,Nathan Green,73,70.43,986,14
70,T70,T70,Heath Slocum,93,70.43,1479,21
71,T72,T72,Matt Kuchar,86,70.44,1127,16
72,T72,T72,Marc Leishman,84,70.44,1127,16
73,74,74,Ángel Cabrera,54,70.45,775,11
74,75,75,Jeff Maggert,83,70.47,1057,15
75,T76,T76,Greg Chalmers,88,70.5,846,12
76,T76,T76,Brian Harman,101,70.5,1974,28
77,T76,T76,J.J. Henry,93,70.5,1269,18
78,T76,T76,Geoff Ogilvy,73,70.5,564,8
79,T76,T76,Brandt Snedeker,81,70.5,1128,16
80,T81,T81,William McGirt,96,70.53,1199,17
81,T81,T81,Seung-Yul Noh,105,70.53,1058,15
82,T81,T81,Andres Romero,68,70.53,1058,15
83,T84,T84,Blake Adams,107,70.55,1552,22
84,T84,T84,John Senden,81,70.55,776,11
85,86,86,John Merrick,83,70.57,988,14
86,87,87,Jonas Blixt,72,70.58,847,12
87,T88,T88,Bud Cauley,99,70.6,1765,25
88,T88,T88,John Daly,50,70.6,706,10
89,T90,T90,Bob Estes,78,70.64,777,11
