,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Brendon de Jonge,115,425
1,2,2,Blake Adams,107,393
2,3,3,Jeff Overton,101,388
3,4,4,Ken Duke,104,382
4,5,5,Jimmy Walker,101,375
5,6,6,Scott Piercy,95,366
6,7,7,John Huh,99,361
7,8,8,Seung-Yul Noh,105,357
8,T9,T9,Will Claxton,99,356
9,T9,T9,Zach Johnson,95,356
10,T9,T9,Vijay Singh,99,356
11,12,12,Harris English,98,355
12,13,13,Robert Garrigus,89,353
13,14,14,Bud Cauley,99,352
14,15,15,Josh Teater,97,349
15,16,16,Ryan Moore,89,347
16,T17,T17,Tommy Gainey,98,345
17,T17,T17,Brian Harman,101,345
18,19,19,Keegan Bradley,90,344
19,20,20,Carl Pettersson,92,340
20,21,21,Nick Watney,97,338
21,22,22,Greg Owen,90,334
22,23,23,Martin Flores,95,333
23,24,24,Chris Kirk,93,332
24,25,25,Bo Van Pelt,84,327
25,26,26,David Hearn,95,326
26,27,27,Jason Dufner,83,325
27,28,28,William McGirt,96,324
28,T29,T29,Charles Howell III,98,323
29,T29,T29,Troy Matteson,100,323
30,31,31,Charley Hoffman,88,321
31,32,32,Ryan Palmer,81,319
32,T33,T33,Brian Davis,91,317
33,T33,T33,D.A. Points,88,317
34,35,35,J.B. Holmes,90,315
35,36,36,Brandt Snedeker,81,313
36,T37,T37,Phil Mickelson,79,312
37,T37,T37,Webb Simpson,77,312
38,T39,T39,Roberto Castro,92,311
39,T39,T39,Sean O'Hair,84,311
40,41,41,Cameron Tringale,88,309
41,42,42,Matt Every,80,308
42,43,43,Ricky Barnes,92,307
43,44,44,Kevin Streelman,89,303
44,45,45,Johnson Wagner,88,300
45,T46,T46,Gary Christian,91,298
46,T46,T46,Pat Perez,81,298
47,48,48,Matt Kuchar,86,297
48,T49,T49,J.J. Killeen,101,296
49,T49,T49,Rory Sabbatini,84,296
50,T49,T49,Kyle Stanley,86,296
51,52,52,Charlie Wi,86,295
52,T53,T53,Greg Chalmers,88,292
53,T53,T53,Rickie Fowler,84,292
54,T53,T53,Brian Gay,91,292
55,56,56,John Senden,81,291
56,57,57,Kevin Chappell,91,290
