,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Rory McIlroy,60,69.63,3760,54
1,2,2,Tiger Woods,69,69.78,4675,67
2,3,3,Jason Dufner,83,69.89,5731,82
3,4,4,Bubba Watson,68,69.98,4619,66
4,5,5,Matt Kuchar,86,70.04,5743,82
5,T6,T6,Jim Furyk,85,70.1,5888,84
6,T6,T6,Brandt Snedeker,81,70.1,5468,78
7,T6,T6,Steve Stricker,73,70.1,4907,70
8,T9,T9,Jonas Blixt,72,70.14,5050,72
9,T9,T9,Webb Simpson,77,70.14,5331,76
10,11,11,Brendon de Jonge,115,70.17,8070,115
11,12,12,Dustin Johnson,70,70.18,4702,67
12,13,13,Zach Johnson,95,70.2,6599,94
13,T14,T14,Billy Horschel,63,70.22,4143,59
14,T14,T14,Justin Rose,69,70.22,4775,68
15,T16,T16,Jeff Overton,101,70.23,7093,101
16,T16,T16,Bo Van Pelt,84,70.23,5829,83
17,18,18,Louis Oosthuizen,65,70.32,4430,63
18,T19,T19,Keegan Bradley,90,70.33,6189,88
19,T19,T19,Will Claxton,99,70.33,6963,99
20,T21,T21,Luke Donald,63,70.35,4362,62
21,T21,T21,John Senden,81,70.35,5487,78
22,T23,T23,Ken Duke,104,70.37,7318,104
23,T23,T23,Carl Pettersson,92,70.37,6474,92
24,25,25,Robert Garrigus,89,70.38,6264,89
25,T26,T26,Roberto Castro,92,70.44,6340,90
26,T26,T26,Phil Mickelson,79,70.44,5565,79
27,28,28,Richard Lee,71,70.46,4721,67
28,29,29,Russell Knox,72,70.47,4792,68
29,30,30,Scott Piercy,95,70.49,6697,95
30,31,31,Seung-Yul Noh,105,70.5,7120,101
31,T32,T32,Bud Cauley,99,70.53,6982,99
32,T32,T32,Adam Scott,59,70.53,4091,58
33,T34,T34,Padraig Harrington,67,70.54,4444,63
34,T34,T34,Ryan Moore,89,70.54,6278,89
35,36,36,Vijay Singh,99,70.55,6984,99
36,37,37,Ryan Palmer,81,70.57,5716,81
37,38,38,John Merrick,83,70.59,5577,79
38,39,39,Pat Perez,81,70.61,5578,79
39,40,40,Chris Kirk,93,70.63,6286,89
40,41,41,Jimmy Walker,101,70.65,7136,101
41,T42,T42,Ben Curtis,62,70.68,4382,62
42,T42,T42,Sergio Garcia,57,70.68,3958,56
43,T42,T42,Charles Howell III,98,70.68,6927,98
44,T42,T42,Sean O'Hair,84,70.68,5937,84
45,46,46,Brian Gay,91,70.71,6152,87
46,T47,T47,Nathan Green,73,70.72,4880,69
47,T47,T47,Davis Love III,64,70.72,4526,64
48,T49,T49,Gary Christian,91,70.74,6154,87
49,T49,T49,Ben Crane,73,70.74,5093,72
50,T49,T49,David Hearn,95,70.74,6720,95
51,T52,T52,John Huh,99,70.75,7004,99
52,T52,T52,John Rollins,81,70.75,5448,77
53,T54,T54,Ernie Els,80,70.76,5519,78
54,T54,T54,Bill Haas,79,70.76,5519,78
55,T54,T54,Greg Owen,90,70.76,6368,90
56,57,57,William McGirt,96,70.77,6794,96
57,T58,T58,Kevin Stadler,85,70.78,5733,81
58,T58,T58,Henrik Stenson,51,70.78,3610,51
59,T58,T58,Lee Westwood,60,70.78,3822,54
60,61,61,Martin Flores,95,70.79,6725,95
61,T62,T62,Blake Adams,107,70.8,7576,107
62,T62,T62,Ian Poulter,57,70.8,3965,56
63,T64,T64,Graham DeLaet,79,70.81,5594,79
64,T64,T64,Jerry Kelly,84,70.81,5948,84
65,T64,T64,Daniel Summerhays,81,70.81,5736,81
66,T67,T67,Jason Day,57,70.82,3895,55
67,T67,T67,Jeff Maggert,83,70.82,5878,83
68,T69,T69,Stuart Appleby,75,70.83,5029,71
69,T69,T69,Chad Campbell,84,70.83,5950,84
70,T69,T69,Danny Lee,74,70.83,4958,70
71,72,72,Charl Schwartzel,56,70.85,3826,54
72,T73,T73,John Mallinger,74,70.86,4960,70
73,T73,T73,Camilo Villegas,79,70.86,5456,77
74,T75,T75,Kevin Na,80,70.87,5599,79
75,T75,T75,Heath Slocum,93,70.87,6307,89
76,T77,T77,Chris Couch,61,70.88,4182,59
77,T77,T77,Matt Every,80,70.88,5670,80
78,T77,T77,Chris Stroud,86,70.88,6096,86
79,T77,T77,Josh Teater,97,70.88,6592,93
80,81,81,Harris English,98,70.89,6947,98
81,T82,T82,Rocco Mediate,70,70.9,4821,68
82,T82,T82,David Toms,60,70.9,4112,58
83,T84,T84,Greg Chalmers,88,70.91,6169,87
84,T84,T84,Tim Herron,88,70.91,6240,88
85,T84,T84,Graeme McDowell,55,70.91,3829,54
86,T84,T84,Dicky Pride,62,70.91,4113,58
87,T84,T84,Nick Watney,97,70.91,6666,94
88,89,89,Bob Estes,78,70.92,5532,78
89,T90,T90,Brian Harman,101,70.93,7164,101
90,T90,T90,Kevin Streelman,89,70.93,6313,89
91,92,92,D.A. Points,88,70.94,6243,88
92,93,93,Bill Lunde,83,70.95,5605,79
93,94,94,Tom Gillis,75,70.96,5322,75
94,95,95,Vaughn Taylor,81,70.97,5607,79
95,T96,T96,Charlie Beljan,61,70.98,4046,57
96,T96,T96,Brian Davis,91,70.98,6459,91
97,98,98,Geoff Ogilvy,73,70.99,5111,72
98,T99,T99,Gavin Coles,72,71.01,4971,70
99,T99,T99,Hunter Mahan,88,71.01,5823,82
100,T99,T99,Kyle Stanley,86,71.01,5965,84
101,T102,T102,Kevin Kisner,69,71.05,4618,65
102,T102,T102,Billy Mayfair,90,71.05,6110,86
103,T102,T102,Kyle Reifers,86,71.05,6110,86
104,T105,T105,J.J. Henry,93,71.06,6324,89
105,T105,T105,J.B. Holmes,90,71.06,6111,86
106,T105,T105,Bryce Molder,83,71.06,5614,79
107,108,108,Johnson Wagner,88,71.07,6254,88
108,109,109,Boo Weekley,74,71.09,4976,70
109,110,110,Tim Clark,60,71.1,4266,60
110,111,111,Garth Mulroy,59,71.12,4054,57
111,112,112,Mathew Goggin,65,71.14,4482,63
112,T113,T113,John Daly,50,71.15,3273,46
113,T113,T113,Matt Jones,53,71.15,3771,53
114,T115,T115,Kevin Chappell,91,71.2,6194,87
115,T115,T115,Jason Kokrak,79,71.2,5340,75
116,T115,T115,Cameron Tringale,88,71.2,6266,88
117,T115,T115,Charlie Wi,86,71.2,6123,86
118,119,119,Jonathan Byrd,69,71.21,4842,68
119,T120,T120,Rickie Fowler,84,71.22,5911,83
120,T120,T120,Bobby Gates,87,71.22,6054,85
121,122,122,Michael Thompson,80,71.23,5698,80
122,123,123,Rod Pampling,88,71.24,5984,84
123,T124,T124,James Driscoll,83,71.25,5914,83
124,T124,T124,Spencer Levin,81,71.25,5629,79
125,T124,T124,Roland Thatcher,55,71.25,3776,53
126,127,127,George McNeill,85,71.27,6058,85
127,128,128,Rory Sabbatini,84,71.29,5988,84
128,129,129,Jason Bohn,81,71.31,5491,77
129,130,130,Charley Hoffman,88,71.32,6276,88
130,131,131,Troy Kelly,68,71.34,4566,64
131,132,132,Ricky Barnes,92,71.36,6280,88
132,T133,T133,Scott Dunlap,57,71.38,3783,53
133,T133,T133,Marc Leishman,84,71.38,5996,84
134,T133,T133,Steve Wheatcroft,56,71.38,3712,52
135,136,136,Martin Laird,77,71.4,5212,73
136,137,137,Troy Matteson,100,71.41,6998,98
137,T138,T138,Arjun Atwal,79,71.43,5357,75
138,T138,T138,D.J. Trahan,73,71.43,4929,69
139,140,140,K.J. Choi,71,71.44,5001,70
140,T141,T141,Erik Compton,81,71.45,5502,77
141,T141,T141,Scott Stallings,78,71.45,5573,78
142,143,143,Scott Brown,65,71.48,4503,63
143,T144,T144,Chris DiMarco,83,71.51,5792,81
144,T144,T144,David Mathis,83,71.51,5792,81
145,T144,T144,Chez Reavie,83,71.51,5935,83
146,147,147,Jhonattan Vegas,77,71.52,5507,77
147,148,148,Brandt Jobe,57,71.53,4077,57
148,T149,T149,Mark Anderson,75,71.56,5224,73
149,T149,T149,Aaron Baddeley,73,71.56,5152,72
150,T151,T151,Kris Blanks,65,71.57,4652,65
151,T151,T151,Tommy Gainey,98,71.57,7014,98
152,T153,T153,Hunter Haas,69,71.58,4653,65
153,T153,T153,J.J. Killeen,101,71.58,6943,97
154,155,155,Mark Wilson,84,71.6,5585,78
155,156,156,Nick O'Hern,78,71.66,5303,74
156,157,157,Freddie Jacobson,61,71.68,4301,60
157,T158,T158,Cameron Beckman,81,71.69,5520,77
158,T158,T158,Justin Leonard,79,71.69,5377,75
159,T160,T160,Michael Bradley,63,71.7,4517,63
160,T160,T160,Miguel Angel Carballo,73,71.7,4947,69
161,T160,T160,Brendon Todd,78,71.7,5306,74
162,T163,T163,Derek Lamely,64,71.72,4590,64
163,T163,T163,Alexandre Rocha,62,71.72,4160,58
164,T165,T165,Ryo Ishikawa,54,71.73,3730,52
165,T165,T165,Patrick Sheehan,58,71.73,4017,56
166,167,167,Y.E. Yang,64,71.76,4449,62
167,168,168,Tom Pernice Jr.,62,71.81,4165,58
168,T169,T169,Robert Allenby,76,71.82,5458,76
169,T169,T169,"Ted Potter, Jr.",77,71.82,5530,77
170,171,171,Robert Karlsson,54,71.83,3735,52
171,172,172,Daniel Chopra,55,71.85,3808,53
172,173,173,Ryuji Imada,78,71.87,5462,76
173,174,174,Edward Loar,59,71.88,4097,57
174,175,175,Stephen Ames,54,71.89,3882,54
175,176,176,Marco Dawson,60,71.9,4170,58
176,177,177,Harrison Frazar,56,71.91,3883,54
177,178,178,Trevor Immelman,76,71.92,5466,76
178,179,179,Brendan Steele,77,71.93,5251,73
179,180,180,Colt Knost,79,71.96,5541,77
180,181,181,Andres Romero,68,71.97,4606,64
181,182,182,Gary Woodland,70,72.01,4969,69
182,T183,T183,Ángel Cabrera,54,72.04,3890,54
183,T183,T183,Stewart Cink,71,72.04,4827,67
184,185,185,Sangmoon Bae,81,72.08,5550,77
185,186,186,Kyle Thompson,51,72.14,3535,49
186,187,187,Matt Bettencourt,80,72.2,5487,76
187,188,188,Billy Hurley III,70,72.34,4919,68
188,189,189,Tommy Biershenk,74,72.4,5213,72
189,190,190,Sung Kang,75,72.66,5304,73
190,191,191,Stephen Gangluff,57,72.75,4001,55
