,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
0,1,1,Brendon de Jonge,115,-144,4.61,1850
1,2,2,Charles Howell III,98,-134,4.55,1490
2,3,3,Jeff Overton,101,-132,4.58,1565
3,4,4,Jimmy Walker,101,-127,4.62,1655
4,5,5,Robert Garrigus,89,-123,4.57,1430
5,6,6,Seung-Yul Noh,105,-121,4.62,1575
6,7,7,Blake Adams,107,-117,4.65,1665
7,T8,T8,Keegan Bradley,90,-116,4.56,1330
8,T8,T8,Zach Johnson,95,-116,4.6,1445
9,T8,T8,Josh Teater,97,-116,4.61,1485
10,T11,T11,Kevin Chappell,91,-114,4.58,1355
11,T11,T11,Will Claxton,99,-114,4.62,1495
12,T11,T11,Scott Piercy,95,-114,4.62,1505
13,T11,T11,Nick Watney,97,-114,4.62,1515
14,T15,T15,Bud Cauley,99,-112,4.65,1605
15,T15,T15,Kyle Stanley,86,-112,4.55,1255
16,17,17,Ken Duke,104,-111,4.65,1595
17,18,18,Vijay Singh,99,-109,4.64,1510
18,T19,T19,Brian Harman,101,-108,4.66,1575
19,T19,T19,Phil Mickelson,79,-108,4.59,1305
20,21,21,John Huh,99,-106,4.65,1515
21,22,22,Charley Hoffman,88,-105,4.63,1415
22,T23,T23,Rickie Fowler,84,-104,4.61,1325
23,T23,T23,Pat Perez,81,-104,4.61,1320
24,T23,T23,Bubba Watson,68,-104,4.51,1070
25,26,26,William McGirt,96,-103,4.66,1535
26,27,27,Bo Van Pelt,84,-102,4.61,1300
27,28,28,Sean O'Hair,84,-101,4.61,1285
28,T29,T29,Ben Crane,73,-100,4.59,1210
29,T29,T29,Jason Dufner,83,-100,4.61,1270
30,T29,T29,Harris English,98,-100,4.67,1525
31,T29,T29,Brandt Snedeker,81,-100,4.59,1230
32,T33,T33,Roberto Castro,92,-98,4.64,1365
33,T33,T33,James Driscoll,83,-98,4.63,1325
34,T33,T33,Webb Simpson,77,-98,4.6,1210
35,36,36,Bobby Gates,87,-97,4.63,1325
36,37,37,John Senden,81,-96,4.62,1250
37,T38,T38,Martin Flores,95,-95,4.67,1425
38,T38,T38,Johnson Wagner,88,-95,4.67,1420
39,T40,T40,J.B. Holmes,90,-93,4.66,1360
40,T40,T40,Greg Owen,90,-93,4.65,1335
41,T40,T40,Scott Stallings,78,-93,4.62,1235
42,T43,T43,Carl Pettersson,92,-92,4.66,1370
43,T43,T43,Cameron Tringale,88,-92,4.69,1465
44,T43,T43,Tiger Woods,69,-92,4.56,1055
45,T46,T46,Gary Christian,91,-91,4.65,1305
46,T46,T46,Kyle Reifers,86,-91,4.67,1395
47,T46,T46,Camilo Villegas,79,-91,4.63,1225
48,49,49,Kevin Streelman,89,-90,4.68,1390
49,T50,T50,Jonas Blixt,72,-89,4.61,1150
50,T50,T50,Greg Chalmers,88,-89,4.68,1375
51,T50,T50,Jim Furyk,85,-89,4.65,1285
52,T50,T50,Dustin Johnson,70,-89,4.56,1020
53,T50,T50,Michael Thompson,80,-89,4.63,1200
54,T50,T50,Jhonattan Vegas,77,-89,4.63,1195
55,T56,T56,Russell Knox,72,-88,4.58,1050
56,T56,T56,Geoff Ogilvy,73,-88,4.64,1225
57,58,58,Troy Matteson,100,-87,4.71,1520
58,T59,T59,Bill Haas,79,-86,4.66,1270
59,T59,T59,Marc Leishman,84,-86,4.68,1330
60,T59,T59,John Merrick,83,-86,4.64,1195
61,T59,T59,Rod Pampling,88,-86,4.67,1310
62,T59,T59,D.A. Points,88,-86,4.68,1365
63,T64,T64,Tim Herron,88,-85,4.68,1310
64,T64,T64,George McNeill,85,-85,4.69,1375
65,T66,T66,Ricky Barnes,92,-84,4.69,1355
66,T66,T66,David Hearn,95,-84,4.72,1475
67,T66,T66,Bill Lunde,83,-84,4.66,1250
68,T66,T66,Rory McIlroy,60,-84,4.49,820
69,T66,T66,Ryan Palmer,81,-84,4.67,1280
70,T66,T66,John Rollins,81,-84,4.65,1200
71,T66,T66,Steve Stricker,73,-84,4.62,1100
72,73,73,Luke Donald,63,-83,4.59,1020
73,T74,T74,Aaron Baddeley,73,-82,4.65,1165
74,T74,T74,Brian Gay,91,-82,4.7,1345
75,T74,T74,Martin Laird,77,-82,4.67,1235
76,T74,T74,Billy Mayfair,90,-82,4.68,1275
77,T78,T78,Stuart Appleby,75,-81,4.63,1090
78,T78,T78,Bryce Molder,83,-81,4.69,1295
79,T80,T80,Matt Kuchar,86,-80,4.67,1230
80,T80,T80,Jeff Maggert,83,-80,4.68,1235
81,T80,T80,Mark Wilson,84,-80,4.68,1250
82,T83,T83,Jonathan Byrd,69,-79,4.63,1080
83,T83,T83,Chris DiMarco,83,-79,4.69,1275
84,T83,T83,Sergio Garcia,57,-79,4.54,860
85,T83,T83,Rory Sabbatini,84,-79,4.69,1280
86,T83,T83,Gary Woodland,70,-79,4.64,1110
87,T88,T88,Adam Scott,59,-78,4.57,900
88,T88,T88,Charlie Wi,86,-78,4.72,1375
89,T90,T90,Ryan Moore,89,-77,4.73,1445
90,T90,T90,Justin Rose,69,-77,4.66,1130
91,T90,T90,Chris Stroud,86,-77,4.71,1335
92,T93,T93,Spencer Levin,81,-76,4.7,1250
93,T93,T93,Andres Romero,68,-76,4.63,1020
94,T93,T93,Boo Weekley,74,-76,4.65,1085
95,T96,T96,Chris Kirk,93,-75,4.73,1395
96,T96,T96,Jason Kokrak,79,-75,4.67,1140
97,T96,T96,Heath Slocum,93,-75,4.72,1330
98,T99,T99,Cameron Beckman,81,-74,4.69,1195
99,T99,T99,Chad Campbell,84,-74,4.7,1225
100,T99,T99,K.J. Choi,71,-74,4.67,1120
101,T99,T99,Louis Oosthuizen,65,-74,4.61,950
102,T103,T103,Mark Anderson,75,-73,4.68,1155
103,T103,T103,Graham DeLaet,79,-73,4.69,1185
104,T103,T103,Padraig Harrington,67,-73,4.61,945
105,T106,T106,Ernie Els,80,-72,4.7,1210
106,T106,T106,Kevin Na,80,-72,4.72,1275
107,T108,T108,Tommy Biershenk,74,-71,4.69,1155
108,T108,T108,Kris Blanks,65,-71,4.66,1040
109,T108,T108,Jerry Kelly,84,-71,4.72,1265
110,T111,T111,Tommy Gainey,98,-70,4.77,1495
111,T111,T111,John Mallinger,74,-70,4.67,1075
112,T113,T113,Chris Couch,61,-69,4.63,930
113,T113,T113,Tom Gillis,75,-69,4.72,1235
114,T113,T113,J.J. Killeen,101,-69,4.77,1510
115,T113,T113,Richard Lee,71,-69,4.65,990
116,T113,T113,Brendan Steele,77,-69,4.72,1215
117,T113,T113,Henrik Stenson,51,-69,4.59,840
118,T113,T113,Daniel Summerhays,81,-69,4.73,1275
119,T120,T120,Charlie Beljan,61,-68,4.61,865
120,T120,T120,Mathew Goggin,65,-68,4.66,1000
121,T120,T120,Chez Reavie,83,-68,4.75,1335
122,T123,T123,Sangmoon Bae,81,-67,4.72,1210
123,T123,T123,Scott Brown,65,-67,4.65,970
124,T123,T123,J.J. Henry,93,-67,4.77,1435
125,T123,T123,Rocco Mediate,70,-67,4.69,1065
126,T127,T127,Jason Bohn,81,-66,4.71,1150
127,T127,T127,Kevin Stadler,85,-66,4.74,1275
128,T129,T129,Erik Compton,81,-65,4.73,1200
129,T129,T129,Matt Every,80,-65,4.75,1300
130,T129,T129,Nathan Green,73,-65,4.69,1045
131,T129,T129,Hunter Mahan,88,-65,4.75,1285
132,T129,T129,Vaughn Taylor,81,-65,4.74,1245
133,134,134,Brendon Todd,78,-64,4.72,1135
134,T135,T135,Sung Kang,75,-62,4.73,1145
135,T135,T135,D.J. Trahan,73,-62,4.7,1040
136,T137,T137,Miguel Angel Carballo,73,-61,4.72,1095
137,T137,T137,Ben Curtis,62,-61,4.71,1050
138,139,139,Trevor Immelman,76,-60,4.76,1230
139,T140,T140,Billy Horschel,63,-59,4.65,855
140,T140,T140,Justin Leonard,79,-59,4.75,1165
141,T140,T140,Garth Mulroy,59,-59,4.65,835
142,T140,T140,Lee Westwood,60,-59,4.65,840
143,T144,T144,Arjun Atwal,79,-58,4.74,1115
144,T144,T144,Gavin Coles,72,-58,4.72,1050
145,T144,T144,Robert Karlsson,54,-58,4.64,810
146,T147,T147,Ángel Cabrera,54,-57,4.66,850
147,T147,T147,Stewart Cink,71,-57,4.74,1095
148,T147,T147,Brian Davis,91,-57,4.8,1460
149,T147,T147,Ryo Ishikawa,54,-57,4.63,780
150,T147,T147,Ian Poulter,57,-57,4.68,895
