,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Rory McIlroy,60,69.43,2430,35
1,2,2,Jason Dufner,83,69.64,3482,50
2,3,3,Brandt Snedeker,81,69.73,3138,45
3,4,4,Jim Furyk,85,70.0,3360,48
4,5,5,Steve Stricker,73,70.02,3081,44
5,6,6,Bo Van Pelt,84,70.06,3503,50
6,7,7,Brendon de Jonge,115,70.07,4064,58
7,8,8,Justin Rose,69,70.11,2664,38
8,9,9,Bubba Watson,68,70.13,2735,39
9,10,10,John Senden,81,70.14,2946,42
10,11,11,Bud Cauley,99,70.17,3368,48
11,12,12,Tiger Woods,69,70.19,2948,42
12,13,13,Will Claxton,99,70.22,3581,51
13,14,14,Matt Kuchar,86,70.23,3301,47
14,15,15,John Merrick,83,70.24,2950,42
15,16,16,Adam Scott,59,70.29,2179,31
16,T17,T17,Luke Donald,63,70.3,2320,33
17,T17,T17,Chris Kirk,93,70.3,3234,46
18,T19,T19,Ernie Els,80,70.32,2672,38
19,T19,T19,Seung-Yul Noh,105,70.32,3516,50
20,T21,T21,Jonas Blixt,72,70.33,2532,36
21,T21,T21,Webb Simpson,77,70.33,3235,46
22,23,23,Louis Oosthuizen,65,70.38,2252,32
23,24,24,Davis Love III,64,70.41,2253,32
24,25,25,Tom Gillis,75,70.43,2465,35
25,T26,T26,Zach Johnson,95,70.45,3452,49
26,T26,T26,John Rollins,81,70.45,2959,42
27,28,28,Heath Slocum,93,70.47,2678,38
28,29,29,Phil Mickelson,79,70.49,3031,43
29,30,30,Keegan Bradley,90,70.5,3243,46
30,31,31,Rocco Mediate,70,70.53,2257,32
31,32,32,Ryan Moore,89,70.54,3668,52
32,33,33,John Huh,99,70.55,3598,51
33,34,34,Dustin Johnson,70,70.59,2612,37
34,T35,T35,Chad Campbell,84,70.62,3178,45
35,T35,T35,Bobby Gates,87,70.62,2966,42
36,37,37,Scott Piercy,95,70.67,3463,49
37,38,38,Danny Lee,74,70.69,2474,35
38,39,39,Robert Garrigus,89,70.7,3323,47
39,40,40,Kevin Stadler,85,70.71,2970,42
40,41,41,Kevin Kisner,69,70.72,2263,32
41,42,42,Cameron Beckman,81,70.73,2334,33
42,T43,T43,Padraig Harrington,67,70.74,2688,38
43,T43,T43,Daniel Summerhays,81,70.74,2759,39
44,T45,T45,Graeme McDowell,55,70.75,2264,32
45,T45,T45,Charl Schwartzel,56,70.75,1981,28
46,T47,T47,Tim Clark,60,70.76,2406,34
47,T47,T47,J.J. Henry,93,70.76,2618,37
48,T47,T47,Troy Matteson,100,70.76,3255,46
49,T50,T50,David Hearn,95,70.8,2832,40
50,T50,T50,Billy Horschel,63,70.8,2124,30
51,T52,T52,Ben Crane,73,70.81,2549,36
52,T52,T52,Justin Leonard,79,70.81,2266,32
53,T52,T52,Roland Thatcher,55,70.81,1841,26
54,55,55,Matt Jones,53,70.82,1983,28
55,T56,T56,Ben Curtis,62,70.83,2550,36
56,T56,T56,Ken Duke,104,70.83,3825,54
57,T56,T56,Lee Westwood,60,70.83,2125,30
58,59,59,Steve Wheatcroft,56,70.85,1913,27
59,T60,T60,Rickie Fowler,84,70.86,2551,36
60,T60,T60,Bill Haas,79,70.86,2976,42
61,T60,T60,Bryce Molder,83,70.86,2622,37
62,T60,T60,Vijay Singh,99,70.86,3543,50
63,64,64,Sean O'Hair,84,70.87,2693,38
64,65,65,Stuart Appleby,75,70.89,2481,35
65,T66,T66,Nathan Green,73,70.91,2411,34
66,T66,T66,Jhonattan Vegas,77,70.91,2411,34
67,68,68,Roberto Castro,92,70.92,2624,37
68,69,69,Matt Every,80,70.93,3121,44
69,T70,T70,George McNeill,85,70.94,2412,34
70,T70,T70,Camilo Villegas,79,70.94,2554,36
71,T72,T72,John Mallinger,74,70.95,2625,37
72,T72,T72,Cameron Tringale,88,70.95,2838,40
73,74,74,Jeff Overton,101,70.96,3477,49
74,75,75,Harris English,98,70.98,3265,46
75,76,76,Kevin Chappell,91,71.03,2699,38
76,T77,T77,Richard Lee,71,71.04,1847,26
77,T77,T77,William McGirt,96,71.04,3481,49
78,79,79,Geoff Ogilvy,73,71.06,2274,32
79,80,80,Rod Pampling,88,71.07,2061,29
80,T81,T81,Jonathan Byrd,69,71.08,2772,39
81,T81,T81,Carl Pettersson,92,71.08,3483,49
82,T83,T83,Charlie Beljan,61,71.1,2062,29
83,T83,T83,Michael Thompson,80,71.1,2773,39
84,T85,T85,Nick Watney,97,71.11,3129,44
85,T85,T85,Charlie Wi,86,71.11,3200,45
86,T87,T87,Billy Mayfair,90,71.13,3201,45
87,T87,T87,Pat Perez,81,71.13,2845,40
88,89,89,Erik Compton,81,71.14,2561,36
89,T90,T90,Jason Day,57,71.15,1921,27
90,T90,T90,Charles Howell III,98,71.15,3700,52
91,92,92,Scott Stallings,78,71.16,2704,38
92,T93,T93,Spencer Levin,81,71.18,2420,34
93,T93,T93,Ryan Palmer,81,71.18,3203,45
94,T95,T95,Trevor Immelman,76,71.19,2563,36
95,T95,T95,Jerry Kelly,84,71.19,2634,37
96,97,97,Charley Hoffman,88,71.2,3204,45
97,98,98,D.J. Trahan,73,71.22,2279,32
98,99,99,Kevin Streelman,89,71.23,3419,48
99,T100,T100,Chris Couch,61,71.24,1781,25
100,T100,T100,Graham DeLaet,79,71.24,2707,38
101,T100,T100,Brian Gay,91,71.24,2921,41
102,T103,T103,Gavin Coles,72,71.26,2209,31
103,T103,T103,Boo Weekley,74,71.26,2209,31
104,T105,T105,Jason Bohn,81,71.28,2780,39
105,T105,T105,Brian Davis,91,71.28,3350,47
106,T105,T105,Tim Herron,88,71.28,2851,40
107,T105,T105,Jason Kokrak,79,71.28,2566,36
108,T105,T105,Jeff Maggert,83,71.28,2780,39
109,T110,T110,Blake Adams,107,71.3,3565,50
110,T110,T110,D.A. Points,88,71.3,3137,44
111,T110,T110,Dicky Pride,62,71.3,2139,30
112,113,113,Vaughn Taylor,81,71.31,2781,39
113,114,114,Russell Knox,72,71.32,2211,31
114,T115,T115,Ricky Barnes,92,71.33,2782,39
115,T115,T115,Hunter Mahan,88,71.33,2853,40
116,T117,T117,J.B. Holmes,90,71.36,2997,42
117,T117,T117,Kevin Na,80,71.36,2997,42
118,T117,T117,Kyle Stanley,86,71.36,2997,42
119,120,120,Mark Wilson,84,71.38,2284,32
