,First_Tee_Early_Round_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_3_Scoring_Average_AVG,First_Tee_Early_Round_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Ryan Palmer,66.29,464,7
1,2,2,Troy Kelly,66.33,199,3
2,T3,T3,Scott Dunlap,67.5,135,2
3,T3,T3,Bubba Watson,67.5,135,2
4,5,5,Billy Horschel,67.86,475,7
5,T6,T6,Arjun Atwal,68.0,204,3
6,T6,T6,Tim Clark,68.0,136,2
7,8,8,Bill Lunde,68.43,479,7
8,9,9,Ángel Cabrera,68.75,275,4
9,10,10,Phil Mickelson,68.78,619,9
10,T11,T11,Matt Kuchar,68.8,344,5
11,T11,T11,Chris Stroud,68.8,344,5
12,13,13,Johnson Wagner,68.83,413,6
13,T14,T14,Jonas Blixt,69.0,483,7
14,T14,T14,Harrison Frazar,69.0,69,1
15,T14,T14,Jeff Overton,69.0,552,8
16,T14,T14,D.A. Points,69.0,276,4
17,T14,T14,Rory Sabbatini,69.0,621,9
18,T14,T14,Kevin Stadler,69.0,414,6
19,T14,T14,Brendon Todd,69.0,276,4
20,21,21,Nick Watney,69.11,622,9
21,22,22,Martin Laird,69.17,415,6
22,23,23,Vijay Singh,69.22,623,9
23,24,24,Roberto Castro,69.38,555,8
24,25,25,Tim Herron,69.43,486,7
25,26,26,Josh Teater,69.45,764,11
26,T27,T27,Daniel Chopra,69.5,139,2
27,T27,T27,Sergio Garcia,69.5,278,4
28,T27,T27,Greg Owen,69.5,556,8
29,T27,T27,Kyle Reifers,69.5,417,6
30,T27,T27,Webb Simpson,69.5,278,4
31,T27,T27,Daniel Summerhays,69.5,417,6
32,33,33,Jim Furyk,69.57,487,7
33,34,34,Dicky Pride,69.6,348,5
34,T35,T35,Erik Compton,69.67,209,3
35,T35,T35,Ben Curtis,69.67,209,3
36,T35,T35,Bryce Molder,69.67,418,6
37,T35,T35,Henrik Stenson,69.67,209,3
38,T35,T35,Jimmy Walker,69.67,418,6
39,T40,T40,Brian Gay,69.71,488,7
40,T40,T40,Bill Haas,69.71,488,7
41,T40,T40,Louis Oosthuizen,69.71,488,7
42,T43,T43,Nathan Green,69.75,279,4
43,T43,T43,Patrick Sheehan,69.75,279,4
44,T43,T43,Tiger Woods,69.75,279,4
45,T43,T43,Y.E. Yang,69.75,279,4
46,T47,T47,Keegan Bradley,70.0,630,9
