,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Jason Dufner,68.81,2959,43
1,2,2,Tiger Woods,69.24,2562,37
2,3,3,Zach Johnson,69.42,3471,50
3,4,4,Steve Stricker,69.72,2510,36
4,5,5,Ryan Moore,69.82,3491,50
5,T6,T6,Brendon de Jonge,69.87,4402,63
6,T6,T6,Rory McIlroy,69.87,2096,30
7,8,8,Harris English,69.91,3915,56
8,T9,T9,Matt Kuchar,69.93,3007,43
9,T9,T9,John Senden,69.93,3007,43
10,11,11,Ken Duke,69.97,4338,62
11,T12,T12,Webb Simpson,70.0,2940,42
12,T12,T12,Vijay Singh,70.0,3780,54
13,14,14,Justin Rose,70.03,2521,36
14,15,15,Dustin Johnson,70.06,2522,36
15,T16,T16,Billy Horschel,70.09,2313,33
16,T16,T16,Brandt Snedeker,70.09,3014,43
17,18,18,Will Claxton,70.11,3996,57
18,T19,T19,Carl Pettersson,70.13,3717,53
19,T19,T19,Adam Scott,70.13,2104,30
20,21,21,Jim Furyk,70.15,3297,47
21,22,22,Padraig Harrington,70.23,2458,35
22,23,23,Jimmy Walker,70.24,4074,58
23,24,24,Camilo Villegas,70.25,3372,48
24,25,25,Bo Van Pelt,70.26,3232,46
25,26,26,Robert Garrigus,70.3,3726,53
26,T27,T27,Bud Cauley,70.31,4078,58
27,T27,T27,Henrik Stenson,70.31,2039,29
28,29,29,Pat Perez,70.33,3165,45
29,30,30,Keegan Bradley,70.35,3377,48
30,T31,T31,Charles Howell III,70.36,4151,59
31,T31,T31,Seung-Yul Noh,70.36,3870,55
32,T33,T33,Rocco Mediate,70.42,3169,45
33,T33,T33,Bubba Watson,70.42,2535,36
34,35,35,Jonas Blixt,70.45,3100,44
35,36,36,Sergio Garcia,70.47,2114,30
