,First_Tee_Early_Par_5_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_5_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_5_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_5_Scoring_Average_ROUNDS,First_Tee_Early_Par_5_Scoring_Average_AVG,First_Tee_Early_Par_5_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Bubba Watson,68,4.35,161,37
1,T2,T2,Sergio Garcia,57,4.39,180,41
2,T2,T2,Gary Woodland,70,4.39,167,38
3,4,4,Henrik Stenson,51,4.41,163,37
4,T5,T5,Scott Brown,65,4.49,247,55
5,T5,T5,Charles Howell III,98,4.49,458,102
6,T7,T7,Jeff Overton,101,4.5,526,117
7,T7,T7,Lee Westwood,60,4.5,198,44
8,T9,T9,Padraig Harrington,67,4.51,176,39
9,T9,T9,John Senden,81,4.51,343,76
10,T11,T11,Brendon de Jonge,115,4.52,529,117
11,T11,T11,Nick Watney,97,4.52,461,102
12,T13,T13,Jason Dufner,83,4.53,290,64
13,T13,T13,Greg Owen,90,4.53,480,106
14,T15,T15,Kris Blanks,65,4.54,359,79
15,T15,T15,Adam Scott,59,4.54,245,54
16,T15,T15,Kyle Stanley,86,4.54,381,84
17,18,18,Scott Piercy,95,4.55,460,101
18,T19,T19,Scott Dunlap,57,4.56,178,39
19,T19,T19,Charley Hoffman,88,4.56,456,100
20,T19,T19,William McGirt,96,4.56,442,97
21,T19,T19,Dicky Pride,62,4.56,319,70
22,T23,T23,Jim Furyk,85,4.57,288,63
23,T23,T23,Russell Knox,72,4.57,279,61
24,T23,T23,Garth Mulroy,59,4.57,256,56
25,T23,T23,Jimmy Walker,101,4.57,425,93
26,T23,T23,Tiger Woods,69,4.57,137,30
27,T28,T28,Sangmoon Bae,81,4.58,334,73
28,T28,T28,John Daly,50,4.58,174,38
29,T28,T28,Rory McIlroy,60,4.58,87,19
30,T28,T28,Rod Pampling,88,4.58,540,118
31,T28,T28,Josh Teater,97,4.58,504,110
32,T33,T33,Chris Couch,61,4.59,211,46
33,T33,T33,Ben Crane,73,4.59,422,92
34,T33,T33,Patrick Sheehan,58,4.59,257,56
35,T36,T36,Bob Estes,78,4.6,400,87
36,T36,T36,Rickie Fowler,84,4.6,405,88
37,T36,T36,Danny Lee,74,4.6,239,52
38,T36,T36,Bill Lunde,83,4.6,354,77
39,T36,T36,Seung-Yul Noh,105,4.6,515,112
40,T36,T36,Pat Perez,81,4.6,373,81
41,T36,T36,D.A. Points,88,4.6,419,91
42,T36,T36,Rory Sabbatini,84,4.6,432,94
43,T36,T36,Bo Van Pelt,84,4.6,386,84
44,T45,T45,Billy Horschel,63,4.61,235,51
45,T45,T45,Ryo Ishikawa,54,4.61,175,38
46,T45,T45,Geoff Ogilvy,73,4.61,498,108
47,T48,T48,Aaron Baddeley,73,4.62,467,101
48,T48,T48,Charlie Beljan,61,4.62,180,39
49,T48,T48,Will Claxton,99,4.62,425,92
50,T48,T48,Robert Garrigus,89,4.62,457,99
51,T48,T48,Matt Kuchar,86,4.62,268,58
52,T48,T48,Troy Matteson,100,4.62,453,98
53,T48,T48,Phil Mickelson,79,4.62,240,52
54,T48,T48,Chris Stroud,86,4.62,351,76
55,T48,T48,Daniel Summerhays,81,4.62,434,94
56,T57,T57,Kevin Chappell,91,4.63,444,96
57,T57,T57,K.J. Choi,71,4.63,310,67
58,T57,T57,Brian Gay,91,4.63,403,87
59,T57,T57,Spencer Levin,81,4.63,468,101
60,T57,T57,Camilo Villegas,79,4.63,292,63
61,T62,T62,Matt Bettencourt,80,4.64,260,56
62,T62,T62,Jonas Blixt,72,4.64,353,76
