,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,60,68.873,3760,- 40.848,54
1,2,2,Tiger Woods,69,68.904,4675,- 58.454,67
2,3,3,Jim Furyk,85,69.304,5888,- 66.464,84
3,4,4,Jason Dufner,83,69.456,5731,- 35.636,82
4,5,5,Matt Kuchar,86,69.477,5743,- 45.884,82
5,6,6,Adam Scott,59,69.533,4091,- 58.096,58
6,7,7,Justin Rose,69,69.54899999999999,4775,- 45.636,68
7,8,8,Dustin Johnson,70,69.564,4702,- 41.188,67
8,9,9,Bubba Watson,68,69.639,4619,- 22.814,66
9,10,10,Luke Donald,63,69.687,4362,- 41.405,62
10,11,11,Louis Oosthuizen,65,69.707,4430,- 38.435,63
11,12,12,Bo Van Pelt,84,69.718,5829,- 42.395,83
12,13,13,Padraig Harrington,67,69.736,4444,- 50.628,63
13,14,14,Zach Johnson,95,69.821,6599,- 35.818,94
14,15,15,Brandt Snedeker,81,69.84,5468,- 20.455,78
15,16,16,Steve Stricker,73,69.865,4907,- 16.454,70
16,17,17,Sergio Garcia,57,69.928,3958,- 42.056,56
17,18,18,Keegan Bradley,90,69.984,6189,- 30.408,88
18,19,19,Carl Pettersson,92,70.013,6474,- 32.830,92
19,20,20,Phil Mickelson,79,70.03,5565,- 32.636,79
20,21,21,Webb Simpson,77,70.04,5331,- 7.987,76
21,22,22,John Senden,81,70.05,5487,- 23.093,78
22,23,23,Robert Garrigus,89,70.066,6264,- 28.148,89
23,24,24,Lee Westwood,60,70.084,3822,- 37.474,54
24,25,25,Ernie Els,80,70.131,5519,- 48.783,78
25,26,26,Brendon de Jonge,115,70.137,8070,- 4.205,115
26,27,27,Jason Day,57,70.152,3895,- 36.628,55
27,28,28,Vijay Singh,99,70.156,6984,- 38.602,99
28,29,29,Ian Poulter,57,70.176,3965,- 35.133,56
29,30,30,Davis Love III,64,70.194,4526,- 33.616,64
30,31,31,Jeff Overton,101,70.197,7093,- 3.085,101
31,32,32,Graeme McDowell,55,70.229,3829,- 36.651,54
32,33,33,Henrik Stenson,51,70.23899999999999,3610,- 27.836,51
33,34,34,Jonas Blixt,72,70.244,5050,7.585,72
34,35,35,Ryan Palmer,81,70.252,5716,- 25.585,81
35,36,36,Seung-Yul Noh,105,70.256,7120,- 24.157,101
36,37,37,Charl Schwartzel,56,70.281,3826,- 30.848,54
37,38,38,Ryan Moore,89,70.3,6278,- 21.334,89
38,39,39,Hunter Mahan,88,70.346,5823,- 54.647,82
39,40,40,Will Claxton,99,70.369,6963,3.547,99
40,41,41,Ken Duke,104,70.376,7318,1.081,104
41,42,42,Pat Perez,81,70.378,5578,- 18.123,79
42,43,43,John Huh,99,70.384,7004,- 35.937,99
43,44,44,Charles Howell III,98,70.385,6927,- 29.318,98
44,45,45,Scott Piercy,95,70.40899999999999,6697,- 8.103,95
45,46,46,Greg Chalmers,88,70.417,6169,- 42.713,87
46,47,47,Bob Estes,78,70.418,5532,- 39.383,78
47,48,48,Roberto Castro,92,70.434,6340,- .968,90
48,49,49,Geoff Ogilvy,73,70.436,5111,- 39.642,72
49,50,50,Greg Owen,90,70.444,6368,- 28.026,90
50,51,51,Bud Cauley,99,70.458,6982,- 6.646,99
51,52,52,Bill Haas,79,70.484,5519,- 21.271,78
52,53,53,Billy Horschel,63,70.494,4143,16.147,59
53,54,54,Kevin Stadler,85,70.525,5733,- 20.460,81
54,T55,T55,Ben Curtis,62,70.538,4382,- 8.631,62
55,T55,T55,Martin Flores,95,70.538,6725,- 23.877,95
56,57,57,Jimmy Walker,101,70.556,7136,- 9.857,101
57,58,58,Freddie Jacobson,61,70.561,4301,- 67.319,60
58,59,59,Chad Campbell,84,70.566,5950,- 22.429,84
59,60,60,Nick Watney,97,70.577,6666,- 31.750,94
60,61,61,Blake Adams,107,70.586,7576,- 23.304,107
61,62,62,Rickie Fowler,84,70.60600000000001,5911,- 50.711,83
62,63,63,Sean O'Hair,84,70.615,5937,- 5.358,84
63,64,64,John Rollins,81,70.618,5448,- 10.382,77
64,65,65,Graham DeLaet,79,70.624,5594,- 14.709,79
65,66,66,Kyle Stanley,86,70.633,5965,- 31.819,84
66,67,67,Kevin Na,80,70.634,5599,- 18.875,79
67,68,68,Harris English,98,70.688,6947,- 19.581,98
68,T69,T69,Tim Clark,60,70.697,4266,- 24.193,60
69,T69,T69,Charlie Wi,86,70.697,6123,- 43.044,86
70,71,71,John Mallinger,74,70.699,4960,- 11.091,70
71,72,72,John Merrick,83,70.70100000000001,5577,8.378,79
72,73,73,Ben Crane,73,70.708,5093,- 2.036,72
73,74,74,Michael Thompson,80,70.718,5698,- 40.556,80
74,75,75,Daniel Summerhays,81,70.722,5736,- 7.553,81
75,76,76,William McGirt,96,70.729,6794,- 4.045,96
76,77,77,David Toms,60,70.74,4112,- 9.062,58
77,78,78,Jonathan Byrd,69,70.753,4842,- 30.804,68
78,79,79,Brian Gay,91,70.767,6152,4.714,87
79,80,80,Spencer Levin,81,70.77600000000001,5629,- 37.730,79
80,81,81,Tim Herron,88,70.781,6240,- 11.246,88
81,82,82,Matt Every,80,70.789,5670,- 6.877,80
82,83,83,David Hearn,95,70.80199999999999,6720,6.204,95
83,84,84,Brian Davis,91,70.807,6459,- 15.546,91
84,85,85,Richard Lee,71,70.809,4721,23.185,67
85,86,86,Tom Gillis,75,70.812,5322,- 11.122,75
86,87,87,Gary Christian,91,70.82,6154,7.367,87
87,T88,T88,Brian Harman,101,70.821,7164,- 11.058,101
88,T88,T88,Kevin Streelman,89,70.821,6313,- 9.888,89
89,90,90,Marc Leishman,84,70.831,5996,- 46.196,84
90,91,91,Ryo Ishikawa,54,70.854,3730,- 45.586,52
91,92,92,Dicky Pride,62,70.87100000000001,4113,- 2.485,58
92,93,93,Chris Stroud,86,70.878,6096,- .451,86
93,94,94,John Daly,50,70.87899999999999,3273,- 12.588,46
94,95,95,Jeff Maggert,83,70.883,5878,5.248,83
95,96,96,K.J. Choi,71,70.88600000000001,5001,- 38.969,70
96,97,97,Kevin Chappell,91,70.89,6194,- 26.600,87
97,98,98,Chris Kirk,93,70.891,6286,23.341,89
98,99,99,Johnson Wagner,88,70.899,6254,- 14.895,88
99,100,100,Russell Knox,72,70.905,4792,29.538,68
100,101,101,Heath Slocum,93,70.911,6307,4.100,89
101,102,102,J.B. Holmes,90,70.92399999999999,6111,- 11.556,86
102,103,103,J.J. Henry,93,70.939,6324,- 10.466,89
103,104,104,D.A. Points,88,70.946,6243,.227,88
104,105,105,Billy Mayfair,90,70.94800000000001,6110,- 8.484,86
105,106,106,Josh Teater,97,70.953,6592,6.611,93
106,107,107,Jerry Kelly,84,70.955,5948,12.192,84
107,108,108,Boo Weekley,74,70.96600000000001,4976,- 8.391,70
108,109,109,Chris Couch,61,70.977,4182,5.631,59
109,110,110,Martin Laird,77,70.98899999999999,5212,- 29.837,73
110,111,111,Nathan Green,73,70.991,4880,18.358,69
111,112,112,Y.E. Yang,64,71.005,4449,- 46.665,62
112,113,113,George McNeill,85,71.01100000000001,6058,- 22.027,85
113,114,114,Cameron Tringale,88,71.023,6266,- 15.961,88
114,115,115,Bryce Molder,83,71.028,5614,- 2.783,79
115,116,116,Rod Pampling,88,71.038,5984,- 16.832,84
116,117,117,Vaughn Taylor,81,71.059,5607,6.699,79
117,T118,T118,Danny Lee,74,71.062,4958,16.341,70
118,T118,T118,Bill Lunde,83,71.062,5605,8.881,79
119,120,120,Brandt Jobe,57,71.064,4077,- 26.356,57
120,121,121,Camilo Villegas,79,71.079,5456,17.115,77
121,122,122,Stuart Appleby,75,71.095,5029,18.778,71
122,123,123,Aaron Baddeley,73,71.113,5152,- 31.895,72
123,124,124,Rory Sabbatini,84,71.125,5988,- 13.505,84
124,125,125,Charley Hoffman,88,71.139,6276,- 15.750,88
125,126,126,Kyle Reifers,86,71.16,6110,9.778,86
126,127,127,Ricky Barnes,92,71.163,6280,- 17.686,88
127,128,128,Garth Mulroy,59,71.192,4054,3.920,57
128,129,129,Kris Blanks,65,71.20100000000001,4652,- 23.917,65
129,130,130,Hunter Haas,69,71.205,4653,- 24.670,65
130,131,131,Bobby Gates,87,71.208,6054,- 1.325,85
131,132,132,Rocco Mediate,70,71.218,4821,21.850,68
132,133,133,James Driscoll,83,71.24600000000001,5914,- .601,83
133,134,134,Troy Matteson,100,71.247,6998,- 15.754,98
134,135,135,Jason Bohn,81,71.248,5491,- 4.913,77
135,136,136,David Mathis,83,71.333,5792,- 14.044,81
136,137,137,Chez Reavie,83,71.334,5935,- 14.288,83
137,138,138,Kevin Kisner,69,71.342,4618,19.227,65
138,139,139,Robert Allenby,76,71.355,5458,- 34.995,76
139,140,140,Matt Jones,53,71.367,3771,11.425,53
140,141,141,Trevor Immelman,76,71.37,5466,- 41.891,76
141,142,142,Mark Wilson,84,71.375,5585,- 17.727,78
142,143,143,Gavin Coles,72,71.39699999999999,4971,26.764,70
143,144,144,Charlie Beljan,61,71.40100000000001,4046,23.848,57
144,145,145,Jhonattan Vegas,77,71.44,5507,- 6.133,77
145,146,146,Jason Kokrak,79,71.445,5340,18.397,75
146,147,147,Mathew Goggin,65,71.449,4482,19.285,63
147,148,148,Robert Karlsson,54,71.453,3735,- 19.463,52
148,149,149,Stewart Cink,71,71.483,4827,- 37.619,67
149,150,150,Chris DiMarco,83,71.488,5792,- 1.432,81
150,151,151,Scott Stallings,78,71.49,5573,3.247,78
151,152,152,Erik Compton,81,71.499,5502,3.402,77
152,153,153,J.J. Killeen,101,71.502,6943,- 7.318,97
153,154,154,Stephen Ames,54,71.51100000000001,3882,- 20.403,54
154,155,155,Troy Kelly,68,71.531,4566,11.965,64
155,156,156,Tommy Gainey,98,71.54,7014,- 3.084,98
156,157,157,Andres Romero,68,71.543,4606,- 27.268,64
157,158,158,Gary Woodland,70,71.55199999999999,4969,- 31.940,69
158,159,159,D.J. Trahan,73,71.563,4929,8.841,69
159,160,160,Nick O'Hern,78,71.579,5303,- 6.141,74
160,161,161,Ángel Cabrera,54,71.581,3890,- 24.631,54
161,162,162,Justin Leonard,79,71.583,5377,- 8.286,75
162,163,163,Steve Wheatcroft,56,71.584,3712,10.348,52
163,164,164,Sangmoon Bae,81,71.62899999999999,5550,- 34.556,77
164,165,165,Arjun Atwal,79,71.634,5357,15.565,75
165,166,166,Roland Thatcher,55,71.646,3776,21.242,53
166,167,167,Scott Dunlap,57,71.653,3783,14.610,53
167,168,168,Mark Anderson,75,71.692,5224,9.488,73
168,169,169,"Ted Potter, Jr.",77,71.71,5530,- 8.310,77
169,170,170,Cameron Beckman,81,71.726,5520,2.874,77
170,171,171,Harrison Frazar,56,71.73899999999999,3883,- 9.088,54
171,172,172,Colt Knost,79,71.798,5541,- 12.570,77
172,173,173,Scott Brown,65,71.835,4503,22.589,63
173,174,174,Daniel Chopra,55,71.872,3808,1.208,53
174,175,175,Brendon Todd,78,71.873,5306,12.575,74
175,176,176,Derek Lamely,64,71.876,4590,10.055,64
176,177,177,Brendan Steele,77,71.887,5251,- 3.237,73
177,178,178,Miguel Angel Carballo,73,71.918,4947,15.362,69
178,179,179,Edward Loar,59,71.922,4097,2.559,57
179,180,180,Patrick Sheehan,58,71.95,4017,12.181,56
180,181,181,Ryuji Imada,78,71.97800000000001,5462,8.320,76
181,182,182,Alexandre Rocha,62,72.039,4160,18.273,58
182,183,183,Michael Bradley,63,72.059,4517,22.729,63
183,184,184,Billy Hurley III,70,72.116,4919,- 15.102,68
184,185,185,Tom Pernice Jr.,62,72.137,4165,18.955,58
185,186,186,Matt Bettencourt,80,72.182,5487,- 1.154,76
186,187,187,Kyle Thompson,51,72.296,3535,7.498,49
187,188,188,Marco Dawson,60,72.304,4170,23.648,58
188,189,189,Tommy Biershenk,74,72.494,5213,6.545,72
189,190,190,Sung Kang,75,72.571,5304,- 6.294,73
190,191,191,Stephen Gangluff,57,72.995,4001,13.707,55
