,Front_9_Scoring_Average_RANK THIS WEEK,Front_9_Scoring_Average_RANK LAST WEEK,Front_9_Scoring_Average_PLAYER NAME,Front_9_Scoring_Average_ROUNDS,Front_9_Scoring_Average_AVG,Front_9_Scoring_Average_TOTAL STROKES,Front_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,34.69,2324,67
1,2,2,Jim Furyk,85,34.73,2917,84
2,3,3,Jason Dufner,83,34.74,2849,82
3,T4,T4,Jonas Blixt,72,34.75,2502,72
4,T4,T4,Bo Van Pelt,84,34.75,2884,83
5,6,6,Matt Kuchar,86,34.77,2851,82
6,7,7,Brandt Snedeker,81,34.78,2713,78
7,8,8,Bubba Watson,68,34.8,2297,66
8,9,9,Carl Pettersson,92,34.82,3203,92
9,10,10,Steve Stricker,73,34.84,2439,70
10,11,11,Rory McIlroy,60,34.85,1882,54
11,12,12,Jeff Overton,101,34.88,3523,101
12,T13,T13,Keegan Bradley,90,34.89,3070,88
13,T13,T13,Jason Day,57,34.89,1919,55
14,T13,T13,Luke Donald,63,34.89,2163,62
15,T13,T13,Zach Johnson,95,34.89,3280,94
16,17,17,Charles Howell III,98,34.9,3420,98
17,T18,T18,Ernie Els,80,34.92,2724,78
18,T18,T18,Louis Oosthuizen,65,34.92,2200,63
19,20,20,Scott Piercy,95,34.93,3318,95
20,T21,T21,Dustin Johnson,70,34.94,2341,67
21,T21,T21,John Senden,81,34.94,2725,78
22,T23,T23,Bud Cauley,99,34.99,3464,99
23,T23,T23,Phil Mickelson,79,34.99,2764,79
24,25,25,Brendon de Jonge,115,35.02,4027,115
25,26,26,Billy Horschel,63,35.03,2067,59
26,27,27,Ian Poulter,57,35.04,1962,56
27,28,28,Camilo Villegas,79,35.06,2700,77
28,T29,T29,Ken Duke,104,35.08,3648,104
29,T29,T29,Webb Simpson,77,35.08,2666,76
30,31,31,Adam Scott,59,35.09,2035,58
31,32,32,Vijay Singh,99,35.1,3475,99
32,33,33,D.A. Points,88,35.11,3090,88
33,T34,T34,Padraig Harrington,67,35.13,2213,63
34,T34,T34,John Rollins,81,35.13,2705,77
35,36,36,Jeff Maggert,83,35.14,2917,83
36,T37,T37,Charl Schwartzel,56,35.15,1898,54
37,T37,T37,Josh Teater,97,35.15,3269,93
38,T39,T39,Greg Chalmers,88,35.17,3060,87
39,T39,T39,Robert Garrigus,89,35.17,3130,89
40,T39,T39,Bill Haas,79,35.17,2743,78
41,T39,T39,Heath Slocum,93,35.17,3130,89
42,T43,T43,Garth Mulroy,59,35.18,2005,57
43,T43,T43,Henrik Stenson,51,35.18,1794,51
44,T45,T45,Russell Knox,72,35.19,2393,68
45,T45,T45,Ryan Moore,89,35.19,3132,89
46,T45,T45,Ryan Palmer,81,35.19,2850,81
47,T45,T45,Chris Stroud,86,35.19,3026,86
48,T45,T45,Lee Westwood,60,35.19,1900,54
49,T50,T50,Gary Christian,91,35.2,3062,87
50,T50,T50,Will Claxton,99,35.2,3485,99
51,T50,T50,Chris Couch,61,35.2,2077,59
52,T50,T50,Danny Lee,74,35.2,2464,70
53,T50,T50,Spencer Levin,81,35.2,2781,79
54,T50,T50,Seung-Yul Noh,105,35.2,3555,101
55,T56,T56,Ben Crane,73,35.21,2535,72
56,T56,T56,Brian Gay,91,35.21,3063,87
57,T58,T58,Bobby Gates,87,35.22,2994,85
58,T58,T58,John Merrick,83,35.22,2782,79
