,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,60,4.2,227,54
1,2,2,Webb Simpson,77,4.11,312,76
2,3,3,Brandt Snedeker,81,4.01,313,78
3,T4,T4,Robert Garrigus,89,3.97,353,89
4,T4,T4,Tiger Woods,69,3.97,266,67
5,6,6,Jason Dufner,83,3.96,325,82
6,7,7,Phil Mickelson,79,3.95,312,79
7,T8,T8,Ryan Palmer,81,3.94,319,81
8,T8,T8,Bo Van Pelt,84,3.94,327,83
9,10,10,Keegan Bradley,90,3.91,344,88
10,11,11,Ryan Moore,89,3.9,347,89
11,12,12,Ben Crane,73,3.89,280,72
12,T13,T13,Matt Every,80,3.85,308,80
13,T13,T13,Scott Piercy,95,3.85,366,95
14,T13,T13,Lee Westwood,60,3.85,208,54
15,16,16,Jeff Overton,101,3.84,388,101
16,T17,T17,Steve Stricker,73,3.8,266,70
17,T17,T17,Bubba Watson,68,3.8,251,66
18,T19,T19,Tom Gillis,75,3.79,284,75
19,T19,T19,Zach Johnson,95,3.79,356,94
20,T21,T21,Jonas Blixt,72,3.78,272,72
21,T21,T21,Graeme McDowell,55,3.78,204,54
22,T21,T21,Louis Oosthuizen,65,3.78,238,63
23,T21,T21,Adam Scott,59,3.78,219,58
24,25,25,Pat Perez,81,3.77,298,79
25,T26,T26,Dustin Johnson,70,3.75,251,67
26,T26,T26,Josh Teater,97,3.75,349,93
27,T28,T28,Robert Karlsson,54,3.73,194,52
28,T28,T28,Chris Kirk,93,3.73,332,89
29,T28,T28,John Senden,81,3.73,291,78
30,T31,T31,Greg Owen,90,3.71,334,90
31,T31,T31,Jimmy Walker,101,3.71,375,101
32,T33,T33,Brendon de Jonge,115,3.7,425,115
33,T33,T33,Martin Laird,77,3.7,270,73
34,T33,T33,Sean O'Hair,84,3.7,311,84
35,T33,T33,Carl Pettersson,92,3.7,340,92
36,T37,T37,Richard Lee,71,3.69,247,67
37,T37,T37,Justin Rose,69,3.69,251,68
38,T37,T37,Camilo Villegas,79,3.69,284,77
39,T40,T40,Blake Adams,107,3.67,393,107
40,T40,T40,Charlie Beljan,61,3.67,209,57
41,T40,T40,Ken Duke,104,3.67,382,104
42,43,43,J.B. Holmes,90,3.66,315,86
43,T44,T44,Charley Hoffman,88,3.65,321,88
44,T44,T44,John Huh,99,3.65,361,99
45,T46,T46,Mark Anderson,75,3.64,266,73
46,T46,T46,Sangmoon Bae,81,3.64,280,77
47,T46,T46,Jason Day,57,3.64,200,55
48,T46,T46,Sergio Garcia,57,3.64,204,56
49,T50,T50,John Daly,50,3.63,167,46
50,T50,T50,Davis Love III,64,3.63,232,64
51,T50,T50,Henrik Stenson,51,3.63,185,51
52,T53,T53,Harris English,98,3.62,355,98
53,T53,T53,Nathan Green,73,3.62,250,69
54,T53,T53,Matt Kuchar,86,3.62,297,82
55,T56,T56,Garth Mulroy,59,3.61,206,57
56,T56,T56,John Rollins,81,3.61,278,77
57,T56,T56,Charl Schwartzel,56,3.61,195,54
58,T59,T59,Will Claxton,99,3.6,356,99
59,T59,T59,Danny Lee,74,3.6,252,70
60,T59,T59,D.A. Points,88,3.6,317,88
61,T59,T59,Vijay Singh,99,3.6,356,99
62,T59,T59,Nick Watney,97,3.6,338,94
63,64,64,Vaughn Taylor,81,3.59,284,79
64,65,65,Ben Curtis,62,3.58,222,62
65,66,66,Bud Cauley,99,3.56,352,99
66,T67,T67,Chris Couch,61,3.54,209,59
67,T67,T67,John Merrick,83,3.54,280,79
