,First_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_4_Scoring_Average_ROUNDS,First_Tee_Early_Par_4_Scoring_Average_AVG,First_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Bubba Watson,68,3.92,466,119
1,T2,T2,Matt Kuchar,86,3.95,810,205
2,T2,T2,Carl Pettersson,92,3.95,1294,328
3,T4,T4,Jonas Blixt,72,3.96,1026,259
4,T4,T4,Ken Duke,104,3.96,1528,386
5,T4,T4,Padraig Harrington,67,3.96,563,142
6,T4,T4,Scott Piercy,95,3.96,1328,335
7,T8,T8,Martin Flores,95,3.97,1390,350
8,T8,T8,J.B. Holmes,90,3.97,1072,270
9,T8,T8,Ian Poulter,57,3.97,675,170
10,T8,T8,Henrik Stenson,51,3.97,576,145
11,T12,T12,Jeff Overton,101,3.98,1702,428
12,T12,T12,David Toms,60,3.98,785,197
13,T14,T14,Scott Brown,65,3.99,841,211
14,T14,T14,Will Claxton,99,3.99,1359,341
15,T14,T14,Matt Every,80,3.99,1034,259
16,T14,T14,Bill Haas,79,3.99,1002,251
17,T14,T14,Chris Kirk,93,3.99,1391,349
18,T14,T14,David Mathis,83,3.99,910,228
19,T20,T20,Blake Adams,107,4.0,1543,386
20,T20,T20,Roberto Castro,92,4.0,1452,363
21,T20,T20,Jim Furyk,85,4.0,864,216
22,T20,T20,Hunter Haas,69,4.0,1069,267
23,T20,T20,Billy Horschel,63,4.0,805,201
24,T20,T20,Graeme McDowell,55,4.0,632,158
25,T20,T20,Ryan Palmer,81,4.0,1191,298
26,T20,T20,Dicky Pride,62,4.0,841,210
27,T20,T20,Kyle Reifers,86,4.0,903,226
28,T20,T20,Justin Rose,69,4.0,848,212
29,T20,T20,Webb Simpson,77,4.0,620,155
30,T20,T20,Vaughn Taylor,81,4.0,919,230
31,T32,T32,K.J. Choi,71,4.01,1018,254
32,T32,T32,Graham DeLaet,79,4.01,1114,278
33,T32,T32,Nathan Green,73,4.01,923,230
34,T32,T32,Brian Harman,101,4.01,1310,327
35,T32,T32,Tim Herron,88,4.01,1307,326
36,T32,T32,Dustin Johnson,70,4.01,662,165
37,T32,T32,Bill Lunde,83,4.01,1084,270
38,T32,T32,Hunter Mahan,88,4.01,1082,270
39,T32,T32,Kevin Na,80,4.01,1124,280
40,T32,T32,Charl Schwartzel,56,4.01,609,152
41,T32,T32,Josh Teater,97,4.01,1517,378
42,T43,T43,Charlie Beljan,61,4.02,631,157
43,T43,T43,Miguel Angel Carballo,73,4.02,1068,266
44,T43,T43,Greg Chalmers,88,4.02,1376,342
45,T43,T43,Brian Gay,91,4.02,1270,316
46,T43,T43,Russell Knox,72,4.02,881,219
47,T43,T43,Davis Love III,64,4.02,494,123
48,T43,T43,Jeff Maggert,83,4.02,1275,317
49,T43,T43,William McGirt,96,4.02,1285,320
50,T43,T43,Ryan Moore,89,4.02,952,237
51,T43,T43,Patrick Sheehan,58,4.02,788,196
52,T43,T43,Kevin Stadler,85,4.02,881,219
53,T43,T43,Bo Van Pelt,84,4.02,1170,291
54,T43,T43,Jimmy Walker,101,4.02,1193,297
55,T43,T43,Tiger Woods,69,4.02,442,110
56,T57,T57,Matt Bettencourt,80,4.03,730,181
57,T57,T57,Gary Christian,91,4.03,1205,299
58,T57,T57,Ben Crane,73,4.03,1104,274
59,T57,T57,Charles Howell III,98,4.03,1505,373
60,T57,T57,Billy Hurley III,70,4.03,1225,304
61,T57,T57,Martin Laird,77,4.03,1120,278
62,T57,T57,Louis Oosthuizen,65,4.03,1031,256
63,T57,T57,Cameron Tringale,88,4.03,1367,339
64,T57,T57,Charlie Wi,86,4.03,1125,279
65,T66,T66,Chad Campbell,84,4.04,1140,282
66,T66,T66,Tom Gillis,75,4.04,1228,304
67,T66,T66,Zach Johnson,95,4.04,1192,295
68,T66,T66,D.A. Points,88,4.04,1376,341
69,T66,T66,John Rollins,81,4.04,844,209
70,T66,T66,Rory Sabbatini,84,4.04,1427,353
71,T66,T66,Boo Weekley,74,4.04,1098,272
72,T73,T73,Aaron Baddeley,73,4.05,1414,349
73,T73,T73,Keegan Bradley,90,4.05,1000,247
74,T73,T73,Erik Compton,81,4.05,932,230
75,T73,T73,Ben Curtis,62,4.05,700,173
76,T73,T73,Brian Davis,91,4.05,908,224
77,T73,T73,Brendon de Jonge,115,4.05,1614,399
78,T73,T73,Luke Donald,63,4.05,741,183
79,T73,T73,Bob Estes,78,4.05,1287,318
80,T73,T73,Sergio Garcia,57,4.05,628,155
81,T73,T73,David Hearn,95,4.05,1491,368
82,T73,T73,Jerry Kelly,84,4.05,1513,374
83,T73,T73,Danny Lee,74,4.05,806,199
84,T73,T73,Richard Lee,71,4.05,838,207
85,T73,T73,Seung-Yul Noh,105,4.05,1582,391
86,T73,T73,Chez Reavie,83,4.05,1319,326
87,T73,T73,Vijay Singh,99,4.05,1519,375
88,T73,T73,Scott Stallings,78,4.05,1115,275
89,T73,T73,Brendan Steele,77,4.05,1167,288
90,T73,T73,Brendon Todd,78,4.05,806,199
91,T73,T73,Nick Watney,97,4.05,1396,345
92,T93,T93,Mark Anderson,75,4.06,1132,279
93,T93,T93,Bud Cauley,99,4.06,1103,272
