,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,2.92,292,100
1,T2,T2,Jason Day,57,2.94,335,114
2,T2,T2,Dustin Johnson,70,2.94,356,121
3,T2,T2,Richard Lee,71,2.94,485,165
4,5,5,Sean O'Hair,84,2.95,540,183
5,6,6,Greg Owen,90,2.96,569,192
6,T7,T7,Arjun Atwal,79,2.97,458,154
7,T7,T7,Ken Duke,104,2.97,606,204
8,T7,T7,Bob Estes,78,2.97,493,166
9,T7,T7,Billy Horschel,63,2.97,344,116
10,T7,T7,Louis Oosthuizen,65,2.97,377,127
11,T7,T7,Ryan Palmer,81,2.97,433,146
12,T7,T7,Justin Rose,69,2.97,362,122
13,T7,T7,Kevin Stadler,85,2.97,466,157
14,T7,T7,David Toms,60,2.97,354,119
15,T16,T16,Keegan Bradley,90,2.98,497,167
16,T16,T16,Ben Curtis,62,2.98,310,104
17,T16,T16,Zach Johnson,95,2.98,548,184
18,T16,T16,Tom Pernice Jr.,62,2.98,387,130
19,T16,T16,Brandt Snedeker,81,2.98,399,134
20,T16,T16,Steve Stricker,73,2.98,310,104
21,T16,T16,Daniel Summerhays,81,2.98,503,169
22,T23,T23,Greg Chalmers,88,2.99,535,179
23,T23,T23,Brendon de Jonge,115,2.99,690,231
24,T23,T23,Troy Kelly,68,2.99,377,126
25,T23,T23,Derek Lamely,64,2.99,422,141
26,T23,T23,Geoff Ogilvy,73,2.99,491,164
27,T23,T23,Carl Pettersson,92,2.99,524,175
28,T23,T23,Vaughn Taylor,81,2.99,481,161
29,T23,T23,Lee Westwood,60,2.99,287,96
30,T31,T31,Gary Christian,91,3.0,564,188
31,T31,T31,Davis Love III,64,3.0,387,129
