,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Tiger Woods,69,9.9,29,293
1,2,2,Scott Hoch,71,10.2,25,245
2,3,3,Bob May,91,10.26,31,302
3,4,4,Chris Riley,104,10.44,40,383
4,5,5,Retief Goosen,56,10.65,23,216
5,6,6,Jeff Sluman,118,11.03,46,417
6,7,7,Vijay Singh,102,11.35,42,370
7,8,8,Matt Gogel,79,11.38,28,246
8,9,9,Fred Funk,106,11.51,48,417
9,10,10,José María Olazábal,71,11.57,25,216
10,T11,T11,Chris DiMarco,111,11.74,48,409
11,T11,T11,Peter Jacobsen,67,11.74,25,213
12,13,13,John Huston,99,11.75,43,366
13,14,14,Heath Slocum,96,11.76,36,306
14,15,15,Dan Forsman,83,11.82,35,296
15,16,16,Jim Furyk,88,11.89,34,286
16,17,17,Nick Price,69,11.93,29,243
17,18,18,Cameron Beckman,87,11.97,37,309
18,19,19,Kirk Triplett,84,12.12,36,297
19,20,20,David Peoples,105,12.21,47,385
20,21,21,Carlos Franco,107,12.23,46,376
21,22,22,Joe Durant,87,12.41,33,266
22,23,23,Loren Roberts,93,12.42,40,322
23,24,24,Craig Barlow,62,12.44,24,193
24,25,25,Hidemichi Tanaka,104,12.68,45,355
25,26,26,Ian Leggatt,97,12.87,44,342
26,27,27,David Toms,106,13.0,55,423
27,28,28,Brian Henninger,66,13.04,30,230
28,29,29,Jerry Kelly,99,13.07,46,352
29,30,30,Len Mattiace,106,13.11,48,366
30,31,31,Brian Gay,117,13.13,55,419
31,32,32,Bob Tway,103,13.2,45,341
32,33,33,John Rollins,124,13.3,60,451
33,T34,T34,Davis Love III,92,13.33,44,330
34,T34,T34,Craig Stadler,72,13.33,32,240
35,36,36,Jay Williamson,91,13.42,40,298
36,37,37,David Gossett,95,13.43,45,335
37,38,38,Stewart Cink,92,13.44,43,320
38,39,39,Peter Lonard,93,13.49,46,341
39,40,40,Scott Verplank,93,13.6,48,353
40,41,41,Mark Brooks,97,13.65,40,293
41,42,42,J.J. Henry,112,13.66,44,322
42,43,43,K.J. Choi,93,13.73,46,335
43,44,44,Glen Hnatiuk,95,13.75,44,320
44,45,45,Charles Howell III,118,13.79,59,428
45,46,46,Craig Parry,69,13.81,33,239
46,T47,T47,Jonathan Byrd,96,13.86,51,368
47,T47,T47,Tom Pernice Jr.,101,13.86,47,339
48,T49,T49,Bart Bryant,69,13.87,33,238
49,T49,T49,Ben Crane,91,13.87,48,346
50,51,51,"David Berganio, Jr.",80,13.9,36,259
51,T52,T52,Billy Andrade,100,13.97,50,358
52,T52,T52,Skip Kendall,103,13.97,50,358
53,T52,T52,Rory Sabbatini,69,13.97,32,229
54,55,55,Kevin Sutherland,96,13.99,40,286
55,56,56,Joel Edwards,101,14.01,51,364
56,57,57,Tim Herron,102,14.12,49,347
57,58,58,Robert Allenby,96,14.25,51,358
58,T59,T59,José Coceres,51,14.29,21,147
59,T59,T59,John Cook,85,14.29,42,294
60,T59,T59,Phil Mickelson,97,14.29,57,399
61,62,62,Jay Haas,83,14.34,40,279
62,63,63,Justin Leonard,97,14.36,53,369
63,64,64,Kenneth Staton,104,14.41,49,340
64,65,65,Glen Day,107,14.52,53,365
65,T66,T66,Esteban Toledo,106,14.58,50,343
66,T66,T66,Duffy Waldorf,90,14.58,49,336
67,68,68,Spike McRoy,69,14.63,30,205
68,69,69,Rod Pampling,98,14.68,53,361
69,70,70,J.P. Hayes,78,14.7,41,279
70,71,71,Per-Ulrik Johansson,87,14.75,45,305
71,72,72,Ernie Els,68,14.77,35,237
72,73,73,Shaun Micheel,100,14.78,51,345
73,74,74,Bob Estes,93,14.79,46,311
74,75,75,Steve Elkington,82,14.84,38,256
75,76,76,Brandt Jobe,94,14.85,49,330
76,77,77,Steve Allan,93,14.88,50,336
77,78,78,Luke Donald,106,14.92,54,362
78,79,79,Stephen Ames,89,14.98,46,307
79,80,80,Steve Lowery,98,15.09,51,338
80,81,81,Tom Byrum,77,15.1,37,245
81,T82,T82,Geoff Ogilvy,90,15.13,51,337
82,T82,T82,Tim Petrovic,92,15.13,46,304
83,84,84,Grant Waite,98,15.14,48,317
84,85,85,Andrew Magee,91,15.15,45,297
85,86,86,Matt Peterson,80,15.19,36,237
86,87,87,John Senden,96,15.25,52,341
87,T88,T88,Jay Don Blake,107,15.28,55,360
88,T88,T88,Kenny Perry,98,15.28,59,386
89,90,90,Steve Jones,71,15.42,33,214
90,91,91,Joe Ogilvie,50,15.44,23,149
91,T92,T92,Pat Perez,89,15.48,50,323
92,T92,T92,Mike Sposa,111,15.48,52,336
93,94,94,David Morland IV,58,15.5,31,200
94,95,95,Tim Clark,76,15.56,42,270
95,96,96,Shigeki Maruyama,87,15.58,48,308
96,97,97,Joey Sindelar,104,15.59,58,372
97,98,98,Jeff Gove,89,15.6,44,282
98,99,99,Michael Allen,76,15.63,35,224
99,100,100,Harrison Frazar,88,15.71,49,312
100,101,101,Brent Geiberger,95,15.72,50,318
101,102,102,John Riegger,88,15.79,48,304
102,103,103,Jeff Brehaut,87,15.88,47,296
103,104,104,Tommy Armour III,82,15.89,41,258
104,105,105,Bob Burns,99,15.95,52,326
105,106,106,Briny Baird,110,16.01,61,381
106,107,107,Brad Faxon,93,16.05,48,299
107,108,108,Stuart Appleby,97,16.07,58,361
108,109,109,Olin Browne,107,16.09,60,373
109,T110,T110,Robert Gamez,69,16.17,43,266
110,T110,T110,Bernhard Langer,55,16.17,27,167
111,112,112,Russ Cochran,68,16.19,34,210
112,113,113,Rocco Mediate,79,16.2,46,284
113,114,114,Rich Beem,99,16.3,59,362
114,115,115,Michael Long,71,16.31,38,233
115,116,116,Robert Damron,85,16.32,47,288
116,T117,T117,Neal Lancaster,101,16.36,54,330
117,T117,T117,Frank Nobilo,94,16.36,53,324
