,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Jay Haas,83,27.46
1,2,2,Retief Goosen,56,27.34
2,T3,T3,Ernie Els,68,26.8
3,T3,T3,Robert Gamez,69,26.8
4,5,5,David Duval,78,26.54
5,6,6,Justin Leonard,97,26.39
6,7,7,Brent Geiberger,95,26.21
7,8,8,Scott McCarron,106,26.1
8,9,9,David Toms,106,25.97
9,10,10,Donnie Hammond,60,25.95
10,11,11,Mike Weir,94,25.9
11,12,12,José María Olazábal,71,25.73
12,13,13,Fred Funk,106,25.11
13,T14,T14,Steve Flesch,110,24.75
14,T14,T14,Steve Stricker,68,24.75
15,16,16,Fred Couples,64,24.69
16,17,17,Ian Leggatt,97,24.62
17,18,18,Bob Heintz,68,24.6
18,19,19,Briny Baird,110,24.46
19,20,20,Greg Chalmers,94,24.44
20,21,21,Tim Clark,76,24.37
21,22,22,Cameron Beckman,87,24.17
22,23,23,Shigeki Maruyama,87,24.03
23,24,24,Sergio Garcia,79,24.0
24,25,25,Dan Forsman,83,23.94
25,26,26,Mark Calcavecchia,84,23.89
26,27,27,Brian Bateman,94,23.88
27,T28,T28,Steve Allan,93,23.85
28,T28,T28,Jeff Maggert,83,23.85
29,30,30,Bryce Molder,65,23.63
30,31,31,K.J. Choi,93,23.62
31,32,32,Boo Weekley,57,23.44
32,33,33,Peter Lonard,93,23.29
33,34,34,Glen Hnatiuk,95,23.23
34,35,35,Jonathan Byrd,96,23.14
35,36,36,Paul Goydos,66,22.99
36,37,37,Rory Sabbatini,69,22.95
37,38,38,Dennis Paulson,89,22.92
38,39,39,Robert Damron,85,22.89
39,40,40,Tommy Tolles,64,22.86
40,41,41,Kirk Triplett,84,22.84
41,42,42,Kenneth Staton,104,22.67
42,43,43,Chris Smith,103,22.51
43,44,44,Jerry Kelly,99,22.33
44,45,45,Craig Stadler,72,22.28
45,46,46,Davis Love III,92,22.27
46,47,47,John Rollins,124,22.26
47,48,48,Rich Beem,99,22.09
48,49,49,Stewart Cink,92,22.08
49,50,50,Ben Crane,91,22.05
50,51,51,Billy Andrade,100,22.02
51,52,52,Brian Gay,117,22.0
52,53,53,Tiger Woods,69,21.93
53,54,54,David Gossett,95,21.92
54,55,55,Tom Pernice Jr.,101,21.9
55,56,56,John Huston,99,21.89
56,T57,T57,Edward Fryatt,94,21.8
57,T57,T57,John Riegger,88,21.8
58,T59,T59,Dudley Hart,88,21.74
59,T59,T59,Andrew Magee,91,21.74
60,61,61,Scott Hoch,71,21.71
61,T62,T62,Harrison Frazar,88,21.63
62,T62,T62,Vijay Singh,102,21.63
63,64,64,Jay Don Blake,107,21.6
64,65,65,Rocco Mediate,79,21.58
65,T66,T66,Olin Browne,107,21.53
66,T66,T66,J.P. Hayes,78,21.53
67,68,68,Bart Bryant,69,21.52
68,69,69,John Senden,96,21.51
69,T70,T70,Paul Claxton,83,21.49
70,T70,T70,Brandt Jobe,94,21.49
71,72,72,Tom Scherrer,98,21.35
72,73,73,Bernhard Langer,55,21.23
73,74,74,Frank Lickliter II,94,21.18
74,75,75,Phil Mickelson,97,21.05
75,76,76,Carl Paulson,84,21.03
76,77,77,Paul Stankowski,100,20.9
77,78,78,Craig Perks,91,20.79
78,79,79,Michael Long,71,20.69
79,80,80,Robert Allenby,96,20.49
80,81,81,Matt Kuchar,82,20.43
81,82,82,Loren Roberts,93,20.42
82,83,83,Scott Verplank,93,20.38
83,T84,T84,Brandel Chamblee,85,20.36
84,T84,T84,Chris Riley,104,20.36
85,86,86,David Morland IV,58,20.35
86,87,87,Michael Clark II,97,20.3
87,88,88,Blaine McCallister,75,20.28
88,89,89,Bob Tway,103,20.18
89,90,90,Bob Burns,99,20.17
90,91,91,Pete Jordan,78,20.16
91,92,92,Joey Sindelar,104,20.15
92,93,93,Brad Lardon,59,20.09
93,94,94,Bo Van Pelt,78,20.07
94,T95,T95,Per-Ulrik Johansson,87,20.0
95,T95,T95,Len Mattiace,106,20.0
96,T95,T95,Billy Mayfair,99,20.0
97,T95,T95,Steve Pate,64,20.0
98,T95,T95,Corey Pavin,78,20.0
99,T95,T95,Jay Williamson,91,20.0
100,101,101,Kent Jones,105,19.93
101,T102,T102,J.L. Lewis,98,19.92
102,T102,T102,Rod Pampling,98,19.92
103,104,104,Brian Henninger,66,19.9
104,105,105,Phil Tataurangi,88,19.82
105,106,106,Shaun Micheel,100,19.74
106,107,107,Deane Pappas,90,19.73
107,T108,T108,Mark Brooks,97,19.7
108,T108,T108,Russ Cochran,68,19.7
109,110,110,Mathew Goggin,64,19.67
110,111,111,Brett Wetterich,89,19.62
111,112,112,Pat Perez,89,19.47
112,T113,T113,Jonathan Kaye,83,19.43
113,T113,T113,Grant Waite,98,19.43
114,115,115,Brett Quigley,93,19.37
115,116,116,John Daly,62,19.35
116,117,117,Kenny Perry,98,19.33
117,118,118,Tom Byrum,77,19.29
118,119,119,Steve Elkington,82,19.25
119,120,120,Tom Lehman,78,19.21
120,121,121,Charles Howell III,118,19.2
121,122,122,Jim Carter,98,19.17
122,123,123,Jerry Smith,91,19.12
123,124,124,Geoff Ogilvy,90,19.03
124,T125,T125,Brad Elder,76,18.97
125,T125,T125,Jeff Gove,89,18.97
126,T125,T125,Miguel Angel Jiménez,60,18.97
127,T128,T128,Pat Bates,94,18.94
128,T128,T128,Lee Porter,91,18.94
129,130,130,Tripp Isenhour,68,18.91
130,131,131,Stephen Ames,89,18.86
131,T132,T132,Glen Day,107,18.82
132,T132,T132,Frank Nobilo,94,18.82
133,T134,T134,Matt Gogel,79,18.75
134,T134,T134,Kaname Yokoo,74,18.75
135,136,136,Steve Lowery,98,18.66
136,137,137,Stuart Appleby,97,18.65
137,138,138,Skip Kendall,103,18.62
138,139,139,Chris DiMarco,111,18.47
139,140,140,Duffy Waldorf,90,18.45
140,T141,T141,John Cook,85,18.43
141,T141,T141,Stephen Gangluff,75,18.43
142,T143,T143,Paul Gow,99,18.4
143,T143,T143,Peter Jacobsen,67,18.4
144,145,145,David Peoples,105,18.37
145,146,146,Tim Petrovic,92,18.35
146,147,147,Chad Campbell,111,18.25
147,148,148,Bob May,91,18.22
148,T149,T149,Tim Herron,102,18.18
149,T149,T149,Craig Parry,69,18.18
150,151,151,Heath Slocum,96,18.01
151,152,152,Woody Austin,102,18.0
152,153,153,Robin Freeman,79,17.99
153,154,154,Joe Ogilvie,50,17.75
154,155,155,Matt Peterson,80,17.73
155,156,156,Luke Donald,106,17.69
