,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Peter Lonard,93,68.18,1159,17
1,2,2,Lee Janzen,101,68.25,546,8
2,T3,T3,Sergio Garcia,79,68.33,205,3
3,T3,T3,Tiger Woods,69,68.33,205,3
4,5,5,Retief Goosen,56,68.4,342,5
5,6,6,Jim Furyk,88,68.5,548,8
6,7,7,Phil Mickelson,97,68.6,1029,15
7,8,8,Justin Leonard,97,68.77,894,13
8,T9,T9,Ernie Els,68,69.0,69,1
9,T9,T9,Davis Love III,92,69.0,690,10
10,T9,T9,Steve Lowery,98,69.0,690,10
11,12,12,David Duval,78,69.15,899,13
12,13,13,Donnie Hammond,60,69.18,761,11
13,14,14,Kenny Perry,98,69.23,900,13
14,15,15,Stuart Appleby,97,69.27,762,11
15,16,16,Chris Riley,104,69.31,901,13
16,17,17,Briny Baird,110,69.32,1525,22
17,T18,T18,José Coceres,51,69.33,208,3
18,T18,T18,David Toms,106,69.33,832,12
19,20,20,Brad Faxon,93,69.38,902,13
20,21,21,David Peoples,105,69.39,1249,18
21,22,22,John Huston,99,69.45,764,11
22,23,23,Ian Leggatt,97,69.5,1112,16
23,24,24,Scott Verplank,93,69.55,765,11
24,25,25,Stephen Ames,89,69.62,905,13
25,T26,T26,Pat Bates,94,69.67,1254,18
26,T26,T26,Joe Durant,87,69.67,627,9
27,T26,T26,Bob Estes,93,69.67,627,9
28,T26,T26,Scott Hoch,71,69.67,418,6
29,30,30,Brian Gay,117,69.68,1324,19
30,31,31,John Riegger,88,69.69,906,13
31,32,32,Pat Perez,89,69.71,1185,17
32,33,33,Bob Tway,103,69.73,1046,15
33,34,34,Phil Tataurangi,88,69.75,837,12
34,35,35,David Gossett,95,69.76,1186,17
35,36,36,Cameron Beckman,87,69.77,907,13
36,37,37,Chris DiMarco,111,69.81,1117,16
37,38,38,Carlos Franco,107,69.83,838,12
38,39,39,Mike Weir,94,69.85,908,13
39,T40,T40,Billy Andrade,100,69.86,978,14
40,T40,T40,Loren Roberts,93,69.86,978,14
41,42,42,Duffy Waldorf,90,69.87,1048,15
42,43,43,Dan Forsman,83,69.88,1677,24
43,44,44,Glen Hnatiuk,95,69.89,1328,19
44,45,45,Fred Couples,64,69.9,699,10
45,46,46,Joel Edwards,101,69.91,769,11
46,47,47,Bob Burns,99,69.92,1678,24
47,48,48,Fred Funk,106,69.93,1049,15
48,T49,T49,Steve Flesch,110,70.0,1190,17
49,T49,T49,Rocco Mediate,79,70.0,560,8
50,T49,T49,Steve Stricker,68,70.0,1050,15
51,T52,T52,Brandt Jobe,94,70.06,1121,16
52,T52,T52,John Senden,96,70.06,1121,16
53,54,54,José María Olazábal,71,70.09,771,11
54,55,55,Matt Kuchar,82,70.12,1192,17
55,T56,T56,Tom Lehman,78,70.14,491,7
56,T56,T56,Joey Sindelar,104,70.14,982,14
57,58,58,Glen Day,107,70.15,1403,20
58,T59,T59,Chad Campbell,111,70.18,1193,17
59,T59,T59,Hidemichi Tanaka,104,70.18,1193,17
60,T61,T61,Shaun Micheel,100,70.2,1053,15
61,T61,T61,Vijay Singh,102,70.2,351,5
62,63,63,Bart Bryant,69,70.25,843,12
