,Late_Par_5_Scoring_Average_RANK THIS WEEK,Late_Par_5_Scoring_Average_RANK LAST WEEK,Late_Par_5_Scoring_Average_PLAYER NAME,Late_Par_5_Scoring_Average_ROUNDS,Late_Par_5_Scoring_Average_AVG,Late_Par_5_Scoring_Average_TOTAL STROKES,Late_Par_5_Scoring_Average_TOTAL HOLES
141,T139,T139,Olin Browne,107,4.71,759,161
142,T139,T139,Tim Clark,76,4.71,546,116
143,T139,T139,Russ Cochran,68,4.71,527,112
144,T139,T139,Glen Day,107,4.71,824,175
145,T139,T139,Skip Kendall,103,4.71,800,170
146,T139,T139,Steve Pate,64,4.71,471,100
147,T139,T139,Tom Pernice Jr.,101,4.71,749,159
148,T139,T139,Joey Sindelar,104,4.71,838,178
149,T139,T139,Esteban Toledo,106,4.71,814,173
150,T151,T151,Jess Daley,76,4.72,580,123
151,T151,T151,Stephen Gangluff,75,4.72,562,119
152,T151,T151,Jay Haas,83,4.72,675,143
153,T151,T151,Andrew Magee,91,4.72,694,147
154,T151,T151,Kirk Triplett,84,4.72,618,131
155,T151,T151,Kaname Yokoo,74,4.72,566,120
156,T157,T157,David Morland IV,58,4.73,478,101
157,T157,T157,Michael Muehr,73,4.73,530,112
158,T157,T157,Heath Slocum,96,4.73,786,166
159,T157,T157,Brian Watts,58,4.73,402,85
160,T161,T161,Mark Brooks,97,4.74,640,135
161,T161,T161,Tom Byrum,77,4.74,578,122
162,T161,T161,Steve Elkington,82,4.74,644,136
163,T161,T161,Edward Fryatt,94,4.74,687,145
164,T161,T161,Matt Gogel,79,4.74,583,123
165,T161,T161,Paul Gow,99,4.74,763,161
166,T161,T161,Mike Sposa,111,4.74,792,167
167,T168,T168,Woody Austin,102,4.75,736,155
168,T168,T168,Craig Barlow,62,4.75,494,104
169,T168,T168,José Coceres,51,4.75,290,61
170,T168,T168,Luke Donald,106,4.75,907,191
171,T168,T168,Glen Hnatiuk,95,4.75,731,154
172,T168,T168,Michael Long,71,4.75,646,136
173,T168,T168,Corey Pavin,78,4.75,499,105
174,T168,T168,Tommy Tolles,64,4.75,523,110
175,T176,T176,Mathew Goggin,64,4.76,471,99
176,T176,T176,Miguel Angel Jiménez,60,4.76,443,93
177,T176,T176,Tom Scherrer,98,4.76,624,131
178,T179,T179,Fulton Allem,64,4.77,506,106
179,T179,T179,Joe Durant,87,4.77,582,122
180,T179,T179,Eduardo Herrera,59,4.77,501,105
181,T179,T179,Steve Jones,71,4.77,515,108
182,T179,T179,Brenden Pappas,62,4.77,472,99
183,T179,T179,Boo Weekley,57,4.77,529,111
184,T185,T185,Michael Clark II,97,4.78,684,143
185,T185,T185,Robert Gamez,69,4.78,598,125
186,T185,T185,Frank Lickliter II,94,4.78,583,122
187,T185,T185,Jeff Maggert,83,4.78,621,130
188,T189,T189,David Frost,90,4.79,733,153
189,T189,T189,Bob Heintz,68,4.79,628,131
190,191,191,Tommy Armour III,82,4.8,638,133
191,192,192,Spike McRoy,69,4.81,524,109
192,193,193,Dicky Pride,51,4.82,318,66
193,194,194,Craig Perks,91,4.83,628,130
194,T195,T195,Franklin Langham,72,4.85,543,112
195,T195,T195,Brad Lardon,59,4.85,417,86
196,T195,T195,Matt Peterson,80,4.85,616,127
197,T195,T195,Lee Porter,91,4.85,679,140
198,199,199,Pete Jordan,78,4.88,624,128
199,T200,T200,Gary Nicklaus,66,4.89,558,114
200,T200,T200,Hal Sutton,74,4.89,460,94
201,202,202,Richard Zokol,53,4.9,382,78
