,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,67.83,407,6
1,2,2,John Huston,68.18,750,11
2,T3,T3,Chris DiMarco,68.58,823,12
3,T3,T3,Vijay Singh,68.58,823,12
4,T3,T3,Scott Verplank,68.58,823,12
5,6,6,Mike Weir,68.62,892,13
6,7,7,Scott Hoch,68.8,688,10
7,T8,T8,Corey Pavin,68.82,757,11
8,T8,T8,David Toms,68.82,757,11
9,10,10,Kirk Triplett,69.0,621,9
10,11,11,Bob Estes,69.09,760,11
11,12,12,Charles Howell III,69.13,1037,15
12,13,13,Ben Crane,69.25,831,12
13,14,14,Dudley Hart,69.33,624,9
14,T15,T15,Per-Ulrik Johansson,69.38,902,13
15,T15,T15,Kenny Perry,69.38,902,13
16,17,17,Luke Donald,69.43,972,14
17,18,18,Steve Lowery,69.46,903,13
18,19,19,Justin Leonard,69.55,765,11
19,20,20,Billy Andrade,69.57,974,14
20,T21,T21,Jerry Kelly,69.58,835,12
21,T21,T21,Len Mattiace,69.58,835,12
22,23,23,Phil Mickelson,69.63,557,8
23,24,24,Bob Burns,69.69,1115,16
24,25,25,Rich Beem,69.71,1185,17
25,26,26,David Peoples,69.73,767,11
26,T27,T27,K.J. Choi,69.8,698,10
27,T27,T27,Retief Goosen,69.8,349,5
28,T29,T29,Steve Allan,69.86,978,14
29,T29,T29,Frank Lickliter II,69.86,978,14
30,31,31,David Morland IV,69.9,699,10
31,32,32,Stuart Appleby,69.92,839,12
32,T33,T33,David Duval,70.0,560,8
33,T33,T33,Jay Haas,70.0,910,13
34,T33,T33,Shigeki Maruyama,70.0,840,12
35,T33,T33,Tim Petrovic,70.0,910,13
36,T33,T33,Loren Roberts,70.0,840,12
37,T33,T33,Phil Tataurangi,70.0,840,12
38,T39,T39,Donnie Hammond,70.1,701,10
39,T39,T39,Matt Peterson,70.1,701,10
40,41,41,J.J. Henry,70.11,1332,19
41,42,42,Nick Price,70.13,561,8
42,43,43,John Rollins,70.16,1333,19
43,44,44,Russ Cochran,70.17,842,12
44,T45,T45,Tim Clark,70.18,772,11
45,T45,T45,J.P. Hayes,70.18,772,11
46,T45,T45,Davis Love III,70.18,772,11
47,T45,T45,Shaun Micheel,70.18,1193,17
48,49,49,Kent Jones,70.19,1123,16
49,T50,T50,Stewart Cink,70.2,702,10
50,T50,T50,David Frost,70.2,1053,15
51,T50,T50,Esteban Toledo,70.2,1053,15
52,53,53,Jonathan Byrd,70.21,1334,19
53,54,54,Fred Funk,70.27,773,11
54,55,55,Robert Allenby,70.31,914,13
55,T56,T56,Ernie Els,70.33,422,6
56,T56,T56,Glen Hnatiuk,70.33,1055,15
57,T56,T56,Rocco Mediate,70.33,633,9
58,59,59,Tim Herron,70.35,1196,17
59,60,60,Olin Browne,70.39,1267,18
60,61,61,Robert Gamez,70.4,704,10
61,T62,T62,Cameron Beckman,70.42,845,12
62,T62,T62,Jesper Parnevik,70.42,845,12
63,64,64,Miguel Angel Jiménez,70.43,493,7
64,65,65,Bart Bryant,70.44,634,9
65,66,66,Lee Janzen,70.45,775,11
66,T67,T67,Jim Carter,70.46,916,13
67,T67,T67,Rod Pampling,70.46,916,13
68,T69,T69,"David Berganio, Jr.",70.5,846,12
69,T69,T69,John Daly,70.5,423,6
70,T69,T69,Peter Jacobsen,70.5,705,10
71,T69,T69,Steve Jones,70.5,564,8
72,T73,T73,Brian Bateman,70.53,1340,19
73,T73,T73,David Gossett,70.53,1058,15
74,75,75,John Riegger,70.55,776,11
75,T76,T76,Glen Day,70.56,1129,16
76,T76,T76,Pat Perez,70.56,1129,16
77,78,78,Andrew Magee,70.57,988,14
78,T79,T79,Bryce Molder,70.6,706,10
79,T79,T79,Jeff Sluman,70.6,1059,15
80,T81,T81,Peter Lonard,70.64,777,11
81,T81,T81,Kevin Sutherland,70.64,777,11
82,83,83,Spike McRoy,70.71,990,14
83,84,84,Lee Porter,70.72,1273,18
84,T85,T85,Stephen Ames,70.75,849,12
85,T85,T85,Carlos Franco,70.75,1132,16
86,87,87,Chad Campbell,70.76,1203,17
87,88,88,Robin Freeman,70.77,920,13
88,89,89,José Coceres,70.78,637,9
89,T90,T90,Dan Forsman,70.8,708,10
90,T90,T90,Tommy Tolles,70.8,708,10
91,T92,T92,Mark Brooks,70.82,1204,17
92,T92,T92,Mark Calcavecchia,70.82,779,11
93,T94,T94,John Cook,70.83,850,12
94,T94,T94,Joel Edwards,70.83,1275,18
95,T96,T96,Craig Barlow,70.85,921,13
96,T96,T96,Pat Bates,70.85,921,13
97,T98,T98,Brent Geiberger,70.86,992,14
98,T98,T98,Skip Kendall,70.86,992,14
99,100,100,Grant Waite,70.87,1063,15
100,T101,T101,Jim Furyk,70.89,638,9
101,T101,T101,Scott McCarron,70.89,638,9
102,103,103,Brad Elder,70.9,709,10
103,104,104,Ian Leggatt,70.92,922,13
104,105,105,Brian Gay,70.94,1135,16
