,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Tiger Woods,69,68.55,2125,31
1,2,2,David Toms,106,68.72,3161,46
2,3,3,Nick Price,69,69.25,1385,20
3,4,4,Chris DiMarco,111,69.3,2772,40
4,5,5,Davis Love III,92,69.36,1942,28
5,T6,T6,Phil Mickelson,97,69.49,2571,37
6,T6,T6,Vijay Singh,102,69.49,3405,49
7,8,8,Fred Funk,106,69.5,2641,38
8,9,9,Chris Smith,103,69.53,2364,34
9,10,10,José María Olazábal,71,69.55,765,11
10,11,11,Jeff Sluman,118,69.6,3271,47
11,12,12,Jonathan Kaye,83,69.62,2019,29
12,13,13,Scott Verplank,93,69.63,2437,35
13,14,14,Justin Leonard,97,69.67,2299,33
14,T15,T15,Dan Forsman,83,69.68,1533,22
15,T15,T15,Scott Hoch,71,69.68,1742,25
16,17,17,Charles Howell III,118,69.69,2718,39
17,T18,T18,Jerry Kelly,99,69.73,2789,40
18,T18,T18,Kenny Perry,98,69.73,2301,33
19,T20,T20,John Huston,99,69.74,2371,34
20,T20,T20,Scott McCarron,106,69.74,2441,35
21,T20,T20,Loren Roberts,93,69.74,2371,34
22,23,23,Tim Petrovic,92,69.75,1395,20
23,24,24,Chris Riley,104,69.76,2372,34
24,25,25,Tom Lehman,78,69.81,1117,16
25,26,26,Jim Furyk,88,69.84,2584,37
26,27,27,Kirk Triplett,84,69.85,1886,27
27,T28,T28,Brad Faxon,93,69.9,1398,20
28,T28,T28,Len Mattiace,106,69.9,2027,29
29,T28,T28,Billy Mayfair,99,69.9,1398,20
30,31,31,Tim Herron,102,69.94,2378,34
31,32,32,Bob Estes,93,69.96,1749,25
32,33,33,J.P. Hayes,78,70.0,1400,20
33,34,34,John Cook,85,70.04,1821,26
34,35,35,Joel Edwards,101,70.05,2592,37
35,36,36,Esteban Toledo,106,70.06,2312,33
36,T37,T37,Matt Kuchar,82,70.1,1402,20
37,T37,T37,Bernhard Langer,55,70.1,701,10
38,39,39,Brent Geiberger,95,70.11,1262,18
39,T40,T40,Robert Allenby,96,70.12,2384,34
40,T40,T40,Craig Parry,69,70.12,1753,25
41,42,42,Retief Goosen,56,70.14,1473,21
42,43,43,J.L. Lewis,98,70.15,1824,26
43,44,44,Rocco Mediate,79,70.16,1754,25
44,T45,T45,Sergio Garcia,79,70.17,2105,30
45,T45,T45,Shigeki Maruyama,87,70.17,2035,29
46,T47,T47,K.J. Choi,93,70.18,1965,28
47,T47,T47,Shaun Micheel,100,70.18,2737,39
48,T49,T49,Billy Andrade,100,70.19,2246,32
49,T49,T49,Stewart Cink,92,70.19,1474,21
50,T51,T51,Steve Pate,64,70.21,983,14
51,T51,T51,Duffy Waldorf,90,70.21,1685,24
52,53,53,Dudley Hart,88,70.26,1897,27
53,54,54,Ernie Els,68,70.28,1757,25
54,55,55,Tripp Isenhour,68,70.3,1406,20
55,56,56,Mathew Goggin,64,70.31,1125,16
56,T57,T57,Robert Damron,85,70.32,1547,22
57,T57,T57,Per-Ulrik Johansson,87,70.32,1758,25
58,T59,T59,Brad Elder,76,70.33,1055,15
59,T59,T59,Peter Lonard,93,70.33,1266,18
60,61,61,Jonathan Byrd,96,70.34,2251,32
61,62,62,Paul Goydos,66,70.35,1196,17
62,63,63,Tom Pernice Jr.,101,70.37,2111,30
63,64,64,John Rollins,124,70.38,2604,37
64,65,65,Brian Gay,117,70.39,2182,31
65,66,66,Robert Gamez,69,70.41,1549,22
66,67,67,Bob May,91,70.46,1691,24
67,68,68,Brett Quigley,93,70.52,1763,25
68,T69,T69,Peter Jacobsen,67,70.55,1411,20
69,T69,T69,Rory Sabbatini,69,70.55,1552,22
70,71,71,Brian Henninger,66,70.56,1129,16
71,72,72,Bob Tway,103,70.57,2611,37
72,73,73,Craig Stadler,72,70.58,1341,19
73,74,74,Heath Slocum,96,70.59,1906,27
74,75,75,Skip Kendall,103,70.6,2118,30
75,76,76,Tom Byrum,77,70.62,1483,21
76,T77,T77,Michael Clark II,97,70.63,1695,24
77,T77,T77,Phil Tataurangi,88,70.63,1907,27
78,T79,T79,Stuart Appleby,97,70.65,2190,31
79,T79,T79,Deane Pappas,90,70.65,1837,26
80,81,81,Tim Clark,76,70.67,1696,24
81,T82,T82,Chad Campbell,111,70.68,2686,38
82,T82,T82,Ben Crane,91,70.68,1767,25
83,84,84,David Peoples,105,70.69,2474,35
84,85,85,John Senden,96,70.73,1839,26
85,86,86,Glen Day,107,70.74,1910,27
86,87,87,Ian Leggatt,97,70.75,2264,32
87,88,88,Lee Janzen,101,70.76,2689,38
88,89,89,Miguel Angel Jiménez,60,70.77,920,13
89,90,90,Geoff Ogilvy,90,70.78,1628,23
90,T91,T91,Pat Bates,94,70.79,1699,24
91,T91,T91,Joey Sindelar,104,70.79,2407,34
92,T93,T93,Jay Don Blake,107,70.81,2195,31
93,T93,T93,Jim Carter,98,70.81,1841,26
94,T93,T93,David Frost,90,70.81,1912,27
95,96,96,David Gossett,95,70.83,2125,30
96,97,97,Kaname Yokoo,74,70.84,1346,19
97,T98,T98,Brandel Chamblee,85,70.86,1488,21
98,T98,T98,Greg Kraft,86,70.86,1488,21
99,T98,T98,Scott Simpson,61,70.86,992,14
100,T101,T101,Donnie Hammond,60,70.88,1205,17
101,T101,T101,Brandt Jobe,94,70.88,2339,33
102,T101,T101,Frank Lickliter II,94,70.88,1843,26
103,104,104,J.J. Henry,112,70.9,2198,31
104,105,105,Steve Lowery,98,70.91,2411,34
105,T106,T106,Woody Austin,102,70.93,1915,27
106,T106,T106,Carl Paulson,84,70.93,2128,30
107,108,108,Glen Hnatiuk,95,70.96,1774,25
108,109,109,Steve Flesch,110,70.98,2839,40
109,T110,T110,Olin Browne,107,71.0,1633,23
110,T110,T110,Mike Hulbert,55,71.0,994,14
111,T110,T110,Kent Jones,105,71.0,2130,30
112,T110,T110,John Riegger,88,71.0,1775,25
113,T110,T110,Jay Williamson,91,71.0,1917,27
114,115,115,Rich Beem,99,71.03,2273,32
115,116,116,Steve Allan,93,71.04,1989,28
116,T117,T117,David Duval,78,71.05,1563,22
117,T117,T117,Matt Gogel,79,71.05,1421,20
118,119,119,John Daly,62,71.07,995,14
119,T120,T120,Stephen Ames,89,71.08,1777,25
120,T120,T120,Jeff Brehaut,87,71.08,1777,25
121,T120,T120,Neal Lancaster,101,71.08,1848,26
122,T123,T123,Brian Bateman,94,71.09,1564,22
123,T123,T123,Cameron Beckman,87,71.09,2417,34
124,T123,T123,Frank Nobilo,94,71.09,1635,23
125,126,126,Joe Durant,87,71.12,1849,26
126,127,127,Stephen Gangluff,75,71.13,1636,23
127,128,128,Corey Pavin,78,71.14,1565,22
128,129,129,Kevin Sutherland,96,71.15,1423,20
129,130,130,Jesper Parnevik,85,71.18,1210,17
130,T131,T131,Carlos Franco,107,71.2,2492,35
131,T131,T131,Tommy Tolles,64,71.2,1424,20
132,T133,T133,Fred Couples,64,71.21,997,14
133,T133,T133,Harrison Frazar,88,71.21,2350,33
134,135,135,Paul Azinger,69,71.22,1282,18
135,T136,T136,Luke Donald,106,71.24,2707,38
136,T136,T136,Grant Waite,98,71.24,1496,21
137,T138,T138,José Coceres,51,71.25,1140,16
138,T138,T138,Dennis Paulson,89,71.25,1995,28
139,140,140,Paul Stankowski,100,71.26,1924,27
140,141,141,Rod Pampling,98,71.27,2352,33
141,T142,T142,Jay Haas,83,71.28,1782,25
142,T142,T142,Pat Perez,89,71.28,2067,29
143,144,144,Hal Sutton,74,71.29,1212,17
144,145,145,Greg Chalmers,94,71.3,1640,23
145,146,146,Hidemichi Tanaka,104,71.32,2639,37
146,147,147,Notah Begay III,76,71.35,1427,20
147,T148,T148,Mark Calcavecchia,84,71.36,1570,22
148,T148,T148,Mike Sposa,111,71.36,1570,22
149,150,150,Mark O'Meara,68,71.37,1356,19
150,151,151,Mike Weir,94,71.42,1714,24
151,T152,T152,"David Berganio, Jr.",80,71.44,1286,18
152,T152,T152,Bob Burns,99,71.44,1786,25
153,154,154,Steve Stricker,68,71.45,786,11
154,155,155,Andrew Magee,91,71.46,1858,26
155,156,156,Bryce Molder,65,71.48,1644,23
156,157,157,Bart Bryant,69,71.5,1287,18
157,158,158,Blaine McCallister,75,71.53,1073,15
158,159,159,Steve Elkington,82,71.57,1503,21
159,160,160,Craig Barlow,62,71.59,1575,22
160,161,161,Jeff Gove,89,71.6,1074,15
161,162,162,Spike McRoy,69,71.65,1218,17
162,163,163,Jason Hill,59,71.69,1147,16
163,164,164,Mark Brooks,97,71.7,1936,27
164,165,165,Matt Peterson,80,71.73,1076,15
165,166,166,Kenneth Staton,104,71.74,1650,23
166,T167,T167,Jerry Smith,91,71.75,1148,16
167,T167,T167,Brian Watts,58,71.75,861,12
168,T169,T169,Paul Claxton,83,71.78,1651,23
169,T169,T169,Dicky Pride,51,71.78,646,9
170,T171,T171,Brad Lardon,59,71.83,862,12
171,T171,T171,Michael Long,71,71.83,1293,18
172,T171,T171,Craig Perks,91,71.83,1652,23
173,174,174,Paul Gow,99,71.88,2444,34
174,175,175,Fulton Allem,64,71.89,1366,19
175,176,176,Richard Zokol,53,71.92,863,12
176,177,177,Russ Cochran,68,71.95,1367,19
177,178,178,Jeff Maggert,83,72.0,1656,23
178,179,179,Steve Jones,71,72.06,1225,17
179,180,180,Briny Baird,110,72.07,2018,28
