,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,John Rollins,124,463
1,2,2,Charles Howell III,118,442
2,3,3,Fred Funk,106,438
3,4,4,Brian Gay,117,434
4,T5,T5,Chris DiMarco,111,429
5,T5,T5,David Toms,106,429
6,7,7,Jeff Sluman,118,428
7,8,8,Chad Campbell,111,412
8,9,9,Phil Mickelson,97,409
9,10,10,Steve Flesch,110,405
10,11,11,Chris Riley,104,401
11,12,12,Briny Baird,110,400
12,13,13,Kenny Perry,98,399
13,14,14,David Peoples,105,394
14,15,15,J.L. Lewis,98,391
15,16,16,Olin Browne,107,388
16,17,17,Joey Sindelar,104,386
17,18,18,Lee Janzen,101,384
18,T19,T19,Justin Leonard,97,383
19,T19,T19,Vijay Singh,102,383
20,21,21,Carlos Franco,107,382
21,22,22,Glen Day,107,381
22,T23,T23,Joel Edwards,101,380
23,T23,T23,John Huston,99,380
24,T25,T25,Stuart Appleby,97,379
25,T25,T25,Rod Pampling,98,379
26,27,27,Len Mattiace,106,378
27,T28,T28,Jay Don Blake,107,377
28,T28,T28,Chris Smith,103,377
29,T30,T30,Luke Donald,106,376
30,T30,T30,Scott McCarron,106,376
31,T32,T32,Jonathan Byrd,96,375
32,T32,T32,Hidemichi Tanaka,104,375
33,34,34,Billy Andrade,100,374
34,35,35,Skip Kendall,103,373
35,T36,T36,Kent Jones,105,371
36,T36,T36,Paul Stankowski,100,371
37,38,38,Rich Beem,99,366
38,39,39,Scott Verplank,93,364
39,40,40,Robert Allenby,96,363
40,41,41,Jerry Kelly,99,361
41,42,42,Tim Herron,102,359
42,43,43,Mike Weir,94,358
43,T44,T44,Ian Leggatt,97,355
44,T44,T44,Mike Sposa,111,355
45,46,46,Esteban Toledo,106,353
46,T47,T47,Ben Crane,91,352
47,T47,T47,Shaun Micheel,100,352
48,49,49,Tom Pernice Jr.,101,351
49,T50,T50,Steve Allan,93,350
50,T50,T50,K.J. Choi,93,350
51,T52,T52,Pat Bates,94,348
52,T52,T52,Bob Burns,99,348
53,T52,T52,David Gossett,95,348
54,T52,T52,Kenneth Staton,104,348
55,T56,T56,Neal Lancaster,101,347
56,T56,T56,Steve Lowery,98,347
57,T56,T56,Duffy Waldorf,90,347
58,59,59,Peter Lonard,93,346
59,60,60,Geoff Ogilvy,90,345
60,61,61,John Senden,96,344
61,62,62,Bob Tway,103,343
62,T63,T63,Greg Chalmers,94,340
63,T63,T63,Brandt Jobe,94,340
64,T63,T63,Pat Perez,89,340
65,66,66,Davis Love III,92,339
66,67,67,Loren Roberts,93,336
67,68,68,Brent Geiberger,95,335
68,T69,T69,J.J. Henry,112,333
69,T69,T69,Glen Hnatiuk,95,333
70,71,71,Frank Lickliter II,94,332
71,T72,T72,Woody Austin,102,330
72,T72,T72,Stewart Cink,92,330
73,T72,T72,Frank Nobilo,94,330
74,75,75,Grant Waite,98,327
75,76,76,Brett Quigley,93,326
76,T77,T77,Jim Carter,98,325
77,T77,T77,Michael Clark II,97,325
78,T79,T79,Cameron Beckman,87,324
79,T79,T79,Harrison Frazar,88,324
80,81,81,Phil Tataurangi,88,321
81,82,82,Shigeki Maruyama,87,320
82,83,83,Brett Wetterich,89,319
83,84,84,Bob Estes,93,318
84,T85,T85,Stephen Ames,89,317
85,T85,T85,Mark Calcavecchia,84,317
86,T85,T85,Dudley Hart,88,317
87,T85,T85,Andrew Magee,91,317
88,T85,T85,John Riegger,88,317
89,T85,T85,Tom Scherrer,98,317
90,91,91,Brian Bateman,94,315
91,92,92,Dennis Paulson,89,313
92,T93,T93,Brad Faxon,93,311
93,T93,T93,Paul Gow,99,311
94,T93,T93,Tim Petrovic,92,311
95,T96,T96,John Cook,85,310
96,T96,T96,David Duval,78,310
97,T96,T96,Dan Forsman,83,310
98,T96,T96,Heath Slocum,96,310
99,100,100,Jay Williamson,91,309
100,T101,T101,Edward Fryatt,94,308
101,T101,T101,Per-Ulrik Johansson,87,308
102,T101,T101,Kirk Triplett,84,308
103,T104,T104,Bob May,91,306
104,T104,T104,Craig Perks,91,306
105,T106,T106,Mark Brooks,97,305
106,T106,T106,Billy Mayfair,99,305
107,108,108,Tiger Woods,69,304
108,109,109,Jeff Brehaut,87,303
109,110,110,David Frost,90,301
110,111,111,Jim Furyk,88,300
111,112,112,Robert Damron,85,298
112,T113,T113,Jeff Gove,89,296
113,T113,T113,Kevin Sutherland,96,296
114,115,115,Brandel Chamblee,85,292
115,116,116,J.P. Hayes,78,291
116,117,117,Deane Pappas,90,290
117,T118,T118,Matt Kuchar,82,288
118,T118,T118,Carl Paulson,84,288
119,T120,T120,Jeff Maggert,83,287
120,T120,T120,Rocco Mediate,79,287
121,T122,T122,Joe Durant,87,284
122,T122,T122,Greg Kraft,86,284
123,T122,T122,Jesper Parnevik,85,284
124,125,125,Jay Haas,83,283
125,126,126,Tim Clark,76,281
126,T127,T127,Jonathan Kaye,83,280
127,T127,T127,Lee Porter,91,280
128,129,129,Stephen Gangluff,75,278
129,130,130,Bo Van Pelt,78,276
130,131,131,Paul Claxton,83,275
131,132,132,Robert Gamez,69,273
132,133,133,Notah Begay III,76,271
133,134,134,Garrett Willis,80,270
134,T135,T135,Tommy Armour III,82,269
135,T135,T135,Jerry Smith,91,269
136,T137,T137,"David Berganio, Jr.",80,268
137,T137,T137,Robin Freeman,79,268
138,T137,T137,Bob Heintz,68,268
139,140,140,Sergio Garcia,79,263
140,T141,T141,Matt Gogel,79,260
141,T141,T141,Scott Hoch,71,260
142,143,143,Tripp Isenhour,68,259
143,144,144,Steve Elkington,82,256
144,145,145,Tom Byrum,77,254
145,146,146,Corey Pavin,78,253
146,147,147,Matt Peterson,80,252
147,T148,T148,Craig Parry,69,249
148,T148,T148,Craig Stadler,72,249
149,T150,T150,Bart Bryant,69,246
150,T150,T150,Bryce Molder,65,246
151,T152,T152,Nick Price,69,245
152,T152,T152,Steve Stricker,68,245
153,154,154,Tommy Tolles,64,244
154,155,155,Fred Couples,64,243
155,T156,T156,Brad Elder,76,242
156,T156,T156,Blaine McCallister,75,242
157,T156,T156,Kaname Yokoo,74,242
158,T159,T159,Jess Daley,76,239
159,T159,T159,Michael Long,71,239
160,T161,T161,Ernie Els,68,238
161,T161,T161,Brian Henninger,66,238
162,163,163,Pete Jordan,78,236
163,164,164,Rory Sabbatini,69,235
164,165,165,Mathew Goggin,64,231
165,T166,T166,Michael Allen,76,229
166,T166,T166,Donnie Hammond,60,229
167,168,168,Paul Goydos,66,227
168,T169,T169,John Daly,62,226
169,T169,T169,Peter Jacobsen,67,226
170,171,171,Michael Muehr,73,224
171,172,172,Tom Lehman,78,223
172,T173,T173,Paul Azinger,69,222
173,T173,T173,Russ Cochran,68,222
174,T173,T173,Retief Goosen,56,222
175,T173,T173,José María Olazábal,71,222
176,177,177,Steve Jones,71,216
177,178,178,Hal Sutton,74,214
178,T179,T179,Scott Dunlap,74,212
179,T179,T179,Spike McRoy,69,212
180,T179,T179,Mark O'Meara,68,212
181,T179,T179,Steve Pate,64,212
182,183,183,Franklin Langham,72,211
183,184,184,David Morland IV,58,207
184,185,185,Craig Barlow,62,206
185,186,186,Boo Weekley,57,198
186,187,187,Bradley Hughes,60,194
187,188,188,Brenden Pappas,62,192
188,189,189,Gary Nicklaus,66,190
189,190,190,Miguel Angel Jiménez,60,188
