,Par_4_Performance_RANK THIS WEEK,Par_4_Performance_RANK LAST WEEK,Par_4_Performance_PLAYER NAME,Par_4_Performance_ROUNDS,Par_4_Performance_STATUS,Par_4_Performance_PAR 4 AVG,Par_4_Performance_TOTAL PAR
0,1,1,Chris Riley,104,-49,3.95,4212
1,2,2,Fred Funk,106,-46,3.96,4488
2,3,3,Glen Hnatiuk,95,-33,3.97,3848
3,4,4,Chris DiMarco,111,-32,3.97,4516
4,5,5,Tiger Woods,69,-31,3.96,2856
5,6,6,Vijay Singh,102,-26,3.97,4056
6,T7,T7,John Huston,99,-24,3.98,4028
7,T7,T7,Phil Mickelson,97,-24,3.98,3976
8,T9,T9,Joel Edwards,101,-22,3.98,4252
9,T9,T9,Jim Furyk,88,-22,3.98,3628
10,11,11,Kenny Perry,98,-15,3.99,4024
11,12,12,Justin Leonard,97,-11,3.99,3996
12,13,13,Robert Gamez,69,-10,3.99,2884
13,14,14,David Toms,106,-8,3.99,4312
14,15,15,John Rollins,124,-7,3.99,5012
15,T16,T16,Bart Bryant,69,-4,3.99,2684
16,T16,T16,Loren Roberts,93,-4,4.0,3984
17,18,18,Dan Forsman,83,E,4.0,3332
18,T19,T19,Joe Durant,87,+1,4.0,3628
19,T19,T19,Nick Price,69,+1,4.0,2848
20,T21,T21,Olin Browne,107,+2,4.0,4324
21,T21,T21,Luke Donald,106,+2,4.0,4384
22,23,23,Peter Lonard,93,+3,4.0,3960
23,T24,T24,Charles Howell III,118,+4,4.0,4732
24,T24,T24,Davis Love III,92,+4,4.0,3744
25,T24,T24,Scott Verplank,93,+4,4.0,3836
26,T27,T27,Cameron Beckman,87,+5,4.01,3620
27,T27,T27,Retief Goosen,56,+5,4.01,2272
28,T27,T27,Jerry Kelly,99,+5,4.0,4104
29,30,30,Scott McCarron,106,+7,4.01,4148
30,T31,T31,Stuart Appleby,97,+8,4.01,3932
31,T31,T31,Rod Pampling,98,+8,4.01,3876
32,T33,T33,Stephen Ames,89,+10,4.01,3660
33,T33,T33,Skip Kendall,103,+10,4.01,4132
34,T33,T33,Shaun Micheel,100,+10,4.01,4028
35,T33,T33,Duffy Waldorf,90,+10,4.01,3644
36,37,37,John Riegger,88,+11,4.01,3648
37,T38,T38,Donnie Hammond,60,+12,4.02,2504
38,T38,T38,Rocco Mediate,79,+12,4.02,3120
39,T38,T38,Kirk Triplett,84,+12,4.01,3304
40,41,41,Rich Beem,99,+13,4.01,4004
41,T42,T42,"David Berganio, Jr.",80,+15,4.02,3280
42,T42,T42,Glen Day,107,+15,4.01,4228
43,T44,T44,Billy Andrade,100,+16,4.02,4028
44,T44,T44,Tom Byrum,77,+16,4.02,3212
45,T44,T44,Fred Couples,64,+16,4.03,2508
46,T44,T44,Peter Jacobsen,67,+16,4.02,2764
47,T44,T44,Andrew Magee,91,+16,4.02,3676
48,T49,T49,Tripp Isenhour,68,+17,4.02,2832
49,T49,T49,David Morland IV,58,+17,4.03,2436
50,T49,T49,Chris Smith,103,+17,4.02,4188
51,T52,T52,Chad Campbell,111,+19,4.02,4532
52,T52,T52,Bob Estes,93,+19,4.02,3748
53,T52,T52,Sergio Garcia,79,+19,4.02,3136
54,T52,T52,Tom Lehman,78,+19,4.03,3000
55,T52,T52,Frank Lickliter II,94,+19,4.02,3812
56,T57,T57,Ben Crane,91,+20,4.02,3688
57,T57,T57,Ernie Els,68,+20,4.03,2672
58,T57,T57,Brian Gay,117,+20,4.02,4836
59,T57,T57,Tim Petrovic,92,+20,4.02,3716
60,T57,T57,Bob Tway,103,+20,4.02,4156
61,T62,T62,Jeff Brehaut,87,+21,4.02,3612
62,T62,T62,David Gossett,95,+21,4.02,3932
63,T62,T62,J.P. Hayes,78,+21,4.03,3156
64,65,65,Craig Parry,69,+22,4.03,2868
65,T66,T66,Brian Henninger,66,+23,4.03,2784
66,T66,T66,David Peoples,105,+23,4.02,4364
67,68,68,John Senden,96,+24,4.02,3884
68,T69,T69,Pat Bates,94,+25,4.03,3812
69,T69,T69,Per-Ulrik Johansson,87,+25,4.03,3644
70,T69,T69,Phil Tataurangi,88,+25,4.03,3548
71,T72,T72,Robert Allenby,96,+26,4.03,4068
72,T72,T72,Jonathan Byrd,96,+26,4.03,3940
73,T72,T72,Stewart Cink,92,+26,4.03,3668
74,T72,T72,Steve Elkington,82,+26,4.03,3352
75,T72,T72,Brad Faxon,93,+26,4.03,3608
76,T72,T72,Tim Herron,102,+26,4.02,4180
77,T78,T78,Tim Clark,76,+27,4.04,3044
78,T78,T78,David Duval,78,+27,4.03,3152
79,T78,T78,Carlos Franco,107,+27,4.03,4308
80,T78,T78,Jay Haas,83,+27,4.03,3320
81,T82,T82,K.J. Choi,93,+28,4.03,3744
82,T82,T82,J.L. Lewis,98,+28,4.03,4064
83,T82,T82,Matt Peterson,80,+28,4.03,3324
84,85,85,Mike Weir,94,+29,4.03,3828
85,T86,T86,Steve Allan,93,+30,4.03,3820
86,T86,T86,Carl Paulson,84,+30,4.03,3440
87,T86,T86,Jeff Sluman,118,+30,4.02,4876
88,89,89,Jay Don Blake,107,+31,4.03,4412
89,T90,T90,John Cook,85,+32,4.04,3436
90,T90,T90,Steve Pate,64,+32,4.05,2488
91,T90,T90,Hidemichi Tanaka,104,+32,4.03,4284
92,T93,T93,Brent Geiberger,95,+33,4.03,3872
93,T93,T93,Matt Kuchar,82,+33,4.04,3444
94,T95,T95,Mathew Goggin,64,+34,4.05,2664
95,T95,T95,Steve Lowery,98,+34,4.04,3868
96,T95,T95,Joey Sindelar,104,+34,4.03,4172
97,T95,T95,Steve Stricker,68,+34,4.05,2648
98,T99,T99,Brandt Jobe,94,+35,4.04,3920
99,T99,T99,Dicky Pride,51,+35,4.06,2160
100,T99,T99,Rory Sabbatini,69,+35,4.05,2684
101,T102,T102,Bob Burns,99,+37,4.04,4020
102,T102,T102,Scott Hoch,71,+37,4.05,3000
103,T102,T102,Esteban Toledo,106,+37,4.03,4336
104,105,105,Mike Sposa,111,+38,4.03,4564
105,T106,T106,David Frost,90,+39,4.04,3804
106,T106,T106,Jonathan Kaye,83,+39,4.05,3416
107,T106,T106,Spike McRoy,69,+39,4.06,2796
108,T106,T106,Frank Nobilo,94,+39,4.04,3892
109,T106,T106,Tommy Tolles,64,+39,4.06,2624
110,T111,T111,Notah Begay III,76,+40,4.05,3156
111,T111,T111,Jeff Maggert,83,+40,4.05,3512
112,T111,T111,Billy Mayfair,99,+40,4.04,3980
113,T114,T114,Paul Goydos,66,+41,4.06,2736
114,T114,T114,Lee Janzen,101,+41,4.04,3972
115,T114,T114,Len Mattiace,106,+41,4.04,4544
116,T117,T117,Steve Flesch,110,+42,4.04,4388
117,T117,T117,Pat Perez,89,+42,4.05,3648
118,T119,T119,Craig Barlow,62,+43,4.07,2444
119,T119,T119,Mark Calcavecchia,84,+43,4.05,3324
120,T119,T119,Kent Jones,105,+43,4.04,4284
121,T119,T119,Bernhard Langer,55,+43,4.08,2256
122,T119,T119,Grant Waite,98,+43,4.04,3964
123,T124,T124,Stephen Gangluff,75,+44,4.06,3108
124,T124,T124,Bryce Molder,65,+44,4.07,2644
125,126,126,Corey Pavin,78,+45,4.06,3248
126,127,127,Geoff Ogilvy,90,+46,4.05,3548
127,128,128,Michael Clark II,97,+47,4.05,3964
128,T129,T129,Briny Baird,110,+48,4.04,4536
129,T129,T129,Greg Chalmers,94,+48,4.05,3772
130,T129,T129,Harrison Frazar,88,+48,4.05,3668
131,T132,T132,Matt Gogel,79,+49,4.06,3188
132,T132,T132,Jeff Gove,89,+49,4.05,3700
133,T132,T132,Shigeki Maruyama,87,+49,4.05,3728
134,T132,T132,Dennis Paulson,89,+49,4.05,3564
135,T132,T132,Craig Stadler,72,+49,4.07,2804
136,T137,T137,Eduardo Herrera,59,+51,4.08,2456
137,T137,T137,Miguel Angel Jiménez,60,+51,4.08,2444
138,T137,T137,Steve Jones,71,+51,4.07,2852
139,T137,T137,Ian Leggatt,97,+51,4.05,3900
140,141,141,Kaname Yokoo,74,+52,4.07,3028
141,T142,T142,Paul Azinger,69,+53,4.08,2628
142,T142,T142,José María Olazábal,71,+53,4.08,2696
143,144,144,Mark O'Meara,68,+54,4.08,2740
144,T145,T145,José Coceres,51,+55,4.1,2180
145,T145,T145,Robert Damron,85,+55,4.07,3364
146,147,147,Jay Williamson,91,+56,4.06,3796
147,148,148,Paul Stankowski,100,+57,4.06,4108
148,149,149,Paul Claxton,83,+58,4.07,3416
149,T150,T150,Greg Kraft,86,+59,4.07,3476
150,T150,T150,Franklin Langham,72,+59,4.08,2884
151,T152,T152,Brad Elder,76,+60,4.08,3100
152,T152,T152,Heath Slocum,96,+60,4.06,3764
153,T152,T152,Kevin Sutherland,96,+60,4.06,3772
154,T155,T155,Hal Sutton,74,+61,4.08,3040
155,T155,T155,Boo Weekley,57,+61,4.1,2352
156,T157,T157,Michael Long,71,+62,4.08,2920
157,T157,T157,Lee Porter,91,+62,4.07,3680
158,T157,T157,Brian Watts,58,+62,4.11,2216
159,T160,T160,Jim Carter,98,+63,4.06,4156
160,T160,T160,Brandel Chamblee,85,+63,4.07,3484
161,T160,T160,Russ Cochran,68,+63,4.09,2772
162,T160,T160,Dudley Hart,88,+63,4.07,3572
163,T160,T160,Neal Lancaster,101,+63,4.06,4188
164,165,165,Jess Daley,76,+64,4.08,3188
165,T166,T166,J.J. Henry,112,+65,4.06,4548
166,T166,T166,Tom Scherrer,98,+65,4.07,3964
167,168,168,Bob May,91,+67,4.07,3704
168,169,169,Tom Pernice Jr.,101,+68,4.07,4124
169,T170,T170,Fulton Allem,64,+69,4.1,2680
170,T170,T170,Brian Bateman,94,+69,4.07,3804
171,T170,T170,Blaine McCallister,75,+69,4.09,3092
172,173,173,Edward Fryatt,94,+70,4.07,3852
173,174,174,Tommy Armour III,82,+71,4.08,3404
174,175,175,Joe Ogilvie,50,+72,4.14,2096
175,T176,T176,Mark Brooks,97,+73,4.08,3892
176,T176,T176,Mike Hulbert,55,+73,4.13,2208
177,178,178,Gary Nicklaus,66,+74,4.11,2728
178,179,179,Robin Freeman,79,+78,4.1,3104
179,T180,T180,Bradley Hughes,60,+79,4.13,2488
180,T180,T180,Kenneth Staton,104,+79,4.07,4244
181,T180,T180,Richard Zokol,53,+79,4.15,2128
182,183,183,Craig Perks,91,+83,4.09,3628
183,T184,T184,Jesper Parnevik,85,+84,4.09,3564
184,T184,T184,Brett Quigley,93,+84,4.09,3788
185,186,186,Woody Austin,102,+85,4.08,4124
186,T187,T187,Jason Hill,59,+86,4.14,2452
187,T187,T187,Brenden Pappas,62,+86,4.13,2564
188,189,189,Bob Heintz,68,+87,4.12,2816
189,190,190,Paul Gow,99,+88,4.09,4044
190,191,191,Brad Lardon,59,+89,4.14,2480
191,192,192,Scott Simpson,61,+90,4.14,2556
192,193,193,Deane Pappas,90,+91,4.1,3680
193,194,194,Garrett Willis,80,+94,4.11,3284
194,195,195,John Daly,62,+95,4.15,2544
195,196,196,Michael Muehr,73,+97,4.13,2956
196,197,197,Pete Jordan,78,+100,4.12,3224
197,198,198,Michael Allen,76,+101,4.13,3092
198,199,199,Bo Van Pelt,78,+106,4.13,3228
199,200,200,Brett Wetterich,89,+110,4.12,3612
200,T201,T201,Scott Dunlap,74,+113,4.15,3060
201,T201,T201,Jerry Smith,91,+113,4.13,3604
