,Par_5_Performance_RANK THIS WEEK,Par_5_Performance_RANK LAST WEEK,Par_5_Performance_PLAYER NAME,Par_5_Performance_ROUNDS,Par_5_Performance_STATUS,Par_5_Performance_PAR 5 AVG,Par_5_Performance_TOTAL PAR
0,1,1,Charles Howell III,118,-184,4.51,1890
1,2,2,David Toms,106,-182,4.48,1755
2,3,3,Jonathan Byrd,96,-170,4.48,1640
3,T4,T4,David Peoples,105,-161,4.57,1855
4,T4,T4,John Rollins,124,-161,4.62,2110
5,6,6,Steve Flesch,110,-151,4.59,1835
6,T7,T7,Robert Allenby,96,-144,4.55,1585
7,T7,T7,Bob Tway,103,-144,4.58,1720
8,9,9,Fred Funk,106,-143,4.6,1800
9,T10,T10,Carlos Franco,107,-142,4.63,1930
10,T10,T10,Justin Leonard,97,-142,4.55,1595
11,12,12,Vijay Singh,102,-138,4.58,1645
12,13,13,Tiger Woods,69,-135,4.44,1205
13,T14,T14,Phil Mickelson,97,-134,4.58,1595
14,T14,T14,John Senden,96,-134,4.59,1620
15,T14,T14,Paul Stankowski,100,-134,4.6,1695
16,T17,T17,Lee Janzen,101,-133,4.61,1725
17,T17,T17,Jerry Kelly,99,-133,4.61,1705
18,T17,T17,Bob May,91,-133,4.58,1570
19,T17,T17,Scott McCarron,106,-133,4.6,1680
20,T21,T21,Chris DiMarco,111,-132,4.63,1785
21,T21,T21,J.J. Henry,112,-132,4.64,1845
22,T21,T21,Kenny Perry,98,-132,4.59,1610
23,T24,T24,John Huston,99,-129,4.61,1655
24,T24,T24,Brandt Jobe,94,-129,4.61,1650
25,T26,T26,Briny Baird,110,-128,4.66,1870
26,T26,T26,Rich Beem,99,-128,4.6,1620
27,T26,T26,J.L. Lewis,98,-128,4.64,1755
28,T26,T26,Jeff Sluman,118,-128,4.69,2080
29,30,30,Stuart Appleby,97,-127,4.62,1655
30,31,31,Brian Gay,117,-126,4.68,1975
31,32,32,Rod Pampling,98,-125,4.63,1700
32,33,33,Joel Edwards,101,-124,4.65,1750
33,T34,T34,Tim Herron,102,-123,4.63,1670
34,T34,T34,Ian Leggatt,97,-123,4.62,1620
35,T34,T34,Peter Lonard,93,-123,4.61,1560
36,T34,T34,Kenneth Staton,104,-123,4.66,1795
37,T38,T38,Chad Campbell,111,-122,4.68,1920
38,T38,T38,Dennis Paulson,89,-122,4.62,1615
39,T40,T40,Billy Andrade,100,-121,4.64,1660
40,T40,T40,Scott Verplank,93,-121,4.62,1585
41,42,42,Shaun Micheel,100,-120,4.65,1730
42,43,43,Mike Weir,94,-118,4.64,1660
43,44,44,Len Mattiace,106,-117,4.66,1735
44,T45,T45,Stewart Cink,92,-116,4.63,1550
45,T45,T45,Neal Lancaster,101,-116,4.68,1800
46,T45,T45,Duffy Waldorf,90,-116,4.61,1500
