,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Tiger Woods,69,68.53,2330,34
1,2,2,David Toms,106,68.84,3993,58
2,3,3,Phil Mickelson,97,69.23,3600,52
3,4,4,Davis Love III,92,69.26,2632,38
4,5,5,Peter Lonard,93,69.29,2425,35
5,6,6,Justin Leonard,97,69.41,3193,46
6,7,7,Chris DiMarco,111,69.45,3889,56
7,8,8,Vijay Singh,102,69.56,3756,54
8,9,9,Kenny Perry,98,69.59,3201,46
9,10,10,Jim Furyk,88,69.6,3132,45
10,11,11,Scott Verplank,93,69.61,3202,46
11,12,12,Fred Funk,106,69.62,3690,53
12,13,13,Chris Riley,104,69.64,3273,47
13,14,14,John Huston,99,69.67,3135,45
14,15,15,Scott Hoch,71,69.68,2160,31
15,16,16,Brad Faxon,93,69.7,2300,33
16,T17,T17,Nick Price,69,69.77,2163,31
17,T17,T17,Loren Roberts,93,69.77,3349,48
18,19,19,Dan Forsman,83,69.78,3210,46
19,T20,T20,Retief Goosen,56,69.81,1815,26
20,T20,T20,Jonathan Kaye,83,69.81,2583,37
21,22,22,José María Olazábal,71,69.82,1536,22
22,23,23,Jeff Sluman,118,69.84,4051,58
23,24,24,Charles Howell III,118,69.85,3632,52
24,25,25,Bob Estes,93,69.88,2376,34
25,26,26,Jerry Kelly,99,69.9,3425,49
26,27,27,Tom Lehman,78,69.91,1608,23
27,28,28,Scott McCarron,106,69.94,3357,48
28,29,29,Chris Smith,103,69.96,3358,48
29,30,30,Sergio Garcia,79,70.0,2310,33
30,31,31,Joel Edwards,101,70.02,3361,48
31,32,32,Len Mattiace,106,70.06,3363,48
32,33,33,Duffy Waldorf,90,70.08,2733,39
33,T34,T34,Billy Andrade,100,70.09,3224,46
34,T34,T34,Tim Herron,102,70.09,3154,45
35,T36,T36,John Cook,85,70.11,2454,35
36,T36,T36,Matt Kuchar,82,70.11,2594,37
