,First_Tee_Early_Round_1_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Round_1_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Round_1_Scoring_Average_PLAYER NAME,First_Tee_Early_Round_1_Scoring_Average_AVG,First_Tee_Early_Round_1_Scoring_Average_TOTAL STROKES,First_Tee_Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,John Huston,66.0,132,2
1,2,2,Steve Lowery,67.4,337,5
2,3,3,Vijay Singh,67.8,339,5
3,4,4,Chris DiMarco,67.89,611,9
4,5,5,Mike Weir,68.13,545,8
5,6,6,Jerry Kelly,68.25,273,4
6,7,7,Rich Beem,68.43,479,7
7,8,8,David Peoples,68.5,411,6
8,9,9,Charles Howell III,68.57,480,7
9,10,10,Bob Estes,68.71,481,7
10,11,11,Kirk Triplett,68.83,413,6
11,T12,T12,David Duval,69.0,276,4
12,T12,T12,Steve Jones,69.0,276,4
13,T12,T12,Tiger Woods,69.0,138,2
14,15,15,Scott Verplank,69.14,484,7
15,T16,T16,Carlos Franco,69.17,415,6
16,T16,T16,J.P. Hayes,69.17,415,6
17,T18,T18,Steve Allan,69.25,277,4
18,T18,T18,Ian Leggatt,69.25,277,4
19,T20,T20,David Frost,69.33,416,6
20,T20,T20,J.J. Henry,69.33,416,6
21,T20,T20,John Riegger,69.33,208,3
22,T23,T23,Bob Burns,69.4,694,10
23,T23,T23,Dudley Hart,69.4,347,5
24,T25,T25,Fred Funk,69.43,486,7
25,T25,T25,Justin Leonard,69.43,486,7
26,27,27,Frank Lickliter II,69.44,625,9
27,T28,T28,Retief Goosen,69.5,278,4
28,T28,T28,Per-Ulrik Johansson,69.5,417,6
29,T28,T28,Bryce Molder,69.5,417,6
30,T28,T28,David Morland IV,69.5,278,4
31,T28,T28,David Toms,69.5,417,6
32,T33,T33,Mark Calcavecchia,69.6,348,5
33,T33,T33,Tim Clark,69.6,348,5
34,T33,T33,Corey Pavin,69.6,348,5
35,T36,T36,Spike McRoy,69.63,557,8
36,T36,T36,Phil Mickelson,69.63,557,8
37,T38,T38,Pat Perez,69.67,627,9
38,T38,T38,Bo Van Pelt,69.67,418,6
39,T40,T40,Mike Sposa,69.71,488,7
40,T40,T40,Phil Tataurangi,69.71,488,7
41,T42,T42,Pete Jordan,69.75,558,8
42,T42,T42,Tom Pernice Jr.,69.75,279,4
43,T44,T44,Shaun Micheel,69.78,628,9
44,T44,T44,Lee Porter,69.78,628,9
45,T46,T46,Nick Price,69.83,419,6
46,T46,T46,Kevin Sutherland,69.83,419,6
47,48,48,Matt Peterson,69.88,559,8
48,49,49,Kent Jones,69.89,629,9
