,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Vijay Singh,102,69.0,1932,28
1,T2,T2,Retief Goosen,56,69.07,967,14
2,T2,T2,David Toms,106,69.07,2072,30
3,4,4,Tiger Woods,69,69.22,1246,18
4,5,5,Cameron Beckman,87,69.24,2354,34
5,6,6,Nick Price,69,69.29,1455,21
6,7,7,Ernie Els,68,69.3,1386,20
7,8,8,Jay Haas,83,69.38,2220,32
8,9,9,Rocco Mediate,79,69.46,1806,26
9,T10,T10,Charles Howell III,118,69.5,3336,48
10,T10,T10,John Rollins,124,69.5,4170,60
11,12,12,Robert Allenby,96,69.51,2711,39
12,13,13,Fred Funk,106,69.55,3408,49
13,14,14,Kenny Perry,98,69.56,2713,39
14,15,15,Bob Tway,103,69.57,2574,37
15,16,16,Phil Mickelson,97,69.58,1809,26
16,17,17,Bob Estes,93,69.63,2855,41
17,18,18,Loren Roberts,93,69.7,2579,37
18,19,19,John Huston,99,69.71,3137,45
19,20,20,Rod Pampling,98,69.72,3207,46
20,21,21,Chris DiMarco,111,69.76,2372,34
21,T22,T22,Jim Furyk,88,69.77,2093,30
22,T22,T22,Kirk Triplett,84,69.77,2163,31
23,24,24,David Peoples,105,69.84,3492,50
24,T25,T25,Scott Verplank,93,69.85,2305,33
25,T25,T25,Mike Weir,94,69.85,2864,41
26,27,27,Stuart Appleby,97,69.87,2655,38
27,28,28,David Duval,78,69.89,1957,28
28,29,29,Justin Leonard,97,69.91,2237,32
29,30,30,Luke Donald,106,69.93,3007,43
30,T31,T31,Fred Couples,64,69.94,2238,32
31,T31,T31,Glen Hnatiuk,95,69.94,3427,49
32,T33,T33,Joel Edwards,101,69.96,3428,49
33,T33,T33,Rory Sabbatini,69,69.96,1819,26
34,35,35,K.J. Choi,93,69.97,2449,35
35,36,36,Chris Riley,104,70.02,3151,45
36,37,37,Ben Crane,91,70.05,2872,41
37,38,38,Frank Lickliter II,94,70.12,2945,42
38,39,39,Rich Beem,99,70.15,3297,47
39,T40,T40,Lee Janzen,101,70.16,2666,38
40,T40,T40,Hidemichi Tanaka,104,70.16,3087,44
41,42,42,Billy Andrade,100,70.17,2947,42
42,43,43,Joe Durant,87,70.18,2737,39
43,44,44,Jerry Kelly,99,70.19,2597,37
44,T45,T45,Jonathan Byrd,96,70.2,3159,45
45,T45,T45,Robert Gamez,69,70.2,2106,30
46,47,47,Donnie Hammond,60,70.21,1966,28
47,48,48,Steve Flesch,110,70.23,2809,40
48,49,49,Dudley Hart,88,70.24,2599,37
49,T50,T50,Olin Browne,107,70.25,3934,56
50,T50,T50,Bart Bryant,69,70.25,2529,36
51,52,52,Len Mattiace,106,70.28,3233,46
52,53,53,Stephen Ames,89,70.29,2952,42
53,54,54,Davis Love III,92,70.3,2320,33
54,55,55,Corey Pavin,78,70.33,2532,36
55,56,56,Steve Lowery,98,70.34,2673,38
56,T57,T57,Stewart Cink,92,70.37,2674,38
57,T57,T57,Peter Lonard,93,70.37,3237,46
58,59,59,Chad Campbell,111,70.38,3660,52
59,60,60,Pat Perez,89,70.4,2464,35
60,T61,T61,Briny Baird,110,70.43,3803,54
61,T61,T61,Pat Bates,94,70.43,3451,49
62,63,63,Kevin Sutherland,96,70.45,2959,42
63,T64,T64,Craig Barlow,62,70.46,1973,28
64,T64,T64,John Riegger,88,70.46,3241,46
65,66,66,Matt Gogel,79,70.5,2538,36
66,67,67,John Senden,96,70.51,3455,49
67,T68,T68,Carlos Franco,107,70.52,4090,58
68,T68,T68,Kent Jones,105,70.52,3667,52
69,T68,T68,Duffy Waldorf,90,70.52,2962,42
70,71,71,Phil Tataurangi,88,70.53,3033,43
71,T72,T72,Tim Clark,76,70.54,2469,35
72,T72,T72,Brian Gay,117,70.54,4162,59
73,T74,T74,Tim Herron,102,70.56,3387,48
74,T74,T74,Scott Hoch,71,70.56,1905,27
75,T74,T74,Steve Stricker,68,70.56,1764,25
76,T77,T77,Mark Calcavecchia,84,70.57,2470,35
77,T77,T77,J.J. Henry,112,70.57,4093,58
78,T77,T77,Jeff Sluman,118,70.57,3317,47
79,80,80,Shigeki Maruyama,87,70.59,2400,34
80,81,81,Steve Allan,93,70.62,3743,53
81,T82,T82,Tom Byrum,77,70.64,2755,39
82,T82,T82,Dennis Paulson,89,70.64,3108,44
83,T84,T84,Bob Burns,99,70.66,3321,47
84,T84,T84,Mike Sposa,111,70.66,4381,62
85,86,86,Bob May,91,70.67,3392,48
86,87,87,Tim Petrovic,92,70.68,3110,44
87,T88,T88,David Morland IV,58,70.69,2050,29
88,T88,T88,Geoff Ogilvy,90,70.69,3464,49
89,T88,T88,Joey Sindelar,104,70.69,3393,48
90,91,91,Glen Day,107,70.7,3959,56
91,92,92,Brandt Jobe,94,70.71,3182,45
92,T93,T93,Ian Leggatt,97,70.72,2758,39
93,T93,T93,Craig Parry,69,70.72,2263,32
94,T93,T93,Paul Stankowski,100,70.72,3536,50
95,96,96,Brent Geiberger,95,70.73,3466,49
96,T97,T97,Steve Elkington,82,70.74,2193,31
97,T97,T97,Skip Kendall,103,70.74,3749,53
98,T97,T97,J.L. Lewis,98,70.74,3820,54
99,100,100,Scott McCarron,106,70.75,2547,36
100,T101,T101,Andrew Magee,91,70.76,3255,46
101,T101,T101,Bryce Molder,65,70.76,2052,29
102,103,103,"David Berganio, Jr.",80,70.79,2973,42
103,104,104,John Cook,85,70.8,2903,41
104,105,105,Matt Peterson,80,70.81,3045,43
105,T106,T106,Jim Carter,98,70.83,3400,48
106,T106,T106,Michael Clark II,97,70.83,3754,53
107,108,108,Peter Jacobsen,67,70.85,2409,34
108,T109,T109,Per-Ulrik Johansson,87,70.86,3047,43
109,T109,T109,Tom Lehman,78,70.86,2480,35
110,T109,T109,Jesper Parnevik,85,70.86,2480,35
111,T112,T112,Jay Don Blake,107,70.87,3898,55
112,T112,T112,Harrison Frazar,88,70.87,2693,38
113,T112,T112,Neal Lancaster,101,70.87,3331,47
114,115,115,Dan Forsman,83,70.89,2481,35
115,116,116,Steve Pate,64,70.9,2056,29
116,117,117,J.P. Hayes,78,70.92,2624,37
117,T118,T118,Billy Mayfair,99,70.94,3334,47
118,T118,T118,Grant Waite,98,70.94,3831,54
119,120,120,Brian Henninger,66,70.97,2555,36
120,T121,T121,Mark Brooks,97,71.0,3266,46
121,T121,T121,John Daly,62,71.0,1633,23
122,T121,T121,David Frost,90,71.0,3124,44
123,T121,T121,David Gossett,95,71.0,3124,44
124,T121,T121,Chris Smith,103,71.0,3124,44
125,T121,T121,Jay Williamson,91,71.0,3337,47
126,127,127,Shaun Micheel,100,71.02,3054,43
127,T128,T128,Notah Begay III,76,71.03,2628,37
128,T128,T128,Brad Faxon,93,71.03,2699,38
129,130,130,José María Olazábal,71,71.04,1989,28
130,131,131,Michael Long,71,71.06,2416,34
131,132,132,Matt Kuchar,82,71.08,2630,37
132,T133,T133,Sergio Garcia,79,71.09,1635,23
133,T133,T133,Mathew Goggin,64,71.09,2488,35
134,135,135,Tom Pernice Jr.,101,71.1,3484,49
135,136,136,Greg Chalmers,94,71.11,3129,44
136,T137,T137,Steve Jones,71,71.13,2205,31
137,T137,T137,Dicky Pride,51,71.13,2205,31
138,T137,T137,Craig Stadler,72,71.13,2134,30
139,T137,T137,Esteban Toledo,106,71.13,3272,46
140,T141,T141,Frank Nobilo,94,71.14,3557,50
141,T141,T141,Tom Scherrer,98,71.14,4126,58
142,143,143,Tommy Tolles,64,71.15,2419,34
143,T144,T144,Jeff Gove,89,71.16,3202,45
144,T144,T144,Tripp Isenhour,68,71.16,2633,37
145,146,146,Boo Weekley,57,71.19,1851,26
146,147,147,Kenneth Staton,104,71.2,4272,60
147,148,148,Mark O'Meara,68,71.21,1994,28
148,149,149,Russ Cochran,68,71.22,2564,36
149,150,150,Spike McRoy,69,71.26,2209,31
150,151,151,Jess Daley,76,71.27,2922,41
151,152,152,Paul Azinger,69,71.28,2067,29
152,153,153,Bernhard Langer,55,71.29,1711,24
153,154,154,Tommy Armour III,82,71.31,2995,42
154,155,155,Jeff Brehaut,87,71.32,3352,47
155,156,156,Paul Gow,99,71.35,3425,48
156,T157,T157,Robin Freeman,79,71.36,3211,45
157,T157,T157,Franklin Langham,72,71.36,2355,33
158,T159,T159,Paul Claxton,83,71.37,3497,49
159,T159,T159,Paul Goydos,66,71.37,2712,38
160,T159,T159,Heath Slocum,96,71.37,2926,41
161,162,162,Jeff Maggert,83,71.43,2500,35
162,163,163,Craig Perks,91,71.47,2716,38
163,164,164,Stephen Gangluff,75,71.49,2931,41
