,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Tiger Woods,69,69.0,4692,68
1,T2,T2,Fred Funk,106,69.64,7382,106
2,T2,T2,David Toms,106,69.64,7103,102
3,4,4,Phil Mickelson,97,69.71,6553,94
4,5,5,Vijay Singh,102,69.76,6697,96
5,6,6,Chris Riley,104,69.9,6990,100
6,7,7,Justin Leonard,97,69.91,6572,94
7,8,8,Loren Roberts,93,69.98,6508,93
8,9,9,Charles Howell III,118,69.99,7839,112
9,10,10,John Huston,99,70.0,6720,96
10,11,11,Kenny Perry,98,70.02,6652,95
11,12,12,Chris DiMarco,111,70.03,7423,106
12,13,13,Nick Price,69,70.05,4623,66
13,14,14,Peter Lonard,93,70.11,6520,93
14,15,15,Retief Goosen,56,70.13,3787,54
15,16,16,Joel Edwards,101,70.14,7084,101
16,17,17,Jim Furyk,88,70.15,5963,85
17,18,18,David Peoples,105,70.19,7370,105
18,19,19,Glen Hnatiuk,95,70.2,6529,93
19,20,20,Davis Love III,92,70.21,6108,87
20,T21,T21,John Rollins,124,70.22,8426,120
21,T21,T21,Scott Verplank,93,70.22,6390,91
22,23,23,Robert Allenby,96,70.25,6674,95
23,24,24,Dan Forsman,83,70.26,5691,81
24,25,25,Ernie Els,68,70.27,4357,62
25,26,26,Cameron Beckman,87,70.31,5976,85
26,T27,T27,Pat Bates,94,70.37,6404,91
27,T27,T27,Bob Estes,93,70.37,6122,87
28,29,29,Bob Tway,103,70.38,6968,99
29,30,30,Jonathan Byrd,96,70.39,6617,94
30,31,31,Rocco Mediate,79,70.4,5280,75
31,32,32,Jerry Kelly,99,70.41,6900,98
32,T33,T33,Donnie Hammond,60,70.43,4226,60
33,T33,T33,Duffy Waldorf,90,70.43,6127,87
34,35,35,Jeff Sluman,118,70.44,8241,117
35,36,36,Kirk Triplett,84,70.46,5566,79
36,37,37,Fred Couples,64,70.47,4228,60
37,38,38,Rod Pampling,98,70.5,6627,94
38,T39,T39,Stuart Appleby,97,70.51,6628,94
39,T39,T39,Scott Hoch,71,70.51,4936,70
40,41,41,Chad Campbell,111,70.54,7689,109
41,42,42,John Senden,96,70.55,6561,93
42,T43,T43,Rich Beem,99,70.56,6703,95
43,T43,T43,K.J. Choi,93,70.56,6280,89
44,T43,T43,Shaun Micheel,100,70.56,6844,97
45,46,46,Sergio Garcia,79,70.57,5081,72
46,T47,T47,Robert Gamez,69,70.58,4870,69
47,T47,T47,Brian Gay,117,70.58,8117,115
48,T47,T47,Bob May,91,70.58,6282,89
49,T47,T47,Phil Tataurangi,88,70.58,5929,84
50,T51,T51,Bart Bryant,69,70.59,4659,66
51,T51,T51,Tim Herron,102,70.59,6988,99
52,T53,T53,Glen Day,107,70.6,7272,103
53,T53,T53,David Duval,78,70.6,5295,75
54,55,55,Billy Andrade,100,70.61,6779,96
55,56,56,Scott McCarron,106,70.62,6921,98
56,T57,T57,J.L. Lewis,98,70.63,6922,98
57,T57,T57,Len Mattiace,106,70.63,7487,106
58,T57,T57,John Riegger,88,70.63,6074,86
59,T60,T60,Steve Flesch,110,70.65,7418,105
60,T60,T60,Jay Haas,83,70.65,5581,79
61,T62,T62,Ben Crane,91,70.66,6289,89
62,T62,T62,Luke Donald,106,70.66,7349,104
63,T62,T62,Brandt Jobe,94,70.66,6642,94
64,T62,T62,Tim Petrovic,92,70.66,6289,89
65,66,66,Carlos Franco,107,70.67,7420,105
66,T67,T67,Stephen Ames,89,70.68,6149,87
67,T67,T67,Bob Burns,99,70.68,6785,96
68,T67,T67,Brent Geiberger,95,70.68,6503,92
69,T67,T67,Shigeki Maruyama,87,70.68,6149,87
70,71,71,Olin Browne,107,70.7,7353,104
71,T72,T72,Chris Smith,103,70.72,7072,100
72,T72,T72,Hidemichi Tanaka,104,70.72,7213,102
73,74,74,Ian Leggatt,97,70.75,6580,93
74,T75,T75,Briny Baird,110,70.76,7642,108
75,T75,T75,Stewart Cink,92,70.76,6227,88
76,T75,T75,Per-Ulrik Johansson,87,70.76,6156,87
77,T75,T75,Steve Lowery,98,70.76,6510,92
78,79,79,Skip Kendall,103,70.78,7149,101
79,T80,T80,Tom Byrum,77,70.79,5451,77
80,T80,T80,Peter Jacobsen,67,70.79,4743,67
81,T80,T80,Lee Janzen,101,70.79,6796,96
82,T80,T80,Mike Weir,94,70.79,6513,92
83,T84,T84,David Gossett,95,70.81,6585,93
84,T84,T84,Esteban Toledo,106,70.81,7223,102
85,86,86,John Cook,85,70.84,5809,82
86,87,87,"David Berganio, Jr.",80,70.85,5597,79
87,88,88,Geoff Ogilvy,90,70.86,6094,86
88,T89,T89,Steve Allan,93,70.88,6450,91
89,T89,T89,Brad Faxon,93,70.88,6025,85
90,T89,T89,J.P. Hayes,78,70.88,5387,76
91,92,92,Dudley Hart,88,70.9,5956,84
92,93,93,Jay Don Blake,107,70.92,7447,105
93,94,94,Tim Clark,76,70.93,5178,73
94,95,95,Rory Sabbatini,69,70.94,4540,64
95,96,96,Brian Henninger,66,70.95,4683,66
96,97,97,Tripp Isenhour,68,70.96,4825,68
97,T98,T98,Craig Parry,69,70.97,4897,69
98,T98,T98,Joey Sindelar,104,70.97,7239,102
99,100,100,J.J. Henry,112,70.98,7666,108
100,T101,T101,Matt Kuchar,82,71.0,5822,82
101,T101,T101,Tom Lehman,78,71.0,4970,70
102,T103,T103,Joe Durant,87,71.01,6107,86
103,T103,T103,Jonathan Kaye,83,71.01,5752,81
104,105,105,Craig Barlow,62,71.03,4120,58
105,106,106,Grant Waite,98,71.05,6821,96
106,T107,T107,Billy Mayfair,99,71.06,6680,94
