,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Tiger Woods,69,25.33,310,1224
1,2,2,Phil Mickelson,97,25.12,425,1692
2,3,3,David Toms,106,24.29,446,1836
3,4,4,David Duval,78,23.78,321,1350
4,5,5,Kenny Perry,98,23.68,405,1710
5,6,6,Retief Goosen,56,23.66,230,972
6,7,7,Jonathan Byrd,96,23.42,392,1674
7,8,8,Fred Funk,106,23.27,444,1908
8,9,9,Fred Couples,64,23.15,250,1080
9,10,10,Justin Leonard,97,23.11,391,1692
10,11,11,Stuart Appleby,97,23.05,390,1692
11,T12,T12,Mark Calcavecchia,84,22.86,325,1422
12,T12,T12,Vijay Singh,102,22.86,395,1728
13,14,14,Chris DiMarco,111,22.85,436,1908
14,T15,T15,Lee Janzen,101,22.8,394,1728
15,T15,T15,Geoff Ogilvy,90,22.8,353,1548
16,17,17,Ben Crane,91,22.72,364,1602
17,18,18,Charles Howell III,118,22.67,457,2016
18,19,19,Scott Verplank,93,22.65,371,1638
19,20,20,Rod Pampling,98,22.64,383,1692
20,T21,T21,Robert Gamez,69,22.62,281,1242
21,T21,T21,J.L. Lewis,98,22.62,399,1764
22,23,23,John Huston,99,22.57,390,1728
23,24,24,Chris Riley,104,22.56,406,1800
24,25,25,Duffy Waldorf,90,22.48,352,1566
25,26,26,Bob Heintz,68,22.3,273,1224
26,27,27,Davis Love III,92,22.29,349,1566
27,28,28,K.J. Choi,93,22.28,357,1602
28,29,29,Pat Perez,89,22.22,348,1566
29,30,30,Scott McCarron,106,22.17,391,1764
30,31,31,Mike Weir,94,22.16,367,1656
31,T32,T32,Robert Allenby,96,22.05,377,1710
32,T32,T32,Steve Stricker,68,22.05,250,1134
33,34,34,John Rollins,124,22.04,476,2160
34,35,35,Rocco Mediate,79,22.0,297,1350
35,T36,T36,Billy Andrade,100,21.99,380,1728
36,T36,T36,Rich Beem,99,21.99,376,1710
37,38,38,Steve Allan,93,21.98,360,1638
38,T39,T39,Bryce Molder,65,21.96,249,1134
39,T39,T39,Tommy Tolles,64,21.96,253,1152
40,41,41,Kirk Triplett,84,21.94,312,1422
41,42,42,Steve Flesch,110,21.9,414,1890
42,T43,T43,John Daly,62,21.86,240,1098
43,T43,T43,Ernie Els,68,21.86,244,1116
44,45,45,Ian Leggatt,97,21.8,365,1674
45,46,46,Cameron Beckman,87,21.76,333,1530
46,47,47,Paul Stankowski,100,21.71,383,1764
47,T48,T48,Tim Clark,76,21.69,285,1314
48,T48,T48,Phil Tataurangi,88,21.69,328,1512
49,50,50,Dan Forsman,83,21.67,316,1458
50,51,51,Tripp Isenhour,68,21.57,264,1224
51,T52,T52,Dudley Hart,88,21.56,326,1512
52,T52,T52,John Senden,96,21.56,357,1656
53,54,54,Peter Lonard,93,21.51,360,1674
54,T55,T55,Greg Chalmers,94,21.49,352,1638
55,T55,T55,J.P. Hayes,78,21.49,294,1368
56,T57,T57,Steve Lowery,98,21.44,355,1656
57,T57,T57,Chris Smith,103,21.44,386,1800
58,59,59,David Peoples,105,21.43,405,1890
59,60,60,Joey Sindelar,104,21.41,393,1836
60,61,61,Pat Bates,94,21.37,350,1638
61,62,62,Chad Campbell,111,21.36,419,1962
62,63,63,Donnie Hammond,60,21.3,230,1080
63,64,64,Joel Edwards,101,21.29,387,1818
64,65,65,John Cook,85,21.27,314,1476
65,66,66,Brian Gay,117,21.26,440,2070
66,67,67,Sergio Garcia,79,21.22,275,1296
67,T68,T68,Stewart Cink,92,21.21,336,1584
68,T68,T68,David Gossett,95,21.21,355,1674
69,70,70,Rory Sabbatini,69,21.18,244,1152
70,T71,T71,Bart Bryant,69,21.13,251,1188
71,T71,T71,Nick Price,69,21.13,251,1188
72,73,73,Shigeki Maruyama,87,21.07,330,1566
73,74,74,Frank Lickliter II,94,21.04,337,1602
74,75,75,Craig Stadler,72,21.0,257,1224
75,76,76,Brett Wetterich,89,20.95,328,1566
76,77,77,Olin Browne,107,20.94,392,1872
77,78,78,Jerry Kelly,99,20.86,368,1764
78,T79,T79,Briny Baird,110,20.83,405,1944
79,T79,T79,Harrison Frazar,88,20.83,330,1584
80,81,81,Stephen Gangluff,75,20.81,281,1350
81,82,82,Notah Begay III,76,20.8,277,1332
82,83,83,Scott Hoch,71,20.79,262,1260
83,84,84,Stephen Ames,89,20.75,325,1566
84,T85,T85,Carlos Franco,107,20.74,392,1890
85,T85,T85,Skip Kendall,103,20.74,377,1818
86,T85,T85,John Riegger,88,20.74,321,1548
87,T88,T88,Glen Day,107,20.71,384,1854
88,T88,T88,Tim Herron,102,20.71,369,1782
89,T90,T90,Bob Estes,93,20.69,324,1566
90,T90,T90,Brandt Jobe,94,20.69,350,1692
91,92,92,Shaun Micheel,100,20.68,361,1746
92,93,93,Jeff Sluman,118,20.66,435,2106
93,94,94,Brad Faxon,93,20.65,316,1530
94,95,95,Hidemichi Tanaka,104,20.64,379,1836
95,96,96,Brent Geiberger,95,20.59,341,1656
96,97,97,Robert Damron,85,20.53,303,1476
97,98,98,Andrew Magee,91,20.52,325,1584
98,99,99,Dennis Paulson,89,20.5,321,1566
99,100,100,Mathew Goggin,64,20.4,235,1152
100,101,101,Jay Haas,83,20.39,290,1422
101,T102,T102,Jay Don Blake,107,20.37,385,1890
102,T102,T102,Brian Henninger,66,20.37,242,1188
103,T102,T102,Per-Ulrik Johansson,87,20.37,319,1566
104,105,105,Luke Donald,106,20.35,381,1872
105,106,106,Bob Burns,99,20.31,351,1728
106,T107,T107,Robin Freeman,79,20.3,274,1350
107,T107,T107,Bo Van Pelt,78,20.3,285,1404
108,109,109,Craig Parry,69,20.29,252,1242
109,110,110,Kent Jones,105,20.28,376,1854
110,111,111,Glen Hnatiuk,95,20.25,339,1674
111,112,112,David Morland IV,58,20.21,211,1044
112,T113,T113,Carl Paulson,84,20.19,298,1476
113,T113,T113,Loren Roberts,93,20.19,338,1674
114,115,115,Craig Perks,91,20.18,316,1566
115,116,116,Brett Quigley,93,20.17,334,1656
116,T117,T117,Tom Pernice Jr.,101,20.09,358,1782
117,T117,T117,Bob Tway,103,20.09,358,1782
118,119,119,Len Mattiace,106,20.07,383,1908
119,120,120,Bob May,91,20.04,321,1602
120,121,121,Tim Petrovic,92,19.98,320,1602
121,122,122,Steve Pate,64,19.91,215,1080
122,123,123,Boo Weekley,57,19.88,204,1026
123,124,124,Matt Kuchar,82,19.85,293,1476
124,125,125,Frank Nobilo,94,19.8,335,1692
125,126,126,Brian Bateman,94,19.78,324,1638
126,127,127,Jim Furyk,88,19.74,302,1530
127,T128,T128,Craig Barlow,62,19.73,206,1044
128,T128,T128,Jeff Brehaut,87,19.73,309,1566
129,T130,T130,Paul Azinger,69,19.66,223,1134
130,T130,T130,Garrett Willis,80,19.66,276,1404
131,132,132,Jonathan Kaye,83,19.62,286,1458
132,133,133,Brandel Chamblee,85,19.58,296,1512
133,134,134,Jesper Parnevik,85,19.51,295,1512
134,135,135,Kenneth Staton,104,19.5,358,1836
135,136,136,Neal Lancaster,101,19.47,354,1818
136,137,137,José María Olazábal,71,19.44,224,1152
137,138,138,Jay Williamson,91,19.35,317,1638
138,T139,T139,"David Berganio, Jr.",80,19.34,275,1422
139,T139,T139,Jeff Maggert,83,19.34,289,1494
140,T139,T139,Esteban Toledo,106,19.34,355,1836
141,142,142,Grant Waite,98,19.33,334,1728
142,143,143,Michael Clark II,97,19.3,330,1710
143,144,144,Kaname Yokoo,74,19.29,250,1296
144,145,145,Paul Goydos,66,19.28,229,1188
145,146,146,Edward Fryatt,94,19.2,318,1656
146,147,147,Matt Gogel,79,19.15,262,1368
147,148,148,Brad Elder,76,19.14,255,1332
148,149,149,Greg Kraft,86,19.11,289,1512
149,150,150,Peter Jacobsen,67,19.07,230,1206
150,151,151,Heath Slocum,96,18.96,314,1656
151,152,152,Michael Long,71,18.94,242,1278
152,153,153,Deane Pappas,90,18.9,296,1566
153,154,154,Tom Scherrer,98,18.83,322,1710
154,155,155,Jim Carter,98,18.82,332,1764
155,156,156,Tommy Armour III,82,18.79,274,1458
156,157,157,David Frost,90,18.77,304,1620
157,158,158,Woody Austin,102,18.74,334,1782
158,159,159,Corey Pavin,78,18.71,256,1368
159,160,160,Joe Durant,87,18.67,289,1548
160,161,161,Russ Cochran,68,18.66,225,1206
161,162,162,Steve Elkington,82,18.64,265,1422
162,163,163,Dicky Pride,51,18.63,171,918
163,164,164,Tom Byrum,77,18.61,258,1386
164,165,165,Jeff Gove,89,18.6,298,1602
165,T166,T166,Paul Gow,99,18.58,321,1728
166,T166,T166,Kevin Sutherland,96,18.58,301,1620
167,168,168,Paul Claxton,83,18.54,277,1494
168,169,169,Mark Brooks,97,18.52,310,1674
169,170,170,Miguel Angel Jiménez,60,18.49,193,1044
170,171,171,Billy Mayfair,99,18.38,311,1692
171,T172,T172,Mark O'Meara,68,18.35,218,1188
172,T172,T172,Mike Sposa,111,18.35,360,1962
173,174,174,Bernhard Langer,55,18.31,178,972
174,175,175,Steve Jones,71,18.3,224,1224
175,176,176,Bradley Hughes,60,18.24,197,1080
176,177,177,Tom Lehman,78,18.02,227,1260
177,T178,T178,J.J. Henry,112,18.0,350,1944
178,T178,T178,Blaine McCallister,75,18.0,243,1350
179,180,180,Lee Porter,91,17.87,283,1584
180,181,181,Matt Peterson,80,17.85,257,1440
181,182,182,Jess Daley,76,17.84,244,1368
182,183,183,Brenden Pappas,62,17.83,199,1116
183,184,184,Michael Muehr,73,17.76,227,1278
184,185,185,Spike McRoy,69,17.74,214,1206
185,186,186,Michael Allen,76,17.72,236,1332
186,187,187,Jason Hill,59,17.61,187,1062
187,188,188,Brian Watts,58,17.39,169,972
188,189,189,Franklin Langham,72,17.31,215,1242
189,190,190,Jerry Smith,91,17.24,270,1566
190,191,191,Joe Ogilvie,50,17.22,155,900
191,T192,T192,José Coceres,51,16.88,155,918
192,T192,T192,Mike Hulbert,55,16.88,161,954
193,T192,T192,Pete Jordan,78,16.88,237,1404
194,195,195,Scott Simpson,61,16.76,184,1098
195,196,196,Scott Dunlap,74,16.67,216,1296
196,197,197,Hal Sutton,74,16.51,217,1314
197,198,198,Brad Lardon,59,16.38,174,1062
198,199,199,Richard Zokol,53,16.23,149,918
199,200,200,Eduardo Herrera,59,16.2,172,1062
200,201,201,Gary Nicklaus,66,16.16,192,1188
201,202,202,Fulton Allem,64,15.96,181,1134
