,Back_9_Round_2_Scoring_Average_RANK THIS WEEK,Back_9_Round_2_Scoring_Average_RANK LAST WEEK,Back_9_Round_2_Scoring_Average_PLAYER NAME,Back_9_Round_2_Scoring_Average_AVG,Back_9_Round_2_Scoring_Average_TOTAL STROKES,Back_9_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Duffy Waldorf,33.92,814,24
1,2,2,Retief Goosen,34.21,479,14
2,3,3,Ernie Els,34.38,550,16
3,4,4,Tiger Woods,34.59,588,17
4,5,5,Tripp Isenhour,34.6,692,20
5,6,6,David Toms,34.65,901,26
6,7,7,Robert Gamez,34.67,728,21
7,8,8,Fred Funk,34.68,971,28
8,9,9,Charles Howell III,34.7,1041,30
9,T10,T10,Justin Leonard,34.71,833,24
10,T10,T10,Peter Lonard,34.71,833,24
11,12,12,Bob Tway,34.74,938,27
12,T13,T13,Chad Campbell,34.78,1113,32
13,T13,T13,Chris Riley,34.78,939,27
14,T15,T15,Cameron Beckman,34.79,835,24
15,T15,T15,John Cook,34.79,835,24
16,17,17,Scott Hoch,34.8,696,20
17,18,18,Jay Haas,34.82,766,22
18,T19,T19,Tom Lehman,34.85,697,20
19,T19,T19,Rocco Mediate,34.85,697,20
20,21,21,Tim Clark,34.91,768,22
21,22,22,Steve Flesch,34.93,1048,30
22,23,23,Jonathan Byrd,34.94,1083,31
23,24,24,Craig Parry,34.95,734,21
24,T25,T25,Joel Edwards,34.96,979,28
25,T25,T25,Vijay Singh,34.96,909,26
26,27,27,Luke Donald,34.97,1014,29
27,T28,T28,Bart Bryant,35.0,665,19
28,T28,T28,Jim Furyk,35.0,840,24
29,T28,T28,Jeff Maggert,35.0,910,26
30,T28,T28,Shaun Micheel,35.0,980,28
31,T28,T28,Rod Pampling,35.0,980,28
32,T28,T28,Hidemichi Tanaka,35.0,1050,30
33,34,34,Mike Sposa,35.03,1121,32
34,T35,T35,Ian Leggatt,35.04,911,26
35,T35,T35,Phil Mickelson,35.04,841,24
36,T35,T35,Geoff Ogilvy,35.04,911,26
37,T35,T35,Pat Perez,35.04,946,27
38,T35,T35,Phil Tataurangi,35.04,806,23
39,40,40,Kirk Triplett,35.05,771,22
40,41,41,Briny Baird,35.06,1087,31
41,42,42,John Senden,35.07,1017,29
42,T43,T43,J.J. Henry,35.09,1158,33
43,T43,T43,Shigeki Maruyama,35.09,807,23
44,T45,T45,Jeff Brehaut,35.1,1018,29
45,T45,T45,Carlos Franco,35.1,1018,29
46,47,47,Scott McCarron,35.12,913,26
47,48,48,Tim Petrovic,35.13,1054,30
48,49,49,Craig Stadler,35.14,738,21
49,50,50,Carl Paulson,35.15,949,27
50,51,51,Brett Wetterich,35.16,1090,31
51,52,52,David Peoples,35.17,1055,30
52,T53,T53,Pat Bates,35.18,985,28
53,T53,T53,Harrison Frazar,35.18,985,28
54,T55,T55,Russ Cochran,35.19,739,21
55,T55,T55,Lee Janzen,35.19,950,27
56,T57,T57,Craig Barlow,35.2,704,20
57,T57,T57,John Huston,35.2,880,25
58,T57,T57,Kenny Perry,35.2,880,25
59,60,60,Per-Ulrik Johansson,35.22,951,27
60,T61,T61,Robert Allenby,35.23,916,26
61,T61,T61,Stuart Appleby,35.23,916,26
62,T61,T61,Jeff Sluman,35.23,1092,31
63,64,64,Rory Sabbatini,35.24,740,21
64,65,65,Chris DiMarco,35.26,952,27
65,T66,T66,Brian Gay,35.27,1164,33
66,T66,T66,Mark O'Meara,35.27,776,22
67,T66,T66,Grant Waite,35.27,1058,30
68,T69,T69,Glen Day,35.28,1023,29
69,T69,T69,Kent Jones,35.28,1129,32
70,71,71,Dan Forsman,35.29,847,24
71,T72,T72,Tom Byrum,35.3,812,23
72,T72,T72,Mark Calcavecchia,35.3,812,23
73,T72,T72,Glen Hnatiuk,35.3,953,27
74,T75,T75,Steve Allan,35.31,1024,29
75,T75,T75,Tim Herron,35.31,1024,29
76,T75,T75,Matt Peterson,35.31,918,26
77,78,78,Len Mattiace,35.32,989,28
78,T79,T79,Joe Durant,35.33,954,27
79,T79,T79,Kevin Sutherland,35.33,954,27
80,81,81,Esteban Toledo,35.34,1025,29
81,T82,T82,Stephen Ames,35.35,919,26
82,T82,T82,K.J. Choi,35.35,919,26
83,T82,T82,Brad Faxon,35.35,813,23
84,T85,T85,Jay Don Blake,35.36,1167,33
85,T85,T85,Bob May,35.36,990,28
86,87,87,Neal Lancaster,35.37,1061,30
87,88,88,Davis Love III,35.38,849,24
88,T89,T89,Fred Couples,35.41,602,17
89,T89,T89,David Duval,35.41,779,22
90,T89,T89,Donnie Hammond,35.41,602,17
91,T89,T89,Frank Nobilo,35.41,1027,29
92,T89,T89,Jerry Smith,35.41,1133,32
93,94,94,Michael Long,35.42,921,26
94,T95,T95,David Gossett,35.43,992,28
95,T95,T95,J.L. Lewis,35.43,1063,30
96,T97,T97,Tommy Armour III,35.44,957,27
97,T97,T97,Jess Daley,35.44,957,27
98,T99,T99,Joey Sindelar,35.45,1099,31
99,T99,T99,Tommy Tolles,35.45,709,20
100,T101,T101,Olin Browne,35.47,1135,32
101,T101,T101,Jeff Gove,35.47,1064,30
102,T103,T103,Paul Claxton,35.48,1029,29
103,T103,T103,Bryce Molder,35.48,745,21
104,T103,T103,Loren Roberts,35.48,887,25
105,T103,T103,Jay Williamson,35.48,1029,29
106,T107,T107,José Coceres,35.5,568,16
107,T107,T107,Brian Henninger,35.5,710,20
108,T107,T107,Franklin Langham,35.5,852,24
109,T110,T110,Brandt Jobe,35.52,959,27
110,T110,T110,Garrett Willis,35.52,817,23
