,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Tiger Woods,69,2.46,310,126
1,T2,T2,Fred Funk,106,1.8,444,246
2,T2,T2,Vijay Singh,102,1.8,395,220
3,4,4,David Toms,106,1.77,446,252
4,5,5,Chris Riley,104,1.71,406,237
5,6,6,Phil Mickelson,97,1.7,425,250
6,7,7,Justin Leonard,97,1.69,391,232
7,8,8,Chris DiMarco,111,1.66,436,263
8,9,9,Retief Goosen,56,1.65,230,139
9,10,10,Joel Edwards,101,1.62,387,239
10,11,11,Jim Furyk,88,1.61,302,187
11,T12,T12,Kenny Perry,98,1.6,405,253
12,T12,T12,Loren Roberts,93,1.6,338,211
13,T12,T12,Scott Verplank,93,1.6,371,232
14,15,15,Dan Forsman,83,1.59,316,199
15,T16,T16,Glen Hnatiuk,95,1.57,339,216
16,T16,T16,John Huston,99,1.57,390,248
17,T16,T16,John Rollins,124,1.57,476,303
18,T19,T19,Rod Pampling,98,1.56,383,246
19,T19,T19,David Peoples,105,1.56,405,260
20,T21,T21,Charles Howell III,118,1.55,457,294
21,T21,T21,Jerry Kelly,99,1.55,368,237
22,T23,T23,Peter Lonard,93,1.52,360,237
23,T23,T23,Jeff Sluman,118,1.52,435,286
24,T25,T25,Cameron Beckman,87,1.49,333,224
25,T25,T25,Ernie Els,68,1.49,244,164
26,T25,T25,Davis Love III,92,1.49,349,235
27,T28,T28,Robert Allenby,96,1.46,377,258
28,T28,T28,Bart Bryant,69,1.46,251,172
29,T28,T28,Bob Estes,93,1.46,324,222
30,T28,T28,Rocco Mediate,79,1.46,297,203
31,T28,T28,Nick Price,69,1.46,251,172
32,T28,T28,Bob Tway,103,1.46,358,245
33,T34,T34,Pat Bates,94,1.45,350,241
34,T34,T34,Jonathan Byrd,96,1.45,392,271
35,T34,T34,Chad Campbell,111,1.45,419,289
36,T37,T37,Stuart Appleby,97,1.44,390,270
37,T37,T37,Glen Day,107,1.44,384,267
38,T39,T39,Fred Couples,64,1.43,250,175
39,T39,T39,Shaun Micheel,100,1.43,361,252
40,T41,T41,Carlos Franco,107,1.42,392,276
41,T41,T41,Kirk Triplett,84,1.42,312,220
42,T43,T43,David Duval,78,1.41,321,227
43,T43,T43,J.L. Lewis,98,1.41,399,283
44,T43,T43,Bob May,91,1.41,321,228
45,T43,T43,John Riegger,88,1.41,322,229
46,T43,T43,Duffy Waldorf,90,1.41,352,249
47,48,48,Robert Gamez,69,1.4,281,201
48,T49,T49,Scott Hoch,71,1.39,262,189
49,T49,T49,Skip Kendall,103,1.39,377,271
50,51,51,Bob Burns,99,1.38,351,254
51,T52,T52,Brian Gay,117,1.37,440,321
52,T52,T52,Jay Haas,83,1.37,290,211
53,T52,T52,Brandt Jobe,94,1.37,350,256
54,T55,T55,Luke Donald,106,1.36,381,281
55,T55,T55,John Senden,96,1.36,357,263
56,T55,T55,Mike Weir,94,1.36,367,270
57,T58,T58,Rich Beem,99,1.35,376,278
58,T58,T58,Ben Crane,91,1.35,364,270
59,T58,T58,Tim Herron,102,1.35,369,274
60,T58,T58,Scott McCarron,106,1.35,391,289
61,T58,T58,Joey Sindelar,104,1.35,393,291
62,T58,T58,Phil Tataurangi,88,1.35,328,243
63,T64,T64,Briny Baird,110,1.34,405,302
64,T64,T64,Olin Browne,107,1.34,392,292
65,T64,T64,K.J. Choi,93,1.34,357,266
66,T64,T64,Tim Clark,76,1.34,285,213
67,T64,T64,John Cook,85,1.34,314,235
68,T64,T64,Donnie Hammond,60,1.34,230,172
69,T64,T64,Lee Janzen,101,1.34,394,294
70,T64,T64,Tim Petrovic,92,1.34,321,240
71,T72,T72,Steve Flesch,110,1.33,414,312
72,T72,T72,Dudley Hart,88,1.33,326,245
73,T72,T72,Peter Jacobsen,67,1.33,230,173
74,T72,T72,Craig Parry,69,1.33,252,190
75,T72,T72,Chris Smith,103,1.33,386,290
76,T77,T77,Stephen Ames,89,1.32,325,246
77,T77,T77,Billy Andrade,100,1.32,380,288
78,T77,T77,Stewart Cink,92,1.32,336,255
79,T77,T77,Ian Leggatt,97,1.32,365,277
80,T81,T81,Brad Faxon,93,1.31,316,242
81,T81,T81,David Gossett,95,1.31,355,272
82,T81,T81,Per-Ulrik Johansson,87,1.31,319,244
83,T81,T81,Len Mattiace,106,1.31,383,292
84,T81,T81,Geoff Ogilvy,90,1.31,353,269
85,T81,T81,Esteban Toledo,106,1.31,355,271
86,T87,T87,J.P. Hayes,78,1.3,294,226
87,T87,T87,Hidemichi Tanaka,104,1.3,379,291
88,T89,T89,Brent Geiberger,95,1.29,341,264
89,T89,T89,Shigeki Maruyama,87,1.29,330,255
90,91,91,Steve Allan,93,1.28,360,281
91,T92,T92,"David Berganio, Jr.",80,1.27,275,217
92,T92,T92,Jay Don Blake,107,1.27,385,302
93,T92,T92,Sergio Garcia,79,1.27,275,216
94,T92,T92,Jonathan Kaye,83,1.27,286,226
95,T96,T96,Tom Byrum,77,1.26,258,204
96,T96,T96,Steve Lowery,98,1.26,355,282
97,T96,T96,Pat Perez,89,1.26,348,277
98,T96,T96,Craig Stadler,72,1.26,257,204
99,T100,T100,Brandel Chamblee,85,1.25,296,236
100,T100,T100,Dennis Paulson,89,1.25,321,257
101,T100,T100,Grant Waite,98,1.25,334,267
102,103,103,Craig Barlow,62,1.24,206,166
103,T104,T104,Joe Durant,87,1.23,289,235
104,T104,T104,Harrison Frazar,88,1.23,330,268
105,T104,T104,Mathew Goggin,64,1.23,235,191
106,T104,T104,Frank Lickliter II,94,1.23,337,273
107,T104,T104,Andrew Magee,91,1.23,325,265
108,T104,T104,Bryce Molder,65,1.23,249,202
109,T104,T104,Tom Pernice Jr.,101,1.23,358,291
110,T104,T104,Rory Sabbatini,69,1.23,244,198
111,T112,T112,Greg Chalmers,94,1.22,352,289
112,T112,T112,Stephen Gangluff,75,1.22,281,231
113,T112,T112,Kent Jones,105,1.22,376,308
114,T112,T112,Neal Lancaster,101,1.22,354,291
115,T112,T112,Mike Sposa,111,1.22,360,296
116,T112,T112,Jay Williamson,91,1.22,317,259
117,T118,T118,Notah Begay III,76,1.21,277,228
118,T118,T118,Tripp Isenhour,68,1.21,264,219
119,T118,T118,Matt Kuchar,82,1.21,293,242
120,T118,T118,Frank Nobilo,94,1.21,335,277
121,122,122,Mark Calcavecchia,84,1.2,325,270
122,T123,T123,Jeff Brehaut,87,1.19,309,259
123,T123,T123,Matt Gogel,79,1.19,262,221
124,T123,T123,Jeff Gove,89,1.19,298,250
125,T123,T123,Tom Lehman,78,1.19,227,190
126,T123,T123,Billy Mayfair,99,1.19,311,262
127,T123,T123,José María Olazábal,71,1.19,224,189
128,T123,T123,Steve Pate,64,1.19,215,180
129,T123,T123,Kevin Sutherland,96,1.19,301,254
130,T131,T131,Jim Carter,98,1.18,332,282
131,T131,T131,Matt Peterson,80,1.18,257,218
132,T133,T133,Brian Henninger,66,1.17,242,207
133,T133,T133,Greg Kraft,86,1.17,289,248
