,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
191,192,192,Jonathan Kaye,83,72.35,1230,17
192,193,193,Garrett Willis,80,72.36,2605,36
193,194,194,Gary Nicklaus,66,72.42,1376,19
194,195,195,Hal Sutton,74,72.43,1521,21
195,196,196,Mike Hulbert,55,72.5,1160,16
196,197,197,Fulton Allem,64,72.74,1382,19
197,198,198,Jerry Smith,91,72.91,2333,32
198,199,199,Brad Lardon,59,72.95,1386,19
199,200,200,Brian Watts,58,73.09,1608,22
200,201,201,Deane Pappas,90,73.46,1763,24
201,202,202,Eduardo Herrera,59,73.88,1182,16
