,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Rocco Mediate,79,33.8,24,71
1,2,2,Jay Haas,83,33.72,29,86
2,3,3,David Morland IV,58,31.65,25,79
3,4,4,Brian Gay,117,31.61,55,174
4,5,5,José María Olazábal,71,30.77,24,78
5,6,6,Skip Kendall,103,30.3,40,132
6,7,7,Peter Lonard,93,30.11,28,93
7,8,8,Matt Kuchar,82,30.0,24,80
8,9,9,John Huston,99,29.91,35,117
9,10,10,Loren Roberts,93,29.82,34,114
10,11,11,K.J. Choi,93,29.46,38,129
11,12,12,Craig Parry,69,29.35,27,92
12,13,13,Chad Campbell,111,29.32,39,133
13,14,14,David Toms,106,29.13,37,127
14,15,15,Fred Funk,106,29.09,48,165
15,16,16,Rod Pampling,98,28.7,33,115
16,17,17,J.L. Lewis,98,28.35,36,127
17,18,18,Davis Love III,92,28.18,31,110
18,19,19,Chris DiMarco,111,28.13,36,128
19,20,20,Pat Bates,94,28.1,34,121
20,21,21,Brandel Chamblee,85,28.0,28,100
21,22,22,Tim Clark,76,27.73,33,119
22,23,23,Greg Kraft,86,27.27,30,110
23,24,24,Billy Andrade,100,27.1,29,107
24,25,25,John Rollins,124,27.04,43,159
25,26,26,J.P. Hayes,78,26.85,29,108
26,27,27,Joel Edwards,101,26.76,38,142
27,28,28,Charles Howell III,118,26.72,31,116
28,29,29,John Riegger,88,26.45,32,121
29,30,30,Vijay Singh,102,26.36,29,110
30,31,31,David Frost,90,26.19,33,126
31,32,32,Duffy Waldorf,90,26.09,24,92
32,33,33,Joey Sindelar,104,25.93,28,108
33,34,34,Bob Estes,93,25.77,25,97
34,T35,T35,Spike McRoy,69,25.71,18,70
35,T35,T35,Steve Stricker,68,25.71,18,70
36,37,37,Phil Tataurangi,88,25.62,31,121
37,38,38,Jim Furyk,88,25.53,24,94
