,Round_2_Scoring_Average_RANK THIS WEEK,Round_2_Scoring_Average_RANK LAST WEEK,Round_2_Scoring_Average_PLAYER NAME,Round_2_Scoring_Average_AVG,Round_2_Scoring_Average_TOTAL STROKES,Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Ernie Els,69.0,1104,16
1,2,2,Tripp Isenhour,69.05,1381,20
2,3,3,Tiger Woods,69.12,1175,17
3,4,4,Duffy Waldorf,69.13,1659,24
4,5,5,Retief Goosen,69.21,969,14
5,6,6,Justin Leonard,69.25,1662,24
6,T7,T7,Cameron Beckman,69.33,1664,24
7,T7,T7,Bob Tway,69.33,1872,27
8,9,9,Fred Funk,69.39,1943,28
9,10,10,Charles Howell III,69.57,2087,30
10,11,11,Peter Lonard,69.58,1670,24
11,12,12,Briny Baird,69.61,2158,31
12,13,13,Phil Mickelson,69.63,1671,24
13,14,14,Scott McCarron,69.65,1811,26
14,15,15,Kenny Perry,69.68,1742,25
15,16,16,Robert Allenby,69.73,1813,26
16,17,17,Shigeki Maruyama,69.74,1604,23
17,18,18,Loren Roberts,69.76,1744,25
18,19,19,Vijay Singh,69.77,1814,26
19,20,20,Chris Riley,69.78,1884,27
20,21,21,Geoff Ogilvy,69.81,1815,26
21,T22,T22,Brian Gay,69.82,2304,33
22,T22,T22,Rod Pampling,69.82,1955,28
23,24,24,Phil Tataurangi,69.91,1608,23
24,25,25,Kirk Triplett,69.95,1539,22
25,T26,T26,Jay Haas,70.0,1540,22
26,T26,T26,Len Mattiace,70.0,1960,28
27,T26,T26,Jeff Sluman,70.0,2170,31
28,T26,T26,David Toms,70.0,1820,26
29,30,30,Ian Leggatt,70.04,1821,26
30,31,31,Shaun Micheel,70.07,1962,28
31,32,32,Tom Byrum,70.09,1612,23
32,T33,T33,Luke Donald,70.1,2033,29
33,T33,T33,Carlos Franco,70.1,2033,29
34,35,35,Chad Campbell,70.13,2244,32
35,36,36,Brian Henninger,70.15,1403,20
36,37,37,Hidemichi Tanaka,70.17,2105,30
37,38,38,Bob May,70.18,1965,28
38,T39,T39,Glen Day,70.21,2036,29
39,T39,T39,Joel Edwards,70.21,1966,28
40,41,41,Pat Perez,70.22,1896,27
41,T42,T42,Jonathan Byrd,70.23,2177,31
42,T42,T42,Neal Lancaster,70.23,2107,30
43,44,44,John Huston,70.24,1756,25
44,45,45,Pat Bates,70.25,1967,28
45,46,46,Chris DiMarco,70.26,1897,27
46,47,47,Matt Peterson,70.27,1827,26
47,48,48,Tim Herron,70.28,2038,29
48,T49,T49,Robert Gamez,70.29,1476,21
49,T49,T49,Scott Verplank,70.29,1687,24
50,T51,T51,Rich Beem,70.3,1898,27
51,T51,T51,Jay Don Blake,70.3,2320,33
52,T51,T51,David Peoples,70.3,2109,30
53,54,54,Harrison Frazar,70.32,1969,28
54,55,55,Nick Price,70.35,1196,17
55,56,56,Steve Flesch,70.43,2113,30
56,57,57,Jeff Brehaut,70.48,2044,29
57,58,58,Tommy Tolles,70.5,1410,20
58,59,59,Skip Kendall,70.53,2116,30
59,60,60,Bob Estes,70.54,1693,24
60,61,61,Rocco Mediate,70.55,1411,20
61,62,62,Kevin Sutherland,70.56,1905,27
