,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,David Toms,106,34.59,128,370
1,2,2,John Daly,62,34.48,40,116
2,3,3,José María Olazábal,71,33.73,57,169
3,4,4,Stuart Appleby,97,33.45,97,290
4,5,5,Mark Calcavecchia,84,33.33,65,195
5,6,6,Rocco Mediate,79,32.66,81,248
6,7,7,Retief Goosen,56,32.6,59,181
7,8,8,Tiger Woods,69,32.56,56,172
8,9,9,J.L. Lewis,98,32.18,112,348
9,10,10,Vijay Singh,102,32.04,107,334
10,11,11,Phil Mickelson,97,31.76,94,296
11,12,12,David Duval,78,31.63,68,215
12,T13,T13,Rod Pampling,98,31.54,88,279
13,T13,T13,Craig Parry,69,31.54,88,279
14,T15,T15,Billy Andrade,100,31.48,102,324
15,T15,T15,Stewart Cink,92,31.48,85,270
16,17,17,Davis Love III,92,31.14,90,289
17,18,18,John Huston,99,30.82,102,331
18,19,19,K.J. Choi,93,30.55,95,311
19,20,20,Craig Perks,91,30.49,68,223
20,21,21,Tim Clark,76,30.48,96,315
21,22,22,Charles Howell III,118,30.46,106,348
22,23,23,Steve Allan,93,30.25,95,314
23,24,24,Tommy Tolles,64,30.09,65,216
24,25,25,Jonathan Byrd,96,30.03,97,323
25,26,26,Shigeki Maruyama,87,29.69,76,256
26,27,27,Chad Campbell,111,29.44,116,394
27,28,28,Geoff Ogilvy,90,29.39,77,262
28,29,29,Donnie Hammond,60,29.38,62,211
29,30,30,Peter Lonard,93,29.25,86,294
30,31,31,Kenny Perry,98,29.18,96,329
31,32,32,Pat Perez,89,29.13,74,254
32,33,33,Brian Gay,117,28.82,117,406
33,34,34,Duffy Waldorf,90,28.71,87,303
34,35,35,John Rollins,124,28.7,132,460
35,36,36,Paul Stankowski,100,28.33,85,300
36,37,37,Carl Paulson,84,28.26,91,322
37,38,38,Scott Verplank,93,28.22,81,287
38,39,39,Greg Chalmers,94,28.04,76,271
39,T40,T40,Kent Jones,105,27.94,107,383
40,T40,T40,John Riegger,88,27.94,95,340
41,42,42,Steve Pate,64,27.84,54,194
42,43,43,Brad Faxon,93,27.82,74,266
43,44,44,Robert Allenby,96,27.79,97,349
44,45,45,Stephen Ames,89,27.78,70,252
45,46,46,Fred Funk,106,27.68,124,448
46,T47,T47,John Cook,85,27.64,68,246
47,T47,T47,Jim Furyk,88,27.64,76,275
48,49,49,Ben Crane,91,27.56,78,283
49,50,50,Rich Beem,99,27.53,87,316
50,51,51,David Morland IV,58,27.51,63,229
51,52,52,J.P. Hayes,78,27.5,66,240
52,53,53,Tim Petrovic,92,27.46,81,295
53,54,54,Steve Lowery,98,27.41,91,332
54,55,55,Tim Herron,102,27.36,84,307
55,56,56,Robert Damron,85,27.33,85,311
56,57,57,Cameron Beckman,87,27.17,72,265
57,T58,T58,Scott Hoch,71,27.06,59,218
58,T58,T58,Rory Sabbatini,69,27.06,46,170
59,60,60,Phil Tataurangi,88,27.04,73,270
60,61,61,Bernhard Langer,55,26.92,35,130
61,T62,T62,Matt Kuchar,82,26.91,74,275
62,T62,T62,Chris Smith,103,26.91,88,327
63,64,64,Dan Forsman,83,26.88,86,320
64,65,65,Paul Gow,99,26.8,93,347
65,66,66,Joey Sindelar,104,26.76,99,370
66,67,67,Joe Durant,87,26.67,80,300
67,68,68,Chris DiMarco,111,26.56,85,320
68,69,69,Grant Waite,98,26.55,90,339
69,70,70,Joel Edwards,101,26.53,104,392
70,71,71,Bo Van Pelt,78,26.52,74,279
71,72,72,Lee Janzen,101,26.49,80,302
72,73,73,Bart Bryant,69,26.47,72,272
73,74,74,Jeff Brehaut,87,26.45,91,344
74,75,75,John Senden,96,26.43,74,280
75,76,76,Garrett Willis,80,26.39,71,269
76,77,77,Ernie Els,68,26.37,53,201
77,78,78,Craig Barlow,62,26.36,63,239
78,79,79,Jay Williamson,91,26.35,93,353
79,80,80,Harrison Frazar,88,26.28,72,274
80,81,81,Scott McCarron,106,26.25,79,301
81,82,82,Skip Kendall,103,26.2,93,355
82,83,83,Brett Wetterich,89,26.16,79,302
83,84,84,Glen Hnatiuk,95,26.08,103,395
84,85,85,Frank Lickliter II,94,25.95,75,289
85,86,86,Jeff Gove,89,25.88,88,340
86,T87,T87,Bryce Molder,65,25.87,67,259
87,T87,T87,Boo Weekley,57,25.87,52,201
88,89,89,Jerry Kelly,99,25.86,83,321
89,90,90,Notah Begay III,76,25.73,88,342
90,91,91,Michael Allen,76,25.69,56,218
91,92,92,Robin Freeman,79,25.6,64,250
92,93,93,Jay Haas,83,25.58,66,258
93,94,94,Steve Flesch,110,25.57,79,309
94,T95,T95,Bob Estes,93,25.55,82,321
95,T95,T95,Ian Leggatt,97,25.55,81,317
96,97,97,Jonathan Kaye,83,25.48,79,310
97,98,98,Michael Long,71,25.46,69,271
98,99,99,Andrew Magee,91,25.39,65,256
99,100,100,Brenden Pappas,62,25.38,50,197
100,101,101,Brett Quigley,93,25.34,75,296
101,T102,T102,Paul Azinger,69,25.32,39,154
102,T102,T102,Tom Pernice Jr.,101,25.32,80,316
103,104,104,Jeff Sluman,118,25.3,105,415
104,105,105,Brandt Jobe,94,25.29,87,344
105,106,106,Shaun Micheel,100,25.21,89,353
106,107,107,Pat Bates,94,25.14,89,354
107,108,108,Mike Weir,94,25.09,67,267
