,Back_9_Lowest_Round_RANK THIS WEEK,Back_9_Lowest_Round_RANK LAST WEEK,Back_9_Lowest_Round_PLAYER NAME,Back_9_Lowest_Round_ROUNDS,Back_9_Lowest_Round_LOW RND
0,T1,T1,Robert Allenby,96,29
1,T1,T1,Rich Beem,99,29
2,T1,T1,Notah Begay III,76,29
3,T1,T1,Robin Freeman,79,29
4,T1,T1,Paul Gow,99,29
5,T1,T1,Charles Howell III,118,29
6,T1,T1,Chris Smith,103,29
7,T1,T1,Esteban Toledo,106,29
8,T1,T1,Boo Weekley,57,29
9,T10,T10,Stephen Ames,89,30
10,T10,T10,Billy Andrade,100,30
11,T10,T10,Stuart Appleby,97,30
12,T10,T10,Briny Baird,110,30
13,T10,T10,Pat Bates,94,30
14,T10,T10,Bob Burns,99,30
15,T10,T10,Jonathan Byrd,96,30
16,T10,T10,Mark Calcavecchia,84,30
17,T10,T10,K.J. Choi,93,30
18,T10,T10,Tim Clark,76,30
19,T10,T10,José Coceres,51,30
20,T10,T10,John Cook,85,30
21,T10,T10,John Daly,62,30
22,T10,T10,Brad Elder,76,30
23,T10,T10,Steve Elkington,82,30
24,T10,T10,Ernie Els,68,30
25,T10,T10,Bob Estes,93,30
26,T10,T10,Jim Furyk,88,30
27,T10,T10,Robert Gamez,69,30
28,T10,T10,Sergio Garcia,79,30
29,T10,T10,Retief Goosen,56,30
30,T10,T10,Donnie Hammond,60,30
31,T10,T10,Dudley Hart,88,30
32,T10,T10,J.P. Hayes,78,30
33,T10,T10,Peter Jacobsen,67,30
34,T10,T10,Lee Janzen,101,30
35,T10,T10,Per-Ulrik Johansson,87,30
36,T10,T10,Matt Kuchar,82,30
37,T10,T10,Ian Leggatt,97,30
38,T10,T10,J.L. Lewis,98,30
39,T10,T10,Davis Love III,92,30
40,T10,T10,Shigeki Maruyama,87,30
41,T10,T10,Len Mattiace,106,30
42,T10,T10,Spike McRoy,69,30
43,T10,T10,Phil Mickelson,97,30
44,T10,T10,Bryce Molder,65,30
45,T10,T10,Michael Muehr,73,30
46,T10,T10,Geoff Ogilvy,90,30
47,T10,T10,Rod Pampling,98,30
48,T10,T10,Deane Pappas,90,30
49,T10,T10,Craig Parry,69,30
50,T10,T10,Pat Perez,89,30
51,T10,T10,Tim Petrovic,92,30
52,T10,T10,Brett Quigley,93,30
53,T10,T10,Chris Riley,104,30
54,T10,T10,Rory Sabbatini,69,30
55,T10,T10,Vijay Singh,102,30
56,T10,T10,Mike Sposa,111,30
57,T10,T10,Hal Sutton,74,30
58,T10,T10,Hidemichi Tanaka,104,30
59,T10,T10,Phil Tataurangi,88,30
60,T10,T10,Tommy Tolles,64,30
61,T10,T10,Scott Verplank,93,30
62,T10,T10,Mike Weir,94,30
63,T10,T10,Brett Wetterich,89,30
64,T10,T10,Jay Williamson,91,30
65,T10,T10,Richard Zokol,53,30
66,T67,T67,Steve Allan,93,31
67,T67,T67,Michael Allen,76,31
68,T67,T67,Craig Barlow,62,31
69,T67,T67,Cameron Beckman,87,31
70,T67,T67,"David Berganio, Jr.",80,31
71,T67,T67,Jay Don Blake,107,31
72,T67,T67,Jeff Brehaut,87,31
73,T67,T67,Mark Brooks,97,31
74,T67,T67,Olin Browne,107,31
75,T67,T67,Bart Bryant,69,31
