,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
0,1,1,Tiger Woods,69,+3.03,69.0,72.03
1,2,2,Vijay Singh,102,+1.95,69.76,71.71
2,3,3,Retief Goosen,56,+1.94,70.13,72.07
3,4,4,Phil Mickelson,97,+1.78,69.71,71.49
4,5,5,Ernie Els,68,+1.73,70.27,72.0
5,6,6,David Toms,106,+1.71,69.64,71.35
6,7,7,Nick Price,69,+1.62,70.05,71.67
7,8,8,Justin Leonard,97,+1.56,69.91,71.47
8,9,9,Fred Funk,106,+1.39,69.64,71.03
9,10,10,Peter Lonard,93,+1.35,70.11,71.46
10,11,11,Charles Howell III,118,+1.30,69.99,71.29
11,T12,T12,Chris DiMarco,111,+1.28,70.03,71.31
12,T12,T12,Chris Riley,104,+1.28,69.9,71.18
13,14,14,Jim Furyk,88,+1.25,70.15,71.4
14,T15,T15,Sergio Garcia,79,+1.22,70.57,71.79
15,T15,T15,Davis Love III,92,+1.22,70.21,71.43
16,17,17,John Huston,99,+1.18,70.0,71.18
17,T18,T18,Rocco Mediate,79,+1.16,70.4,71.56
18,T18,T18,Kenny Perry,98,+1.16,70.02,71.18
19,20,20,Robert Allenby,96,+1.12,70.25,71.37
20,21,21,Loren Roberts,93,+1.09,69.98,71.07
21,22,22,K.J. Choi,93,+1.06,70.56,71.62
22,23,23,Bob Estes,93,+1.04,70.37,71.41
23,24,24,Shigeki Maruyama,87,+1.03,70.68,71.71
24,25,25,Scott Hoch,71,+1.02,70.51,71.53
25,26,26,Jerry Kelly,99,+1.01,70.41,71.42
26,27,27,Scott Verplank,93,+1.00,70.22,71.22
27,28,28,Stuart Appleby,97,+.97,70.51,71.48
28,29,29,Bob Tway,103,+.94,70.38,71.32
29,30,30,Joel Edwards,101,+.92,70.14,71.06
30,31,31,Steve Flesch,110,+.90,70.65,71.55
