,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,34.54,2349,68
1,2,2,David Toms,106,34.74,3543,102
2,3,3,Fred Funk,106,34.84,3693,106
3,4,4,Retief Goosen,56,34.85,1882,54
4,5,5,Vijay Singh,102,34.89,3349,96
5,6,6,Charles Howell III,118,34.93,3912,112
6,7,7,Phil Mickelson,97,34.95,3285,94
7,8,8,Robert Allenby,96,34.97,3322,95
8,9,9,Jim Furyk,88,34.98,2973,85
9,10,10,Ernie Els,68,35.0,2170,62
10,11,11,Scott Hoch,71,35.01,2451,70
11,T12,T12,Peter Lonard,93,35.03,3258,93
12,T12,T12,David Peoples,105,35.03,3678,105
13,T14,T14,Joel Edwards,101,35.04,3539,101
14,T14,T14,Rocco Mediate,79,35.04,2628,75
15,T14,T14,Chris Riley,104,35.04,3504,100
16,17,17,Phil Tataurangi,88,35.05,2944,84
17,18,18,Robert Gamez,69,35.06,2419,69
18,19,19,Duffy Waldorf,90,35.07,3051,87
19,T20,T20,John Huston,99,35.09,3369,96
20,T20,T20,Tim Petrovic,92,35.09,3123,89
21,22,22,Rod Pampling,98,35.12,3301,94
22,T23,T23,Glen Hnatiuk,95,35.13,3267,93
23,T23,T23,Loren Roberts,93,35.13,3267,93
24,T25,T25,Craig Barlow,62,35.14,2038,58
25,T25,T25,Kenny Perry,98,35.14,3338,95
26,27,27,Justin Leonard,97,35.15,3304,94
27,T28,T28,Tim Clark,76,35.16,2567,73
28,T28,T28,Davis Love III,92,35.16,3059,87
29,T30,T30,Stephen Ames,89,35.17,3060,87
30,T30,T30,Jerry Kelly,99,35.17,3447,98
31,32,32,Stuart Appleby,97,35.18,3307,94
32,33,33,J.L. Lewis,98,35.19,3449,98
33,T34,T34,Chad Campbell,111,35.2,3837,109
34,T34,T34,Bob Estes,93,35.2,3062,87
35,T34,T34,Dan Forsman,83,35.2,2851,81
36,T34,T34,Craig Parry,69,35.2,2429,69
