,First_Tee_Early_Par_3_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_3_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_3_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_3_Scoring_Average_ROUNDS,First_Tee_Early_Par_3_Scoring_Average_AVG,First_Tee_Early_Par_3_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Vijay Singh,102,2.88,138,48
1,2,2,Ernie Els,68,2.89,127,44
2,T3,T3,Briny Baird,110,2.9,455,157
3,T3,T3,Craig Barlow,62,2.9,180,62
4,T3,T3,Davis Love III,92,2.9,261,90
5,6,6,David Peoples,105,2.91,372,128
6,T7,T7,Mike Hulbert,55,2.92,190,65
7,T7,T7,Jerry Kelly,99,2.92,222,76
8,T7,T7,Bob May,91,2.92,321,110
9,T7,T7,Jeff Sluman,118,2.92,344,118
10,11,11,Tim Clark,76,2.93,270,92
11,T12,T12,Steve Flesch,110,2.94,315,107
12,T12,T12,Loren Roberts,93,2.94,341,116
13,T14,T14,Tom Byrum,77,2.95,324,110
14,T14,T14,John Cook,85,2.95,298,101
15,T14,T14,Greg Kraft,86,2.95,325,110
16,T17,T17,Paul Gow,99,2.96,290,98
17,T17,T17,Jay Haas,83,2.96,284,96
18,T17,T17,Glen Hnatiuk,95,2.96,355,120
19,T17,T17,Steve Lowery,98,2.96,275,93
20,T21,T21,Bob Estes,93,2.97,362,122
21,T21,T21,Retief Goosen,56,2.97,113,38
22,T21,T21,Donnie Hammond,60,2.97,178,60
23,T21,T21,Michael Long,71,2.97,202,68
24,T21,T21,Bob Tway,103,2.97,273,92
25,T26,T26,Chad Campbell,111,2.98,364,122
26,T26,T26,Chris DiMarco,111,2.98,286,96
27,T28,T28,Cameron Beckman,87,2.99,266,89
28,T28,T28,Mark Brooks,97,2.99,353,118
29,T28,T28,Joel Edwards,101,2.99,347,116
30,T28,T28,Carlos Franco,107,2.99,341,114
31,T28,T28,J.J. Henry,112,2.99,443,148
32,T28,T28,Peter Lonard,93,2.99,491,164
33,T28,T28,Rocco Mediate,79,2.99,230,77
34,T28,T28,Phil Mickelson,97,2.99,251,84
35,T28,T28,Rod Pampling,98,2.99,350,117
36,T28,T28,Jesper Parnevik,85,2.99,305,102
37,T28,T28,Boo Weekley,57,2.99,200,67
38,T39,T39,Shigeki Maruyama,87,3.0,279,93
39,T39,T39,Geoff Ogilvy,90,3.0,354,118
40,T39,T39,Tom Pernice Jr.,101,3.0,312,104
41,T39,T39,Tiger Woods,69,3.0,141,47
42,T43,T43,Pat Bates,94,3.01,325,108
43,T43,T43,Olin Browne,107,3.01,418,139
44,T43,T43,Bob Burns,99,3.01,367,122
45,T43,T43,Russ Cochran,68,3.01,256,85
46,T43,T43,Fred Couples,64,3.01,265,88
47,T43,T43,Glen Day,107,3.01,469,156
48,T43,T43,Brad Faxon,93,3.01,331,110
49,T43,T43,David Frost,90,3.01,319,106
50,T43,T43,Dudley Hart,88,3.01,313,104
51,T43,T43,J.P. Hayes,78,3.01,307,102
52,T43,T43,Kent Jones,105,3.01,424,141
53,T43,T43,Jeff Maggert,83,3.01,277,92
54,T43,T43,Spike McRoy,69,3.01,229,76
55,T43,T43,Chris Riley,104,3.01,361,120
56,T43,T43,John Senden,96,3.01,337,112
57,T58,T58,Harrison Frazar,88,3.02,184,61
58,T58,T58,Pete Jordan,78,3.02,272,90
59,T58,T58,Skip Kendall,103,3.02,417,138
60,T58,T58,Neal Lancaster,101,3.02,329,109
61,T58,T58,Mark O'Meara,68,3.02,196,65
62,T58,T58,José María Olazábal,71,3.02,254,84
63,T58,T58,Steve Pate,64,3.02,251,83
64,T58,T58,Craig Stadler,72,3.02,248,82
65,T58,T58,Kevin Sutherland,96,3.02,305,101
66,T58,T58,Bo Van Pelt,78,3.02,305,101
67,T58,T58,Mike Weir,94,3.02,338,112
68,T58,T58,Jay Williamson,91,3.02,305,101
69,T70,T70,Tommy Armour III,82,3.03,385,127
70,T70,T70,Mark Calcavecchia,84,3.03,294,97
71,T70,T70,Jeff Gove,89,3.03,349,115
72,T70,T70,Peter Jacobsen,67,3.03,236,78
73,T70,T70,Lee Janzen,101,3.03,227,75
74,T70,T70,Justin Leonard,97,3.03,273,90
75,T70,T70,Joe Ogilvie,50,3.03,215,71
76,T70,T70,Pat Perez,89,3.03,318,105
77,T70,T70,Matt Peterson,80,3.03,376,124
78,T70,T70,Lee Porter,91,3.03,391,129
79,T70,T70,John Rollins,124,3.03,500,165
80,T70,T70,Tom Scherrer,98,3.03,403,133
81,T70,T70,Heath Slocum,96,3.03,273,90
82,T70,T70,Richard Zokol,53,3.03,197,65
83,T84,T84,Michael Allen,76,3.04,280,92
84,T84,T84,Ben Crane,91,3.04,292,96
85,T84,T84,Luke Donald,106,3.04,274,90
86,T84,T84,Fred Funk,106,3.04,441,145
87,T84,T84,Brent Geiberger,95,3.04,487,160
88,T84,T84,Scott Hoch,71,3.04,173,57
89,T84,T84,John Huston,99,3.04,365,120
90,T84,T84,Per-Ulrik Johansson,87,3.04,346,114
91,T84,T84,Len Mattiace,106,3.04,462,152
92,T84,T84,Michael Muehr,73,3.04,258,85
93,T84,T84,Frank Nobilo,94,3.04,429,141
94,T84,T84,Craig Perks,91,3.04,340,112
95,T84,T84,Steve Stricker,68,3.04,271,89
96,T84,T84,Scott Verplank,93,3.04,271,89
97,T98,T98,Robert Allenby,96,3.05,296,97
98,T98,T98,K.J. Choi,93,3.05,293,96
99,T98,T98,José Coceres,51,3.05,171,56
100,T98,T98,Andrew Magee,91,3.05,284,93
101,T98,T98,Bryce Molder,65,3.05,226,74
102,T98,T98,Corey Pavin,78,3.05,256,84
103,T98,T98,John Riegger,88,3.05,329,108
104,T105,T105,Jay Don Blake,107,3.06,358,117
105,T105,T105,David Duval,78,3.06,220,72
106,T105,T105,Dan Forsman,83,3.06,312,102
107,T105,T105,Sergio Garcia,79,3.06,165,54
108,T105,T105,Brian Gay,117,3.06,483,158
109,T105,T105,Matt Gogel,79,3.06,294,96
110,T105,T105,Mathew Goggin,64,3.06,291,95
111,T105,T105,Charles Howell III,118,3.06,386,126
112,T105,T105,Ian Leggatt,97,3.06,257,84
113,T105,T105,Tom Lehman,78,3.06,294,96
114,T105,T105,Gary Nicklaus,66,3.06,236,77
115,T105,T105,Phil Tataurangi,88,3.06,324,106
116,T117,T117,Billy Andrade,100,3.07,371,121
117,T117,T117,Paul Azinger,69,3.07,270,88
118,T117,T117,Robert Damron,85,3.07,368,120
119,T117,T117,Scott Dunlap,74,3.07,233,76
120,T117,T117,Robin Freeman,79,3.07,329,107
121,T117,T117,Bob Heintz,68,3.07,209,68
122,T117,T117,Jason Hill,59,3.07,178,58
123,T117,T117,Bradley Hughes,60,3.07,255,83
124,T117,T117,Tripp Isenhour,68,3.07,301,98
125,T117,T117,Franklin Langham,72,3.07,261,85
126,T117,T117,Blaine McCallister,75,3.07,328,107
127,T117,T117,Nick Price,69,3.07,221,72
128,T117,T117,Scott Simpson,61,3.07,249,81
129,T117,T117,Grant Waite,98,3.07,433,141
130,T131,T131,Michael Clark II,97,3.08,286,93
131,T131,T131,David Gossett,95,3.08,336,109
132,T131,T131,Brian Henninger,66,3.08,293,95
133,T131,T131,Shaun Micheel,100,3.08,286,93
134,T131,T131,Dennis Paulson,89,3.08,271,88
135,T131,T131,Kenny Perry,98,3.08,391,127
136,T131,T131,Kirk Triplett,84,3.08,222,72
137,T131,T131,Duffy Waldorf,90,3.08,363,118
138,T139,T139,Steve Allan,93,3.09,358,116
139,T139,T139,Stephen Ames,89,3.09,312,101
140,T139,T139,Stuart Appleby,97,3.09,287,93
141,T139,T139,Bart Bryant,69,3.09,278,90
142,T139,T139,Brandel Chamblee,85,3.09,365,118
143,T139,T139,Joe Durant,87,3.09,253,82
144,T139,T139,Jim Furyk,88,3.09,238,77
145,T139,T139,Steve Jones,71,3.09,238,77
146,T139,T139,J.L. Lewis,98,3.09,466,151
147,T139,T139,Billy Mayfair,99,3.09,432,140
148,T139,T139,Deane Pappas,90,3.09,306,99
149,T139,T139,Craig Parry,69,3.09,210,68
150,T139,T139,Dicky Pride,51,3.09,235,76
151,T139,T139,Brett Quigley,93,3.09,408,132
152,T139,T139,Mike Sposa,111,3.09,534,173
153,T139,T139,David Toms,106,3.09,253,82
154,T155,T155,Fulton Allem,64,3.1,239,77
155,T155,T155,Woody Austin,102,3.1,372,120
156,T155,T155,John Daly,62,3.1,189,61
157,T155,T155,Edward Fryatt,94,3.1,301,97
158,T155,T155,Scott McCarron,106,3.1,254,82
159,T160,T160,Jim Carter,98,3.11,386,124
160,T160,T160,Greg Chalmers,94,3.11,389,125
161,T160,T160,Robert Gamez,69,3.11,218,70
162,T160,T160,Tim Herron,102,3.11,314,101
163,T160,T160,Brenden Pappas,62,3.11,289,93
164,T160,T160,Rory Sabbatini,69,3.11,177,57
165,T160,T160,Paul Stankowski,100,3.11,429,138
166,T160,T160,Kaname Yokoo,74,3.11,255,82
167,T168,T168,Brian Bateman,94,3.12,406,130
168,T168,T168,"David Berganio, Jr.",80,3.12,318,102
169,T168,T168,Stewart Cink,92,3.12,265,85
170,T168,T168,Jess Daley,76,3.12,381,122
171,T168,T168,Steve Elkington,82,3.12,303,97
172,T168,T168,Miguel Angel Jiménez,60,3.12,212,68
173,T168,T168,Tim Petrovic,92,3.12,359,115
174,T168,T168,Chris Smith,103,3.12,303,97
175,T168,T168,Hidemichi Tanaka,104,3.12,349,112
176,T168,T168,Esteban Toledo,106,3.12,287,92
177,T178,T178,Jeff Brehaut,87,3.13,319,102
178,T178,T178,Paul Goydos,66,3.13,269,86
179,T178,T178,Brett Wetterich,89,3.13,341,109
180,T181,T181,Paul Claxton,83,3.14,339,108
181,T181,T181,Brad Elder,76,3.14,336,107
182,T181,T181,Joey Sindelar,104,3.14,305,97
183,T181,T181,Kenneth Staton,104,3.14,405,129
184,T185,T185,Jonathan Byrd,96,3.15,353,112
185,T185,T185,Stephen Gangluff,75,3.15,255,81
186,T185,T185,Brandt Jobe,94,3.15,321,102
187,T185,T185,Frank Lickliter II,94,3.15,334,106
188,T189,T189,David Morland IV,58,3.16,221,70
189,T189,T189,Hal Sutton,74,3.16,259,82
190,T189,T189,Garrett Willis,80,3.16,452,143
191,T192,T192,Rich Beem,99,3.17,346,109
192,T192,T192,Brad Lardon,59,3.17,241,76
193,T192,T192,Jerry Smith,91,3.17,409,129
194,195,195,Notah Begay III,76,3.18,305,96
195,196,196,Matt Kuchar,82,3.19,322,101
196,197,197,Bernhard Langer,55,3.2,205,64
197,T198,T198,Jonathan Kaye,83,3.21,218,68
198,T198,T198,Tommy Tolles,64,3.21,234,73
199,200,200,Brian Watts,58,3.24,288,89
200,201,201,Carl Paulson,84,3.29,332,101
201,202,202,Eduardo Herrera,59,3.45,228,66
