,Final_Round_Performance_RANK THIS WEEK,Final_Round_Performance_RANK LAST WEEK,Final_Round_Performance_PLAYER NAME,Final_Round_Performance_EVENTS,Final_Round_Performance_%
0,1,1,Tiger Woods,18,88.24
1,2,2,Nick Price,18,87.5
2,3,3,Retief Goosen,15,84.62
3,4,4,Davis Love III,26,84.21
4,5,5,Phil Mickelson,26,81.82
5,6,6,José María Olazábal,20,78.57
6,7,7,John Huston,26,77.27
7,8,8,Robert Gamez,21,76.92
8,9,9,Brent Geiberger,29,76.47
9,T10,T10,Ben Crane,30,75.0
10,T10,T10,Dan Forsman,25,75.0
11,12,12,K.J. Choi,27,73.68
12,13,13,Charles Howell III,32,73.08
13,T14,T14,Stewart Cink,27,72.22
14,T14,T14,Dudley Hart,26,72.22
15,T16,T16,Matt Kuchar,27,71.43
16,T16,T16,Corey Pavin,24,71.43
17,T16,T16,Tim Petrovic,31,71.43
18,19,19,David Toms,27,70.83
19,20,20,John Rollins,34,70.37
20,21,21,Jess Daley,27,70.0
21,22,22,"David Berganio, Jr.",30,69.23
22,T23,T23,Stephen Ames,28,68.75
23,T23,T23,Frank Nobilo,30,68.75
24,25,25,Glen Hnatiuk,28,68.42
25,T26,T26,Michael Allen,29,66.67
26,T26,T26,John Cook,25,66.67
27,T26,T26,Brian Gay,34,66.67
28,T26,T26,Jay Haas,24,66.67
29,T26,T26,Michael Long,27,66.67
30,T26,T26,Dicky Pride,16,66.67
31,T26,T26,Jerry Smith,33,66.67
32,T26,T26,Steve Stricker,22,66.67
33,T26,T26,Richard Zokol,20,66.67
34,35,35,Stuart Appleby,28,65.0
35,36,36,John Senden,30,64.71
36,T37,T37,Greg Chalmers,31,64.29
37,T37,T37,J.P. Hayes,24,64.29
38,T37,T37,Pat Perez,30,64.29
39,T37,T37,Tom Scherrer,34,64.29
40,T37,T37,Kenneth Staton,36,64.29
41,T42,T42,Notah Begay III,26,63.64
42,T42,T42,John Daly,21,63.64
43,T42,T42,Edward Fryatt,34,63.64
44,T42,T42,David Peoples,30,63.64
45,T46,T46,Jay Don Blake,34,63.16
46,T46,T46,Bob Estes,26,63.16
47,T46,T46,Rod Pampling,29,63.16
48,T46,T46,Joey Sindelar,32,63.16
49,T50,T50,Steve Elkington,23,62.5
50,T50,T50,Ernie Els,18,62.5
51,T50,T50,Fred Funk,29,62.5
52,T53,T53,Robert Allenby,27,61.9
53,T53,T53,Mike Sposa,34,61.9
54,T55,T55,Paul Claxton,29,61.54
55,T55,T55,Matt Gogel,25,61.54
56,T55,T55,Paul Goydos,20,61.54
57,T55,T55,Dennis Paulson,30,61.54
58,T59,T59,Billy Andrade,31,61.11
59,T59,T59,Jim Furyk,25,61.11
60,T61,T61,Luke Donald,30,60.87
61,T61,T61,Peter Lonard,24,60.87
62,T61,T61,Vijay Singh,28,60.87
63,T64,T64,Jonathan Byrd,32,60.0
64,T64,T64,Tom Byrum,23,60.0
65,T64,T64,Chris DiMarco,29,60.0
66,T64,T64,Brad Faxon,25,60.0
67,T64,T64,David Frost,29,60.0
68,T64,T64,Stephen Gangluff,27,60.0
69,T64,T64,Jonathan Kaye,27,60.0
70,T64,T64,Shaun Micheel,30,60.0
71,T64,T64,Boo Weekley,24,60.0
72,73,73,Joel Edwards,28,59.09
73,T74,T74,Brian Henninger,20,58.33
74,T74,T74,Bernhard Langer,16,58.33
75,T76,T76,Rich Beem,30,57.89
76,T76,T76,Tom Pernice Jr.,31,57.89
77,T76,T76,Phil Tataurangi,25,57.89
78,T79,T79,Robert Damron,28,57.14
79,T79,T79,Lee Janzen,29,57.14
80,T79,T79,Brian Watts,21,57.14
81,82,82,Pat Bates,29,56.25
82,83,83,Len Mattiace,28,56.0
83,T84,T84,Craig Barlow,22,55.56
84,T84,T84,Bob Burns,30,55.56
85,T84,T84,Sergio Garcia,21,55.56
86,T84,T84,Blaine McCallister,27,55.56
87,T84,T84,Mark O'Meara,24,55.56
88,89,89,Shigeki Maruyama,24,55.0
89,T90,T90,Glen Day,31,54.55
90,T90,T90,Carlos Franco,31,54.55
91,T90,T90,Justin Leonard,26,54.55
92,T90,T90,Deane Pappas,34,54.55
93,94,94,Tommy Armour III,30,53.85
94,T95,T95,Mark Calcavecchia,25,53.33
95,T95,T95,Harrison Frazar,28,53.33
96,T95,T95,Bob May,30,53.33
97,T95,T95,Heath Slocum,32,53.33
98,T99,T99,Geoff Ogilvy,27,52.94
99,T99,T99,Craig Perks,28,52.94
100,101,101,Olin Browne,33,52.63
101,T102,T102,Chad Campbell,34,52.38
102,T102,T102,Steve Flesch,32,52.38
103,T102,T102,J.J. Henry,34,52.38
104,T102,T102,Loren Roberts,25,52.38
105,T102,T102,Mike Weir,25,52.38
106,107,107,Chris Riley,28,52.17
107,T108,T108,Fulton Allem,26,50.0
108,T108,T108,Paul Azinger,20,50.0
109,T108,T108,Briny Baird,33,50.0
110,T108,T108,Jeff Brehaut,29,50.0
111,T108,T108,Mark Brooks,32,50.0
