,Late_Par_3_Scoring_Average_RANK THIS WEEK,Late_Par_3_Scoring_Average_RANK LAST WEEK,Late_Par_3_Scoring_Average_PLAYER NAME,Late_Par_3_Scoring_Average_ROUNDS,Late_Par_3_Scoring_Average_AVG,Late_Par_3_Scoring_Average_TOTAL STROKES,Late_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Scott Hoch,71,2.87,362,126
1,T2,T2,K.J. Choi,93,2.96,557,188
2,T2,T2,Matt Kuchar,82,2.96,447,151
3,T2,T2,Loren Roberts,93,2.96,578,195
4,T5,T5,Jonathan Kaye,83,2.97,439,148
5,T5,T5,Geoff Ogilvy,90,2.97,442,149
6,T5,T5,Joey Sindelar,104,2.97,593,200
7,T8,T8,Pat Bates,94,2.98,507,170
8,T8,T8,Jim Furyk,88,2.98,525,176
9,T8,T8,Pete Jordan,78,2.98,435,146
10,T8,T8,Nick Price,69,2.98,370,124
11,T8,T8,Jeff Sluman,118,2.98,706,237
12,T8,T8,Tiger Woods,69,2.98,396,133
13,T14,T14,Robert Allenby,96,2.99,499,167
14,T14,T14,Glen Day,107,2.99,580,194
15,T14,T14,Ernie Els,68,2.99,311,104
16,T14,T14,Bob Estes,93,2.99,401,134
17,T14,T14,Dan Forsman,83,2.99,569,190
18,T14,T14,Brent Geiberger,95,2.99,499,167
19,T14,T14,Tom Pernice Jr.,101,2.99,520,174
20,T14,T14,Kenny Perry,98,2.99,557,186
21,T14,T14,Kirk Triplett,84,2.99,472,158
22,T14,T14,Scott Verplank,93,2.99,542,181
23,T24,T24,Bob Burns,99,3.0,599,200
24,T24,T24,Brandel Chamblee,85,3.0,495,165
25,T24,T24,David Duval,78,3.0,411,137
26,T24,T24,Dudley Hart,88,3.0,471,157
27,T24,T24,Matt Peterson,80,3.0,450,150
28,T24,T24,Esteban Toledo,106,3.0,626,209
29,T24,T24,David Toms,106,3.0,683,228
30,T31,T31,Brad Faxon,93,3.01,391,130
31,T31,T31,Fred Funk,106,3.01,639,212
32,T31,T31,Stephen Gangluff,75,3.01,415,138
33,T31,T31,Brian Gay,117,3.01,615,204
34,T31,T31,Matt Gogel,79,3.01,412,137
35,T31,T31,Jay Haas,83,3.01,508,169
36,T31,T31,Tim Herron,102,3.01,556,185
37,T31,T31,Ian Leggatt,97,3.01,586,195
38,T31,T31,J.L. Lewis,98,3.01,508,169
39,T31,T31,Shigeki Maruyama,87,3.01,451,150
40,T31,T31,Bob May,91,3.01,502,167
41,T31,T31,Phil Mickelson,97,3.01,632,210
42,T31,T31,Mark O'Meara,68,3.01,313,104
43,T31,T31,Jesper Parnevik,85,3.01,418,139
44,T31,T31,Dicky Pride,51,3.01,247,82
45,T31,T31,Brett Quigley,93,3.01,514,171
46,T31,T31,Chris Riley,104,3.01,566,188
47,T48,T48,Woody Austin,102,3.02,544,180
48,T48,T48,Jim Carter,98,3.02,489,162
