,Back_9_Par_5_Scoring_Average_RANK THIS WEEK,Back_9_Par_5_Scoring_Average_RANK LAST WEEK,Back_9_Par_5_Scoring_Average_PLAYER NAME,Back_9_Par_5_Scoring_Average_ROUNDS,Back_9_Par_5_Scoring_Average_AVG,Back_9_Par_5_Scoring_Average_TOTAL STROKES,Back_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Tiger Woods,69,4.39,536,122
1,2,2,Jonathan Byrd,96,4.47,720,161
2,T3,T3,Fred Couples,64,4.5,477,106
3,T3,T3,John Daly,62,4.5,499,111
4,T3,T3,Retief Goosen,56,4.5,423,94
5,6,6,David Toms,106,4.51,775,172
6,T7,T7,Charles Howell III,118,4.52,873,193
7,T7,T7,Rocco Mediate,79,4.52,624,138
8,T7,T7,José María Olazábal,71,4.52,511,113
9,10,10,Robert Allenby,96,4.53,715,158
10,11,11,Craig Parry,69,4.54,554,122
11,12,12,Peter Lonard,93,4.55,706,155
12,T13,T13,Michael Allen,76,4.56,565,124
13,T13,T13,Sergio Garcia,79,4.56,515,113
14,T13,T13,Duffy Waldorf,90,4.56,679,149
15,T16,T16,Notah Begay III,76,4.57,553,121
16,T16,T16,J.L. Lewis,98,4.57,813,178
17,T16,T16,David Peoples,105,4.57,840,184
18,T19,T19,Davis Love III,92,4.58,651,142
19,T19,T19,Shigeki Maruyama,87,4.58,664,145
20,T21,T21,Tim Petrovic,92,4.59,702,153
21,T21,T21,John Rollins,124,4.59,959,209
22,T21,T21,Steve Stricker,68,4.59,510,111
23,T24,T24,Rich Beem,99,4.6,746,162
24,T24,T24,Tim Clark,76,4.6,571,124
25,T24,T24,Dan Forsman,83,4.6,686,149
26,T24,T24,Justin Leonard,97,4.6,717,156
27,T24,T24,Kenny Perry,98,4.6,778,169
28,T24,T24,John Senden,96,4.6,741,161
29,T24,T24,Vijay Singh,102,4.6,773,168
30,T31,T31,Briny Baird,110,4.61,849,184
31,T31,T31,Chris DiMarco,111,4.61,849,184
32,T31,T31,Jim Furyk,88,4.61,678,147
33,T31,T31,Paul Stankowski,100,4.61,784,170
34,T35,T35,Stuart Appleby,97,4.62,771,167
35,T35,T35,Brad Elder,76,4.62,568,123
36,T35,T35,Robin Freeman,79,4.62,587,127
37,T35,T35,Fred Funk,106,4.62,822,178
38,T35,T35,Jay Haas,83,4.62,610,132
39,T35,T35,John Huston,99,4.62,794,172
40,T41,T41,John Cook,85,4.63,676,146
41,T41,T41,Joel Edwards,101,4.63,820,177
42,T41,T41,Brian Gay,117,4.63,925,200
43,T41,T41,Jerry Kelly,99,4.63,783,169
44,T41,T41,Ian Leggatt,97,4.63,722,156
45,T41,T41,Phil Mickelson,97,4.63,741,160
46,T41,T41,Dennis Paulson,89,4.63,718,155
47,T41,T41,Tommy Tolles,64,4.63,505,109
48,T41,T41,Grant Waite,98,4.63,769,166
49,T41,T41,Jay Williamson,91,4.63,727,157
50,T51,T51,Billy Andrade,100,4.64,775,167
51,T51,T51,Pat Bates,94,4.64,701,151
52,T51,T51,"David Berganio, Jr.",80,4.64,663,143
53,T51,T51,Mark Calcavecchia,84,4.64,627,135
54,T51,T51,Stewart Cink,92,4.64,724,156
55,T51,T51,Ernie Els,68,4.64,450,97
56,T51,T51,Carlos Franco,107,4.64,877,189
57,T51,T51,Rod Pampling,98,4.64,802,173
58,T51,T51,Jesper Parnevik,85,4.64,677,146
59,T60,T60,Brian Bateman,94,4.65,721,155
60,T60,T60,Chad Campbell,111,4.65,907,195
61,T60,T60,Bob Estes,93,4.65,651,140
62,T60,T60,Brad Faxon,93,4.65,683,147
63,T60,T60,Steve Flesch,110,4.65,856,184
64,T60,T60,Scott Hoch,71,4.65,511,110
65,T60,T60,Lee Janzen,101,4.65,782,168
66,T60,T60,Jonathan Kaye,83,4.65,619,133
67,T60,T60,Michael Long,71,4.65,591,127
68,T60,T60,Scott McCarron,106,4.65,804,173
69,T60,T60,Bob Tway,103,4.65,796,171
70,T60,T60,Scott Verplank,93,4.65,754,162
71,T72,T72,Jeff Brehaut,87,4.66,703,151
72,T72,T72,Jim Carter,98,4.66,769,165
73,T72,T72,Jess Daley,76,4.66,587,126
74,T72,T72,Brandt Jobe,94,4.66,732,157
75,T72,T72,Geoff Ogilvy,90,4.66,709,152
76,T72,T72,Craig Stadler,72,4.66,554,119
77,T72,T72,Phil Tataurangi,88,4.66,610,131
78,T72,T72,Brett Wetterich,89,4.66,704,151
79,T80,T80,Ben Crane,91,4.67,724,155
80,T80,T80,Donnie Hammond,60,4.67,458,98
81,T80,T80,Per-Ulrik Johansson,87,4.67,701,150
82,T80,T80,Bob May,91,4.67,724,155
83,T80,T80,Pat Perez,89,4.67,705,151
84,T80,T80,Nick Price,69,4.67,490,105
85,T80,T80,Rory Sabbatini,69,4.67,528,113
86,T80,T80,Tom Scherrer,98,4.67,757,162
87,T80,T80,Kirk Triplett,84,4.67,649,139
88,T80,T80,Bo Van Pelt,78,4.67,616,132
89,T90,T90,Steve Allan,93,4.68,707,151
90,T90,T90,Craig Barlow,62,4.68,440,94
91,T90,T90,Cameron Beckman,87,4.68,683,146
92,T90,T90,Harrison Frazar,88,4.68,716,153
93,T90,T90,Brent Geiberger,95,4.68,730,156
94,T90,T90,Bob Heintz,68,4.68,548,117
95,T90,T90,J.J. Henry,112,4.68,861,184
96,T90,T90,Tim Herron,102,4.68,773,165
97,T90,T90,Tripp Isenhour,68,4.68,520,111
98,T90,T90,Steve Lowery,98,4.68,758,162
99,T90,T90,Len Mattiace,106,4.68,814,174
100,T90,T90,Boo Weekley,57,4.68,454,97
101,T102,T102,Bart Bryant,69,4.69,568,121
102,T102,T102,Bob Burns,99,4.69,778,166
103,T102,T102,K.J. Choi,93,4.69,731,156
104,T102,T102,Michael Clark II,97,4.69,755,161
105,T102,T102,David Duval,78,4.69,619,132
106,T102,T102,J.P. Hayes,78,4.69,610,130
107,T102,T102,Andrew Magee,91,4.69,732,156
108,T102,T102,Billy Mayfair,99,4.69,745,159
109,T102,T102,Shaun Micheel,100,4.69,760,162
110,T102,T102,Mike Sposa,111,4.69,859,183
111,T112,T112,Woody Austin,102,4.7,789,168
112,T112,T112,Paul Azinger,69,4.7,536,114
113,T112,T112,Steve Elkington,82,4.7,611,130
