,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,J.P. Hayes,78,61
1,T1,T1,John Huston,99,61
2,T3,T3,Joel Edwards,101,62
3,T3,T3,Sergio Garcia,79,62
4,T3,T3,Retief Goosen,56,62
5,T3,T3,Charles Howell III,118,62
6,T3,T3,Lee Janzen,101,62
7,T3,T3,Matt Peterson,80,62
8,T3,T3,Phil Tataurangi,88,62
9,T10,T10,Jonathan Byrd,96,63
10,T10,T10,Joe Durant,87,63
11,T10,T10,David Duval,78,63
12,T10,T10,Fred Funk,106,63
13,T10,T10,Hank Kuehne,19,63
14,T10,T10,Shigeki Maruyama,87,63
15,T10,T10,Billy Mayfair,99,63
16,T10,T10,Phil Mickelson,97,63
17,T10,T10,Deane Pappas,90,63
18,T10,T10,Brett Quigley,93,63
19,T10,T10,Jeff Sluman,118,63
20,T10,T10,Chris Smith,103,63
21,T10,T10,Esteban Toledo,106,63
22,T10,T10,David Toms,106,63
23,T10,T10,Scott Verplank,93,63
24,T10,T10,Tiger Woods,69,63
25,T26,T26,Craig Barlow,62,64
26,T26,T26,Michael Campbell,31,64
27,T26,T26,K.J. Choi,93,64
28,T26,T26,Fred Couples,64,64
29,T26,T26,Chris DiMarco,111,64
30,T26,T26,Steve Elkington,82,64
31,T26,T26,Steve Flesch,110,64
32,T26,T26,Dan Forsman,83,64
33,T26,T26,Jim Furyk,88,64
34,T26,T26,Mathew Goggin,64,64
35,T26,T26,David Gossett,95,64
36,T26,T26,Neal Lancaster,101,64
37,T26,T26,Ian Leggatt,97,64
38,T26,T26,J.L. Lewis,98,64
39,T26,T26,Frank Lickliter II,94,64
40,T26,T26,Steve Lowery,98,64
41,T26,T26,Andrew Magee,91,64
42,T26,T26,Len Mattiace,106,64
43,T26,T26,Scott McCarron,106,64
44,T26,T26,Shaun Micheel,100,64
45,T26,T26,Geoff Ogilvy,90,64
46,T26,T26,Carl Paulson,84,64
47,T26,T26,Kenny Perry,98,64
48,T26,T26,Loren Roberts,93,64
49,T26,T26,Dave Rummells,12,64
50,T26,T26,Heath Slocum,96,64
51,T26,T26,Kenneth Staton,104,64
52,T26,T26,Hidemichi Tanaka,104,64
53,T26,T26,Kirk Triplett,84,64
54,T26,T26,Grant Waite,98,64
55,T26,T26,Kaname Yokoo,74,64
56,T57,T57,Steve Allan,93,65
57,T57,T57,Robert Allenby,96,65
58,T57,T57,Tommy Armour III,82,65
59,T57,T57,Doug Barron,17,65
60,T57,T57,Notah Begay III,76,65
61,T57,T57,Jay Don Blake,107,65
62,T57,T57,Mark Brooks,97,65
63,T57,T57,Bob Burns,99,65
64,T57,T57,Chad Campbell,111,65
65,T57,T57,Jim Carter,98,65
66,T57,T57,Greg Chalmers,94,65
67,T57,T57,Brandel Chamblee,85,65
68,T57,T57,Stewart Cink,92,65
69,T57,T57,Tim Clark,76,65
70,T57,T57,John Cook,85,65
71,T57,T57,Ben Crane,91,65
72,T57,T57,John Daly,62,65
73,T57,T57,Robert Damron,85,65
74,T57,T57,Todd Doohan,4,65
75,T57,T57,Brad Elder,76,65
76,T57,T57,Harrison Frazar,88,65
77,T57,T57,David Frost,90,65
78,T57,T57,Robert Gamez,69,65
79,T57,T57,Kelly Gibson,40,65
80,T57,T57,Dudley Hart,88,65
81,T57,T57,Mike Heinen,49,65
82,T57,T57,Brian Henninger,66,65
83,T57,T57,J.J. Henry,112,65
84,T57,T57,Tim Herron,102,65
85,T57,T57,Glen Hnatiuk,95,65
86,T57,T57,Scott Hoch,71,65
87,T57,T57,Tripp Isenhour,68,65
88,T57,T57,Brandt Jobe,94,65
89,T57,T57,Per-Ulrik Johansson,87,65
90,T57,T57,Kent Jones,105,65
91,T57,T57,Jonathan Kaye,83,65
92,T57,T57,Jerry Kelly,99,65
93,T57,T57,Skip Kendall,103,65
94,T57,T57,Justin Leonard,97,65
95,T57,T57,Peter Lonard,93,65
96,T57,T57,Davis Love III,92,65
97,T57,T57,Bob May,91,65
98,T57,T57,Spike McRoy,69,65
99,T57,T57,Rocco Mediate,79,65
100,T57,T57,Greg Norman,45,65
101,T57,T57,José María Olazábal,71,65
102,T57,T57,Rod Pampling,98,65
103,T57,T57,Jesper Parnevik,85,65
104,T57,T57,Craig Parry,69,65
