,Sub-Par_Rounds_RANK THIS WEEK,Sub-Par_Rounds_RANK LAST WEEK,Sub-Par_Rounds_PLAYER NAME,Sub-Par_Rounds_EVENTS
0,1,1,John Rollins,34
1,T2,T2,Fred Funk,29
2,T2,T2,Brian Gay,34
3,T4,T4,Charles Howell III,32
4,T4,T4,Chris Riley,28
5,T4,T4,Vijay Singh,28
6,T4,T4,David Toms,27
7,T8,T8,Joel Edwards,28
8,T8,T8,Jeff Sluman,32
9,T10,T10,Olin Browne,33
10,T10,T10,John Huston,26
11,T10,T10,David Peoples,30
12,13,13,Bob Tway,28
13,14,14,Len Mattiace,28
14,T15,T15,Chris DiMarco,29
15,T15,T15,Justin Leonard,26
16,T15,T15,Phil Mickelson,26
17,T15,T15,Joey Sindelar,32
18,T15,T15,Hidemichi Tanaka,31
19,20,20,Chad Campbell,34
20,T21,T21,Briny Baird,33
21,T21,T21,Glen Hnatiuk,28
22,T21,T21,Loren Roberts,25
23,T24,T24,Stuart Appleby,28
24,T24,T24,Glen Day,31
25,T24,T24,Jerry Kelly,29
26,T27,T27,Jay Don Blake,34
27,T27,T27,Jonathan Byrd,32
28,T27,T27,Luke Donald,30
29,T27,T27,Carlos Franco,31
30,T27,T27,Kent Jones,33
31,T27,T27,Shaun Micheel,30
32,T27,T27,Kenny Perry,27
33,T34,T34,Robert Allenby,27
34,T34,T34,Bob Burns,30
35,T34,T34,K.J. Choi,27
36,T34,T34,Jim Furyk,25
37,T34,T34,J.J. Henry,34
38,T34,T34,Lee Janzen,29
39,T34,T34,Peter Lonard,24
40,T34,T34,Frank Nobilo,30
41,T34,T34,Scott Verplank,26
42,43,43,Chris Smith,30
43,T44,T44,Rich Beem,30
44,T44,T44,Ben Crane,30
45,T44,T44,Bob Estes,26
46,T44,T44,Tim Herron,30
47,T44,T44,Skip Kendall,31
48,T44,T44,J.L. Lewis,31
49,T50,T50,Steve Flesch,32
50,T50,T50,Brandt Jobe,28
51,T50,T50,John Senden,30
52,T50,T50,Tiger Woods,18
53,T54,T54,Pat Bates,29
54,T54,T54,Mike Weir,25
55,T56,T56,Billy Andrade,31
56,T56,T56,Dan Forsman,25
57,T56,T56,Brent Geiberger,29
58,T56,T56,Steve Lowery,28
59,T56,T56,Bob May,30
60,T56,T56,Scott McCarron,28
61,T56,T56,Rod Pampling,29
62,T56,T56,Tom Pernice Jr.,31
63,T56,T56,Mike Sposa,34
64,T56,T56,Grant Waite,31
65,T66,T66,Jim Carter,29
66,T66,T66,David Gossett,29
67,T66,T66,Neal Lancaster,31
68,T66,T66,Ian Leggatt,29
69,T66,T66,Duffy Waldorf,27
70,T71,T71,Stewart Cink,27
71,T71,T71,Davis Love III,26
72,T73,T73,Steve Allan,30
73,T73,T73,Woody Austin,36
74,T73,T73,Greg Chalmers,31
75,T73,T73,Brad Faxon,25
76,T73,T73,Per-Ulrik Johansson,27
77,T73,T73,Pat Perez,30
78,T73,T73,Paul Stankowski,31
79,T73,T73,Esteban Toledo,32
80,T81,T81,Stephen Ames,28
81,T81,T81,Harrison Frazar,28
82,T81,T81,Frank Lickliter II,30
83,T81,T81,Shigeki Maruyama,24
84,T81,T81,Billy Mayfair,31
85,T81,T81,Geoff Ogilvy,27
86,T81,T81,Tim Petrovic,31
87,T81,T81,Phil Tataurangi,25
88,T89,T89,Brian Bateman,31
89,T89,T89,Cameron Beckman,26
90,T89,T89,Michael Clark II,33
91,T89,T89,Dudley Hart,26
92,T89,T89,Rocco Mediate,23
93,T89,T89,Tom Scherrer,34
94,T89,T89,Kevin Sutherland,28
95,T96,T96,John Cook,25
96,T96,T96,John Riegger,29
97,T96,T96,Kirk Triplett,25
98,T96,T96,Jay Williamson,30
99,T100,T100,Andrew Magee,28
100,T100,T100,Heath Slocum,32
101,T100,T100,Kenneth Staton,36
102,T103,T103,Mark Calcavecchia,25
103,T103,T103,David Duval,24
104,T103,T103,Jeff Gove,30
105,T103,T103,Dennis Paulson,30
106,T103,T103,Craig Perks,28
107,T103,T103,Brett Quigley,32
108,T109,T109,Joe Durant,28
109,T109,T109,Steve Elkington,23
110,T109,T109,Sergio Garcia,21
111,T109,T109,J.P. Hayes,24
112,T109,T109,Scott Hoch,21
113,T109,T109,Matt Kuchar,27
114,T109,T109,Nick Price,18
115,T116,T116,Jonathan Kaye,27
116,T116,T116,Greg Kraft,31
117,T118,T118,Mark Brooks,32
118,T118,T118,Tim Clark,23
119,T118,T118,Robert Damron,28
120,T118,T118,David Frost,29
121,T118,T118,Paul Gow,35
122,T118,T118,Jay Haas,24
123,T118,T118,Jeff Maggert,27
124,T118,T118,Jesper Parnevik,26
125,T126,T126,"David Berganio, Jr.",30
126,T126,T126,Jeff Brehaut,29
127,T126,T126,Tom Byrum,23
128,T126,T126,Robin Freeman,27
129,T126,T126,Robert Gamez,21
130,T131,T131,Tommy Armour III,30
131,T131,T131,Notah Begay III,26
132,T131,T131,Carl Paulson,28
133,T134,T134,Brandel Chamblee,30
134,T134,T134,Fred Couples,18
135,T134,T134,Brad Elder,26
136,T134,T134,Edward Fryatt,34
137,T134,T134,Retief Goosen,15
138,T134,T134,Donnie Hammond,17
139,T134,T134,Matt Peterson,27
140,T134,T134,Brett Wetterich,32
141,T142,T142,Brian Henninger,20
142,T142,T142,Peter Jacobsen,21
143,T144,T144,Bart Bryant,20
144,T144,T144,Russ Cochran,24
145,T144,T144,Ernie Els,18
146,T144,T144,Stephen Gangluff,27
147,T144,T144,Matt Gogel,25
148,T144,T144,Craig Parry,21
149,T144,T144,Rory Sabbatini,23
150,T144,T144,Steve Stricker,22
151,T152,T152,Jess Daley,27
152,T152,T152,Tom Lehman,22
153,T152,T152,José María Olazábal,20
154,T152,T152,Corey Pavin,24
155,T152,T152,Jerry Smith,33
156,T157,T157,John Daly,21
157,T157,T157,Tripp Isenhour,21
158,T157,T157,Blaine McCallister,27
159,T157,T157,Lee Porter,32
160,T161,T161,Paul Claxton,29
161,T161,T161,Steve Jones,24
162,T161,T161,Craig Stadler,22
163,T164,T164,Craig Barlow,22
164,T164,T164,Paul Goydos,20
165,T164,T164,Mark O'Meara,24
166,T164,T164,Deane Pappas,34
167,T164,T164,Garrett Willis,29
168,T169,T169,Mathew Goggin,20
169,T169,T169,David Morland IV,21
170,T169,T169,Michael Muehr,27
171,T169,T169,Tommy Tolles,20
172,T169,T169,Kaname Yokoo,28
173,T174,T174,Spike McRoy,25
174,T174,T174,Steve Pate,21
175,T176,T176,Michael Allen,29
176,T176,T176,Paul Azinger,20
177,T176,T176,Dicky Pride,16
178,T179,T179,Miguel Angel Jiménez,19
179,T179,T179,Pete Jordan,30
180,T179,T179,Bernhard Langer,16
181,T179,T179,Michael Long,27
182,T179,T179,Bo Van Pelt,28
183,T184,T184,Ángel Cabrera,13
184,T184,T184,Bryce Molder,22
185,T186,T186,Mike Heinen,15
186,T186,T186,Bob Heintz,28
187,T186,T186,Jason Hill,24
188,T186,T186,Brenden Pappas,25
189,T186,T186,Hal Sutton,26
190,T191,T191,Franklin Langham,25
191,T191,T191,Gene Sauers,11
192,T191,T191,Boo Weekley,24
193,T194,T194,Scott Dunlap,30
194,T194,T194,Mike Hulbert,20
195,T196,T196,"Jim Gallagher, Jr.",15
196,T196,T196,Bradley Hughes,22
197,T196,T196,Jim McGovern,16
198,T196,T196,Gary Nicklaus,26
199,T200,T200,Fulton Allem,26
200,T200,T200,José Coceres,16
201,T200,T200,Kelly Gibson,14
202,T200,T200,Brian Watts,21
203,204,204,Willie Wood,16
204,T205,T205,Padraig Harrington,9
205,T205,T205,Eduardo Herrera,23
206,T205,T205,Scott Simpson,25
207,T208,T208,David Edwards,11
208,T208,T208,Brad Lardon,23
209,T208,T208,Greg Norman,13
210,T208,T208,Richard Zokol,20
211,T212,T212,Thomas Bjørn,9
212,T212,T212,Darren Clarke,11
213,T212,T212,Danny Ellis,17
214,T212,T212,Joe Ogilvie,20
215,T212,T212,Mike Springer,12
216,T217,T217,Michael Campbell,11
217,T217,T217,Gabriel Hjertstedt,17
218,T217,T217,Colin Montgomerie,10
219,T217,T217,Brent Schwarzrock,9
220,T217,T217,David Sutherland,11
221,T222,T222,Jeff Gallagher,15
222,T222,T222,Adam Scott,10
223,T224,T224,Paul Casey,9
224,T224,T224,Hank Kuehne,6
225,T226,T226,Michael Bradley,7
226,T226,T226,James Driscoll,6
227,T226,T226,Ted Tryba,9
228,T229,T229,John Morse,8
229,T229,T229,Stan Utley,7
230,T229,T229,Fred Wadsworth,18
231,T229,T229,Lee Westwood,9
232,T233,T233,Dave Barr,5
233,T233,T233,Guy Boros,11
234,T233,T233,Brian Claar,9
235,T233,T233,Niclas Fasth,9
236,T233,T233,Scott Gump,8
237,T233,T233,Soren Hansen,4
238,T233,T233,Justin Rose,4
239,T233,T233,Mike Standly,11
240,T241,T241,Bubba Dickerson,10
241,T241,T241,Bill Glasson,13
242,T241,T241,Paul Lawrie,8
243,T241,T241,Sandy Lyle,9
244,T241,T241,Graeme McDowell,3
245,T241,T241,Paul McGinley,10
246,T241,T241,Phillip Price,7
247,T241,T241,Toru Taniguchi,8
248,T241,T241,D.A. Weibring,10
249,T250,T250,Doug Barron,6
250,T250,T250,Brad Bryant,5
