,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Tiger Woods,69,4.47,304,68
1,2,2,Phil Mickelson,97,4.35,409,94
2,3,3,David Toms,106,4.21,429,102
3,4,4,Kenny Perry,98,4.2,399,95
4,T5,T5,David Duval,78,4.13,310,75
5,T5,T5,Fred Funk,106,4.13,438,106
6,7,7,Retief Goosen,56,4.11,222,54
7,8,8,Justin Leonard,97,4.07,383,94
8,T9,T9,Fred Couples,64,4.05,243,60
9,T9,T9,Chris DiMarco,111,4.05,429,106
10,T11,T11,Stuart Appleby,97,4.03,379,94
11,T11,T11,Jonathan Byrd,96,4.03,375,93
12,T11,T11,Rod Pampling,98,4.03,379,94
13,T14,T14,Mark Calcavecchia,84,4.01,317,79
14,T14,T14,Geoff Ogilvy,90,4.01,345,86
15,T14,T14,Chris Riley,104,4.01,401,100
16,T17,T17,Lee Janzen,101,4.0,384,96
17,T17,T17,Scott Verplank,93,4.0,364,91
18,T19,T19,J.L. Lewis,98,3.99,391,98
19,T19,T19,Vijay Singh,102,3.99,383,96
20,T19,T19,Duffy Waldorf,90,3.99,347,87
21,T22,T22,Ben Crane,91,3.96,352,89
22,T22,T22,Robert Gamez,69,3.96,273,69
23,T22,T22,John Huston,99,3.96,380,96
24,25,25,Charles Howell III,118,3.95,442,112
25,26,26,Bob Heintz,68,3.94,268,68
26,27,27,K.J. Choi,93,3.93,350,89
27,28,28,Pat Perez,89,3.91,340,87
28,T29,T29,Billy Andrade,100,3.9,374,96
29,T29,T29,Davis Love III,92,3.9,339,87
30,T29,T29,Bryce Molder,65,3.9,246,63
31,T29,T29,Kirk Triplett,84,3.9,308,79
32,T33,T33,Steve Stricker,68,3.89,245,63
33,T33,T33,Mike Weir,94,3.89,358,92
34,T35,T35,Steve Flesch,110,3.86,405,105
35,T35,T35,John Rollins,124,3.86,463,120
36,T37,T37,Steve Allan,93,3.85,350,91
37,T37,T37,Rich Beem,99,3.85,366,95
38,T37,T37,Tim Clark,76,3.85,281,73
39,T40,T40,Ernie Els,68,3.84,238,62
40,T40,T40,Scott McCarron,106,3.84,376,98
41,T42,T42,Dan Forsman,83,3.83,310,81
42,T42,T42,J.P. Hayes,78,3.83,291,76
43,T42,T42,Rocco Mediate,79,3.83,287,75
44,T45,T45,Robert Allenby,96,3.82,363,95
45,T45,T45,Pat Bates,94,3.82,348,91
46,T45,T45,Donnie Hammond,60,3.82,229,60
47,T45,T45,Ian Leggatt,97,3.82,355,93
48,T45,T45,Phil Tataurangi,88,3.82,321,84
49,T50,T50,Cameron Beckman,87,3.81,324,85
50,T50,T50,Tripp Isenhour,68,3.81,259,68
51,T50,T50,Tommy Tolles,64,3.81,244,64
52,53,53,Paul Stankowski,100,3.79,371,98
53,T54,T54,Chad Campbell,111,3.78,412,109
54,T54,T54,John Cook,85,3.78,310,82
55,T54,T54,Joey Sindelar,104,3.78,386,102
56,T57,T57,Brian Gay,117,3.77,434,115
57,T57,T57,Dudley Hart,88,3.77,317,84
58,T57,T57,Steve Lowery,98,3.77,347,92
59,T57,T57,Chris Smith,103,3.77,377,100
60,61,61,Joel Edwards,101,3.76,380,101
61,T62,T62,Stewart Cink,92,3.75,330,88
62,T62,T62,David Peoples,105,3.75,394,105
63,T64,T64,Greg Chalmers,94,3.74,340,91
64,T64,T64,David Gossett,95,3.74,348,93
65,T64,T64,John Senden,96,3.74,344,92
66,T67,T67,Olin Browne,107,3.73,388,104
67,T67,T67,Bart Bryant,69,3.73,246,66
68,T67,T67,Frank Lickliter II,94,3.73,332,89
69,70,70,Peter Lonard,93,3.72,346,93
70,T71,T71,Stephen Gangluff,75,3.71,278,75
71,T71,T71,Scott Hoch,71,3.71,260,70
72,T71,T71,Nick Price,69,3.71,245,66
73,T74,T74,Briny Baird,110,3.7,400,108
74,T74,T74,John Daly,62,3.7,226,61
75,T74,T74,Glen Day,107,3.7,381,103
76,T77,T77,Skip Kendall,103,3.69,373,101
77,T77,T77,John Riegger,88,3.69,317,86
78,T79,T79,Harrison Frazar,88,3.68,324,88
79,T79,T79,Jerry Kelly,99,3.68,361,98
80,T79,T79,Shigeki Maruyama,87,3.68,320,87
81,T79,T79,Hidemichi Tanaka,104,3.68,375,102
82,T83,T83,Rory Sabbatini,69,3.67,235,64
83,T83,T83,Brett Wetterich,89,3.67,319,87
84,T85,T85,Notah Begay III,76,3.66,271,74
85,T85,T85,Bob Estes,93,3.66,318,87
86,T85,T85,Brad Faxon,93,3.66,311,85
87,T85,T85,Jeff Sluman,118,3.66,428,117
88,T85,T85,Craig Stadler,72,3.66,249,68
89,90,90,Sergio Garcia,79,3.65,263,72
90,T91,T91,Stephen Ames,89,3.64,317,87
91,T91,T91,Carlos Franco,107,3.64,382,105
92,T91,T91,Brent Geiberger,95,3.64,335,92
93,T94,T94,Bob Burns,99,3.63,348,96
94,T94,T94,Robert Damron,85,3.63,298,82
95,T94,T94,Tim Herron,102,3.63,359,99
96,T94,T94,Shaun Micheel,100,3.63,352,97
97,T98,T98,Luke Donald,106,3.62,376,104
98,T98,T98,Brandt Jobe,94,3.62,340,94
99,T100,T100,Mathew Goggin,64,3.61,231,64
100,T100,T100,Brian Henninger,66,3.61,238,66
101,T100,T100,Craig Parry,69,3.61,249,69
102,T100,T100,Loren Roberts,93,3.61,336,93
103,T104,T104,Kent Jones,105,3.6,371,103
104,T104,T104,Andrew Magee,91,3.6,317,88
